anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,n_viviendas_colectiva_barrio,n_viviendas_unifamiliar_barrio,renta_colectiva_barrio,renta_unifamiliar_barrio
2017,1,Centro,1,Palacio,011,2828,2,12.942529756394194,NA
2017,1,Centro,2,Embajadores,012,5044,4,12.506834733938586,NA
2017,1,Centro,3,Cortes,013,1447,1,13.125567817798903,NA
2017,1,Centro,4,Justicia,014,2261,0,13.834643069426468,NA
2017,1,Centro,5,Universidad,015,4743,2,13.881622117212533,NA
2017,1,Centro,6,Sol,016,906,0,12.966084864507158,NA
2017,2,Arganzuela,1,Imperial,021,1766,0,11.88470604972909,NA
2017,2,Arganzuela,2,Acacias,022,2856,0,12.139119226776794,NA
2017,2,Arganzuela,3,Chopera,023,1620,3,10.770476470777384,NA
2017,2,Arganzuela,4,Legazpi,024,1765,0,12.887200384289237,NA
2017,2,Arganzuela,5,Delicias,025,2350,1,11.932510709920802,NA
2017,2,Arganzuela,6,Palos de la Frontera,026,2667,0,11.797288359664238,NA
2017,2,Arganzuela,7,Atocha,027,51,0,9.653465346534654,NA
2017,3,Retiro,1,Pacífico,031,2861,5,11.799564857167857,NA
2017,3,Retiro,2,Adelfas,032,1331,0,11.59357248516625,NA
2017,3,Retiro,3,Estrella,033,902,4,10.604348721144381,NA
2017,3,Retiro,4,Ibiza,034,1887,0,12.885171841053893,NA
2017,3,Retiro,5,Los Jerónimos,035,447,6,11.993186158171603,NA
2017,3,Retiro,6,Niño Jesús,036,846,11,12.556702853868016,NA
2017,4,Salamanca,1,Recoletos,041,1555,0,15.230334635782945,NA
2017,4,Salamanca,2,Goya,042,3216,2,13.419883730783537,NA
2017,4,Salamanca,3,Fuente del Berro,043,2030,23,12.131900049555847,NA
2017,4,Salamanca,4,Guindalera,044,3664,26,12.374130973584208,NA
2017,4,Salamanca,5,Lista,045,2242,1,13.464252463071343,NA
2017,4,Salamanca,6,Castellana,046,1634,0,14.763828706224244,NA
2017,5,Chamartin,1,El Viso,051,1109,69,13.310265191513217,NA
2017,5,Chamartin,2,Prosperidad,052,3871,8,12.032969543208832,NA
2017,5,Chamartin,3,Ciudad Jardín,053,1673,62,12.31558674457073,NA
