anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,total_hogares,hog_mujer_sola_16_64,hog_hombre_solo_16_64,hog_dos_adultos_sin_menores,hog_dos_adultos_1_menor,hog_dos_adultos_2_menores,hog_dos_adultos_3mas_menores,hog_mujer_adulta_con_menores,hog_hombre_adulto_con_menores
2017,1,Centro,1,Palacio,011,11178,1843,2020,1957,416,232,47,189,33
2017,1,Centro,2,Embajadores,012,21803,3805,4252,4054,758,455,96,341,63
2017,1,Centro,3,Cortes,013,5406,982,1130,990,155,91,24,75,21
2017,1,Centro,4,Justicia,014,8335,1475,1778,1491,251,158,46,131,34
2017,1,Centro,5,Universidad,015,15707,2879,3092,2840,527,326,56,232,51
2017,1,Centro,6,Sol,016,3770,675,812,685,120,56,10,42,10
2017,2,Arganzuela,1,Imperial,021,9563,1108,900,1379,503,498,80,169,29
2017,2,Arganzuela,2,Acacias,022,15308,1694,1352,2016,767,703,124,243,40
2017,2,Arganzuela,3,Chopera,023,8427,860,740,1159,399,256,32,133,22
2017,2,Arganzuela,4,Legazpi,024,7391,838,895,1325,779,812,131,212,47
2017,2,Arganzuela,5,Delicias,025,11405,1350,1210,1734,778,703,107,229,60
2017,2,Arganzuela,6,Palos de la Frontera,026,11646,1576,1471,1878,491,373,50,153,19
2017,2,Arganzuela,7,Atocha,027,420,44,46,59,41,46,8,13,6
2017,3,Retiro,1,Pacífico,031,14592,1578,1276,1890,630,545,124,247,64
2017,3,Retiro,2,Adelfas,032,7464,824,684,1035,438,428,99,121,35
2017,3,Retiro,3,Estrella,033,8599,440,414,679,292,437,136,106,28
2017,3,Retiro,4,Ibiza,034,9223,1040,811,1073,442,397,101,159,41
2017,3,Retiro,5,Los Jerónimos,035,2805,221,285,287,101,95,26,39,14
2017,3,Retiro,6,Niño Jesús,036,5570,340,296,465,235,269,116,84,23
2017,4,Salamanca,1,Recoletos,041,6623,946,863,801,230,167,79,102,36
2017,4,Salamanca,2,Goya,042,13074,1817,1354,1698,568,410,117,193,47
2017,4,Salamanca,3,Fuente del Berro,043,9095,1147,851,1196,423,317,77,154,29
2017,4,Salamanca,4,Guindalera,044,17282,2008,1618,2125,655,670,188,256,50
2017,4,Salamanca,5,Lista,045,9130,1187,925,1159,361,274,107,153,37
2017,4,Salamanca,6,Castellana,046,6896,891,804,829,189,179,99,68,20
2017,5,Chamartin,1,El Viso,051,6041,527,519,616,223,227,116,74,30
2017,5,Chamartin,2,Prosperidad,052,15682,1828,1459,2035,706,604,142,218,54
2017,5,Chamartin,3,Ciudad Jardín,053,7804,915,736,963,389,295,80,164,26
2017,5,Chamartin,4,Hispanoamérica,054,12237,1159,975,1291,501,575,242,230,49
2017,5,Chamartin,5,Nueva España,055,8985,928,813,932,355,433,232,143,51
2017,5,Chamartin,6,Castilla,056,6503,595,578,774,249,264,122,76,35
2017,6,Tetuan,1,Bellas Vistas,061,11626,1362,1299,1551,553,372,70,178,39
2017,6,Tetuan,2,Cuatro Caminos,062,14807,1855,1643,1904,593,456,126,211,54
2017,6,Tetuan,3,Castillejos,063,9112,1164,1133,1276,339,228,62,118,31
2017,6,Tetuan,4,Almenara,064,9125,993,1028,1252,438,287,73,203,27
2017,6,Tetuan,5,Valdeacederas,065,10414,1355,1228,1666,633,403,77,203,33
2017,6,Tetuan,6,Berruguete,066,10074,1332,1089,1491,531,383,61,211,38
2017,7,Chamberi,1,Gaztambide,071,10242,1365,1097,1277,353,291,78,121,23
2017,7,Chamberi,2,Arapiles,072,11064,1543,1185,1462,408,353,98,184,36
2017,7,Chamberi,3,Trafalgar,073,11580,1882,1539,1739,458,378,101,195,36
2017,7,Chamberi,4,Almagro,074,7990,957,946,960,282,284,94,132,34
2017,7,Chamberi,5,Ríos Rosas,075,11894,1595,1250,1575,513,397,130,210,36
2017,7,Chamberi,6,Vallehermoso,076,8190,932,671,816,242,303,107,92,24
2017,8,Fuencarral-El Pardo,1,El Pardo,081,1293,81,87,123,74,60,18,15,8
2017,8,Fuencarral-El Pardo,2,Fuentelarreina,082,1093,53,53,67,24,41,35,22,6
2017,8,Fuencarral-El Pardo,3,Peñagrande,083,16755,1102,994,1628,800,890,205,348,86
2017,8,Fuencarral-El Pardo,4,Pilar,084,19272,1501,1300,2222,972,630,123,298,41
2017,8,Fuencarral-El Pardo,5,La Paz,085,12456,569,431,1064,484,536,144,132,27
2017,8,Fuencarral-El Pardo,6,Valverde,086,22081,1798,2054,2627,2080,2689,738,952,273
2017,8,Fuencarral-El Pardo,7,Mirasierra,087,9915,620,615,849,685,899,411,324,97
2017,8,Fuencarral-El Pardo,8,El Goloso,088,5317,460,544,575,671,1081,398,335,131
2017,9,Moncloa-Aravaca,1,Casa de Campo,091,5524,499,554,716,284,218,36,82,12
2017,9,Moncloa-Aravaca,2,Argüelles,092,10379,1236,1229,1391,416,296,106,134,38
2017,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,6063,502,543,611,239,270,113,93,28
2017,9,Moncloa-Aravaca,4,Valdezarza,094,12019,953,830,1284,631,576,82,256,61
2017,9,Moncloa-Aravaca,5,Valdemarín,095,1843,144,152,152,89,178,134,109,25
2017,9,Moncloa-Aravaca,6,El Plantío,096,830,28,47,65,35,65,45,27,14
2017,9,Moncloa-Aravaca,7,Aravaca,097,8235,483,527,719,516,642,310,286,73
2017,10,Latina,1,Los Cármenes,101,6473,460,516,815,363,331,79,177,34
2017,10,Latina,2,Puerta del Angel,102,17260,1746,1682,2227,857,587,136,319,59
2017,10,Latina,3,Lucero,103,13973,989,1024,1392,788,598,99,277,58
2017,10,Latina,4,Aluche,104,26347,1505,1354,2409,1299,998,137,429,75
2017,10,Latina,5,Campamento,105,7283,465,552,761,360,272,85,126,26
2017,10,Latina,6,Cuatro Vientos,106,2095,288,325,289,289,268,47,97,24
2017,10,Latina,7,Águilas,107,20611,1194,1234,2036,1125,973,120,389,59
2017,11,Carabanchel,1,Comillas,111,9397,877,763,1052,498,276,57,178,39
2017,11,Carabanchel,2,Opañel,112,12910,1169,1029,1524,687,439,72,238,44
2017,11,Carabanchel,3,San Isidro,113,14867,1285,1230,1771,857,597,134,329,37
2017,11,Carabanchel,4,Vista Alegre,114,16991,1197,1031,1771,850,579,126,308,45
2017,11,Carabanchel,5,Puerta Bonita,115,12193,871,879,1359,760,620,113,292,36
2017,11,Carabanchel,6,Buenavista,116,16674,1337,1553,1950,1658,1985,276,587,106
2017,11,Carabanchel,7,Abrantes,117,10810,688,710,1144,719,736,147,259,50
2017,12,Usera,1,Orcasitas,121,8382,456,473,876,648,746,99,232,35
2017,12,Usera,2,Orcasur,122,4657,318,395,580,299,264,70,132,23
2017,12,Usera,3,San Fermín,123,8100,482,657,910,648,696,138,267,45
2017,12,Usera,4,Almendrales,124,7516,564,586,870,434,311,62,147,21
2017,12,Usera,5,Moscardó,125,9649,721,690,1140,501,336,67,185,30
2017,12,Usera,6,Zofío,126,4921,315,322,578,298,190,27,113,12
2017,12,Usera,7,Pradolongo,127,5893,383,382,654,304,200,49,128,13
2017,13,Puente de Vallecas,1,Entrevías,131,12587,745,846,1373,660,553,152,289,44
