anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,pct_pob_25_39,nivel_estudios_superiores_pct,renta_neta_media_persona,pct_hog_unipersonal_bajo65,precio_vivienda_declarado_barrio,pct_extranjeros_ue_ocde,pct_hog_monoparental,pct_hog_dos_adultos_sin_menores,renta_colectiva_barrio,poblacion_total_barrio,tasa_transacciones_vivienda,densidad,tamano_hogar,envejecimiento,sobreenvejecimiento,pct_uso_vivienda,n_locales_activos_total,pct_comercio_menor,pct_turismo_alojamiento,pct_bares_restaurantes,pct_inmobiliarias,pct_arte_recreo_ocio,tasa_entradas_totales,tasa_salidas_totales,intensidad_inversion_real_distrito,share_gasto_real_urbanismo,share_gasto_real_mantenimiento_urbano,share_gasto_real_medio_ambiente,share_gasto_real_cultura,pct_poblacion_idh_alto_distrito,zonas_verdes_significativas_m2_per_capita_distrito,paradas_red_centro,n_estaciones_metro,distancia_centro_lineal_m,tasa_paro
2017,1,Centro,1,Palacio,011,0.2725288431555971,0.39896890946393815,18254,0.3455895509035606,4178.57,0.0895629222028363,0.019860440150295224,0.17507604222580067,12.942529756394194,22449,0.010468172301661544,152.07,1.9997316156736473,0.18784950565919561,0.3534174803524649,0.02914903620122238,1702,0.31433607520564044,0.015863689776733254,0.3354876615746181,0.007050528789659225,0.02408930669800235,0.14183259833400153,0.11207626174885296,89.79469158271534,0.08756190282102473,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.16230822873082287,0.8911175217870683,1,4,834.2994999607662,8.2
2017,1,Centro,2,Embajadores,012,0.32873440046435826,0.32875368007850836,13454,0.36953630234371415,3538.13,0.08554783777727984,0.018529560152272622,0.18593771499334955,12.506834733938586,44793,0.02190074341973076,431.74,2.0469660138513244,0.14535066099036523,0.3809156775088639,0.03185204212689442,2957,0.4883327696990193,0.006763611768684477,0.15623943185661143,0.003043625295908015,0.014879945891105851,0.16866474672381845,0.1370526644788248,89.79469158271534,0.08756190282102473,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.16230822873082287,0.8911175217870683,1,7,913.3760035725893,9.05
2017,1,Centro,3,Cortes,013,0.3010324902908023,0.4383124036131306,19431,0.390677025527192,4201.77,0.12147134302822925,0.017758046614872364,0.18312985571587126,13.125567817798903,10557,0.027280477408354646,177.76,1.9461709211986704,0.16852010265183917,0.3547659334461365,0.0074682598954443615,1153,0.29314830875975717,0.0372940156114484,0.3599306157849089,0.005203816131830009,0.033824804856895055,0.15364213318177514,0.12077294685990338,89.79469158271534,0.08756190282102473,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.16230822873082287,0.8911175217870683,1,1,710.3835020983723,7.59
2017,1,Centro,4,Justicia,014,0.3014656692817612,0.4670278078728783,21570,0.39028194361127777,5245.82,0.10327348235006718,0.01979604079184163,0.17888422315536892,13.834643069426468,16443,0.024630541871921183,221.45,1.964487102579484,0.1656284353242946,0.36172566371681414,0.0029600394671928957,1872,0.45085470085470086,0.01014957264957265,0.26175213675213677,0.002136752136752137,0.01655982905982906,0.15909505564677978,0.11932129173508484,89.79469158271534,0.08756190282102473,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.16230822873082287,0.8911175217870683,2,3,971.4253672516414,6.62
2017,1,Centro,5,Universidad,015,0.3180785459266472,0.39982428664196495,16869,0.3801489781626027,4191.85,0.09329512520759385,0.01801744445151843,0.1808111033297256,13.881622117212533,30810,0.021876014281077574,323.93,1.9551155535748381,0.16741020547722166,0.37191207936199183,0.0368711233631978,2323,0.37236332328885063,0.01162290142057684,0.26259147653895826,0.005165733964700818,0.02410675850193715,0.15819539110678352,0.12495942875689711,89.79469158271534,0.08756190282102473,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.16230822873082287,0.8911175217870683,2,6,952.2311029999739,7.21
2017,1,Centro,6,Sol,016,0.30654357860439857,0.39124920735573876,16600,0.39442970822281165,4184.44,0.1373109930527176,0.013793103448275862,0.1816976127320955,12.966084864507158,7366,0.017241379310344827,164.85,1.9472148541114063,0.16836943195749896,0.3252427184466019,5.88235294117647e-4,1564,0.460997442455243,0.024936061381074168,0.2928388746803069,6.393861892583121e-4,0.01854219948849105,0.1577518327450448,0.13317947325549823,89.79469158271534,0.08756190282102473,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.16230822873082287,0.8911175217870683,0,7,0,7.93
2017,2,Arganzuela,1,Imperial,021,0.20477364805354942,0.3522075055187638,18632,0.2099759489699885,2879.02,0.029497482999205155,0.02070479974903273,0.1442016103733138,11.88470604972909,22708,0.008587282015148846,234.02,2.3680853288716865,0.20617327563366597,0.36388948382951386,0.01901565995525727,727,0.3218707015130674,0.005502063273727648,0.14442916093535077,0.030261348005502064,0.027510316368638238,0.08327461687511009,0.06750924784217016,32.22325632996567,0.0742465338687163,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.07874181554963314,2.9435899455790353,NA,0,1701.7017735258637,7.11
2017,2,Arganzuela,2,Acacias,022,0.21770595276961585,0.36307869585846947,19323,0.19898092500653253,3373.74,0.025964816582571937,0.018487065586621373,0.131695845309642,12.139119226776794,36756,0.0017956252040483187,341.57,2.3951528612490405,0.21344606573026045,0.31753130590339895,0.013798111837327523,1160,0.3310344827586207,8.620689655172414e-4,0.1353448275862069,0.007758620689655172,0.026724137931034484,0.07966046359777995,0.06891391881597562,32.22325632996567,0.0742465338687163,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.07874181554963314,2.9435899455790353,4,2,1817.5812482709266,6.75
2017,2,Arganzuela,3,Chopera,023,0.23972568201300992,0.23695638876995534,14244,0.18986590720303786,2872.11,0.029548674357417537,0.01839325976029429,0.13753411653020053,10.770476470777384,19831,0.013211638344006857,348.09,2.3453186187255137,0.23401133373810967,0.3982702702702703,0.02564102564102564,723,0.4149377593360996,0.0027662517289073307,0.1355463347164592,0.004149377593360996,0.02351313969571231,0.12041752811255106,0.10332308002622158,32.22325632996567,0.0742465338687163,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.07874181554963314,2.9435899455790353,5,1,2545.0185470969996,8.09
2017,2,Arganzuela,4,Legazpi,024,0.23675042229729729,0.4492859758330282,20054,0.23447436070897038,3629.01,0.028989333614954066,0.035042619401975374,0.17927208767419836,12.887200384289237,18944,0.004961993243243243,133.89,2.562305506697339,0.07793853627626994,0.27235772357723576,0.025547445255474453,431,0.2529002320185615,0,0.18561484918793503,0.0069605568445475635,0.030162412993039442,0.0961254222972973,0.07838893581081081,32.22325632996567,0.0742465338687163,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.07874181554963314,2.9435899455790353,5,1,3482.1731601336073,5.08
