anio,codigo_barrio,distancia_centro_lineal_m
2017,172,8593.62312004166
2017,173,9220.485082086132
2017,175,6844.387373280107
2017,174,6973.898781754612
2017,171,8429.32700119977
2017,121,5444.820243803643
2017,183,10345.169422666564
2017,116,6594.790504863614
2017,106,8640.708002320105
2017,123,5347.446205816762
2017,181,10796.279013944326
2017,122,5034.764224800982
2017,126,4309.52274503438
2017,127,4353.234146131321
2017,117,4633.638175169047
2017,115,5104.261852587482
2017,124,3761.5802233954323
2017,182,8760.143905748453
2017,114,5063.086310850565
2017,131,5421.836821736098
2017,107,6885.9755107490355
2017,134,6728.434764756167
2017,133,5299.099733980374
2017,024,3482.1731601336073
2017,125,3148.644346237265
2017,112,3342.7575110293496
2017,132,4343.126303552097
2017,135,5623.053121168555
2017,111,2716.71359451771
2017,105,9136.38284445581
2017,023,2545.0185470969996
2017,025,2594.8560961675425
2017,104,5246.163985037182
2017,141,6486.612196477242
2017,193,8888.946651932158
2017,113,3059.153910492342
2017,192,7725.943998639332
2017,136,4377.421642034768
2017,032,3369.1505563810074
2017,022,1817.5812482709266
2017,031,2621.775098928446
2017,026,1750.053657056307
2017,145,5210.585238894585
2017,027,2733.93717430477
2017,101,3189.554438507505
2017,146,5433.702198295059
2017,103,4227.863152996435
2017,142,6656.046602301756
2017,021,1701.7017735258637
2017,012,913.3760035725893
2017,143,5474.216644103787
2017,036,2715.894836350448
2017,102,2462.0227528519436
2017,144,4094.4691665723835
2017,013,710.3835020983723
2017,016,0
2017,033,3330.247447548994
2017,035,1693.9136733919286
2017,034,2569.6136361740228
2017,011,834.2994999607662
2017,204,7390.381770409414
2017,042,2696.9525069184683
2017,203,7068.52015726901
2017,014,971.4253672516414
2017,041,1781.686697174278
2017,015,952.2311029999739
2017,043,3556.0177734228823
2017,151,4882.186837215816
2017,202,7594.896410828338
2017,092,1653.6887926611475
2017,045,2933.199100215949
2017,152,5945.604635738793
2017,046,2491.06903091583
2017,074,1961.8302018492532
2017,073,1749.3435959707163
2017,072,1920.4473643335684
2017,071,2139.273308016623
2017,153,5499.8856260243065
2017,201,7030.432045184826
2017,044,3851.510247708037
2017,154,5286.9078554012285
2017,075,2846.104919773461
2017,076,2895.965028339834
2017,155,5179.583389520239
2017,207,8480.247381347568
2017,205,9425.773230671271
2017,208,6971.53446021352
2017,206,11809.638279292905
2017,091,4173.709669904124
2017,051,3488.8511843402644
2017,053,4358.076987032577
2017,052,4228.473772625666
2017,156,5517.381509267848
2017,062,3851.772541242594
2017,161,8501.46490391082
2017,061,3909.9229672628644
2017,054,4821.909268153232
2017,162,7272.732325749381
2017,157,5876.295736381089
2017,066,4696.8582372321225
2017,211,10536.67663481015
2017,063,4865.913979796185
2017,097,7562.302874208347
2017,158,6201.670718009656
2017,055,5520.4265188656
2017,163,7296.312864197992
2017,215,9762.83872924395
2017,094,5430.4959712467935
2017,065,5518.012250818581
2017,064,5985.2780487589325
2017,095,8461.673852404916
2017,213,12378.237526796634
2017,093,5161.047179825196
2017,096,11456.239375587471
2017,164,7830.265113595043
2017,165,7594.745484802367
2017,056,6669.055768164209
2017,159,7261.6630548985795
2017,084,6654.963594575406
2017,083,7057.610223581704
2017,085,7117.797309101631
2017,082,7753.5321488741565
2017,214,10920.45258282059
2017,212,13762.923551699036
2017,166,10287.171310638792
2017,087,8861.590582904815
2017,086,9459.745172148323
2017,088,13001.86708747171
2017,081,15968.221312001373
2017,191,11070.107694737308
2017,194,13555.04820544874
2018,172,8593.62312004166
2018,173,9220.485082086132
2018,175,6844.387373280107
2018,174,6973.898781754612
2018,171,8429.32700119977
2018,121,5444.820243803643
2018,183,10345.169422666564
2018,116,6594.790504863614
2018,106,8640.708002320105
2018,123,5347.446205816762
2018,181,10796.279013944326
2018,122,5034.764224800982
2018,126,4309.52274503438
2018,127,4353.234146131321
2018,117,4633.638175169047
2018,115,5104.261852587482
2018,124,3761.5802233954323
2018,182,8760.143905748453
2018,114,5063.086310850565
2018,131,5421.836821736098
2018,107,6885.9755107490355
2018,134,6728.434764756167
2018,133,5299.099733980374
2018,024,3482.1731601336073
2018,125,3148.644346237265
2018,112,3342.7575110293496
2018,132,4343.126303552097
2018,135,5623.053121168555
2018,111,2716.71359451771
2018,105,9136.38284445581
2018,023,2545.0185470969996
2018,025,2594.8560961675425
2018,104,5246.163985037182
2018,141,6486.612196477242
2018,193,8888.946651932158
2018,113,3059.153910492342
2018,192,7725.943998639332
2018,136,4377.421642034768
2018,032,3369.1505563810074
2018,022,1817.5812482709266
2018,031,2621.775098928446
2018,026,1750.053657056307
2018,145,5210.585238894585
2018,027,2733.93717430477
2018,101,3189.554438507505
2018,146,5433.702198295059
2018,103,4227.863152996435
2018,142,6656.046602301756
2018,021,1701.7017735258637
2018,012,913.3760035725893
2018,143,5474.216644103787
2018,036,2715.894836350448
2018,102,2462.0227528519436
2018,144,4094.4691665723835
2018,013,710.3835020983723
2018,016,0
2018,033,3330.247447548994
2018,035,1693.9136733919286
2018,034,2569.6136361740228
2018,011,834.2994999607662
2018,204,7390.381770409414
2018,042,2696.9525069184683
2018,203,7068.52015726901
2018,014,971.4253672516414
2018,041,1781.686697174278
2018,015,952.2311029999739
2018,043,3556.0177734228823
2018,151,4882.186837215816
2018,202,7594.896410828338
2018,092,1653.6887926611475
2018,045,2933.199100215949
2018,152,5945.604635738793
2018,046,2491.06903091583
2018,074,1961.8302018492532
2018,073,1749.3435959707163
2018,072,1920.4473643335684
2018,071,2139.273308016623
2018,153,5499.8856260243065
2018,201,7030.432045184826
2018,044,3851.510247708037
2018,154,5286.9078554012285
2018,075,2846.104919773461
2018,076,2895.965028339834
2018,155,5179.583389520239
2018,207,8480.247381347568
2018,205,9425.773230671271
2018,208,6971.53446021352
2018,206,11809.638279292905
2018,091,4173.709669904124
2018,051,3488.8511843402644
2018,053,4358.076987032577
2018,052,4228.473772625666
2018,156,5517.381509267848
2018,062,3851.772541242594
2018,161,8501.46490391082
2018,061,3909.9229672628644
2018,054,4821.909268153232
2018,162,7272.732325749381
2018,157,5876.295736381089
2018,066,4696.8582372321225
2018,211,10536.67663481015
2018,063,4865.913979796185
2018,097,7562.302874208347
2018,158,6201.670718009656
2018,055,5520.4265188656
2018,163,7296.312864197992
2018,215,9762.83872924395
2018,094,5430.4959712467935
2018,065,5518.012250818581
2018,064,5985.2780487589325
2018,095,8461.673852404916
2018,213,12378.237526796634
2018,093,5161.047179825196
2018,096,11456.239375587471
2018,164,7830.265113595043
2018,165,7594.745484802367
2018,056,6669.055768164209
2018,159,7261.6630548985795
2018,084,6654.963594575406
2018,083,7057.610223581704
2018,085,7117.797309101631
2018,082,7753.5321488741565
2018,214,10920.45258282059
2018,212,13762.923551699036
2018,166,10287.171310638792
2018,087,8861.590582904815
2018,086,9459.745172148323
2018,088,13001.86708747171
2018,081,15968.221312001373
2018,191,11070.107694737308
2018,194,13555.04820544874
2019,172,8593.62312004166
2019,173,9220.485082086132
2019,175,6844.387373280107
2019,174,6973.898781754612
2019,171,8429.32700119977
2019,121,5444.820243803643
2019,183,10345.169422666564
2019,116,6594.790504863614
2019,106,8640.708002320105
2019,123,5347.446205816762
2019,181,10796.279013944326
2019,122,5034.764224800982
2019,126,4309.52274503438
2019,127,4353.234146131321
2019,117,4633.638175169047
2019,115,5104.261852587482
2019,124,3761.5802233954323
2019,182,8760.143905748453
2019,114,5063.086310850565
2019,131,5421.836821736098
2019,107,6885.9755107490355
2019,134,6728.434764756167
2019,133,5299.099733980374
2019,024,3482.1731601336073
2019,125,3148.644346237265
2019,112,3342.7575110293496
2019,132,4343.126303552097
2019,135,5623.053121168555
2019,111,2716.71359451771
2019,105,9136.38284445581
2019,023,2545.0185470969996
2019,025,2594.8560961675425
2019,104,5246.163985037182
2019,141,6486.612196477242
2019,193,8888.946651932158
2019,113,3059.153910492342
2019,192,7725.943998639332
2019,136,4377.421642034768
2019,032,3369.1505563810074
2019,022,1817.5812482709266
2019,031,2621.775098928446
2019,026,1750.053657056307
2019,145,5210.585238894585
2019,027,2733.93717430477
2019,101,3189.554438507505
2019,146,5433.702198295059
2019,103,4227.863152996435
2019,142,6656.046602301756
2019,021,1701.7017735258637
2019,012,913.3760035725893
2019,143,5474.216644103787
2019,036,2715.894836350448
2019,102,2462.0227528519436
2019,144,4094.4691665723835
2019,013,710.3835020983723
2019,016,0
2019,033,3330.247447548994
2019,035,1693.9136733919286
2019,034,2569.6136361740228
2019,011,834.2994999607662
2019,204,7390.381770409414
2019,042,2696.9525069184683
2019,203,7068.52015726901
2019,014,971.4253672516414
2019,041,1781.686697174278
2019,015,952.2311029999739
2019,043,3556.0177734228823
2019,151,4882.186837215816
2019,202,7594.896410828338
2019,092,1653.6887926611475
2019,045,2933.199100215949
2019,152,5945.604635738793
2019,046,2491.06903091583
2019,074,1961.8302018492532
2019,073,1749.3435959707163
2019,072,1920.4473643335684
2019,071,2139.273308016623
2019,153,5499.8856260243065
2019,201,7030.432045184826
2019,044,3851.510247708037
2019,154,5286.9078554012285
2019,075,2846.104919773461
2019,076,2895.965028339834
2019,155,5179.583389520239
2019,207,8480.247381347568
2019,205,9425.773230671271
2019,208,6971.53446021352
2019,206,11809.638279292905
2019,091,4173.709669904124
2019,051,3488.8511843402644
2019,053,4358.076987032577
2019,052,4228.473772625666
2019,156,5517.381509267848
2019,062,3851.772541242594
2019,161,8501.46490391082
2019,061,3909.9229672628644
2019,054,4821.909268153232
2019,162,7272.732325749381
2019,157,5876.295736381089
2019,066,4696.8582372321225
2019,211,10536.67663481015
2019,063,4865.913979796185
2019,097,7562.302874208347
2019,158,6201.670718009656
2019,055,5520.4265188656
2019,163,7296.312864197992
2019,215,9762.83872924395
2019,094,5430.4959712467935
2019,065,5518.012250818581
2019,064,5985.2780487589325
2019,095,8461.673852404916
2019,213,12378.237526796634
2019,093,5161.047179825196
2019,096,11456.239375587471
2019,164,7830.265113595043
2019,165,7594.745484802367
2019,056,6669.055768164209
2019,159,7261.6630548985795
2019,084,6654.963594575406
2019,083,7057.610223581704
2019,085,7117.797309101631
2019,082,7753.5321488741565
2019,214,10920.45258282059
2019,212,13762.923551699036
2019,166,10287.171310638792
2019,087,8861.590582904815
2019,086,9459.745172148323
2019,088,13001.86708747171
2019,081,15968.221312001373
2019,191,11070.107694737308
2019,194,13555.04820544874
2020,172,8593.62312004166
2020,173,9220.485082086132
2020,175,6844.387373280107
2020,174,6973.898781754612
2020,171,8429.32700119977
2020,121,5444.820243803643
2020,183,10345.169422666564
2020,116,6594.790504863614
2020,106,8640.708002320105
2020,123,5347.446205816762
2020,181,10796.279013944326
2020,122,5034.764224800982
2020,126,4309.52274503438
2020,127,4353.234146131321
2020,117,4633.638175169047
2020,115,5104.261852587482
2020,124,3761.5802233954323
2020,182,8760.143905748453
2020,114,5063.086310850565
2020,131,5421.836821736098
2020,107,6885.9755107490355
2020,134,6728.434764756167
2020,133,5299.099733980374
2020,024,3482.1731601336073
2020,125,3148.644346237265
2020,112,3342.7575110293496
2020,132,4343.126303552097
2020,135,5623.053121168555
2020,111,2716.71359451771
2020,105,9136.38284445581
2020,023,2545.0185470969996
2020,025,2594.8560961675425
2020,104,5246.163985037182
2020,141,6486.612196477242
2020,193,8888.946651932158
2020,113,3059.153910492342
2020,192,7725.943998639332
2020,136,4377.421642034768
2020,032,3369.1505563810074
2020,022,1817.5812482709266
2020,031,2621.775098928446
2020,026,1750.053657056307
2020,145,5210.585238894585
2020,027,2733.93717430477
2020,101,3189.554438507505
2020,146,5433.702198295059
2020,103,4227.863152996435
2020,142,6656.046602301756
2020,021,1701.7017735258637
2020,012,913.3760035725893
2020,143,5474.216644103787
2020,036,2715.894836350448
2020,102,2462.0227528519436
2020,144,4094.4691665723835
2020,013,710.3835020983723
2020,016,0
2020,033,3330.247447548994
2020,035,1693.9136733919286
2020,034,2569.6136361740228
2020,011,834.2994999607662
2020,204,7390.381770409414
2020,042,2696.9525069184683
2020,203,7068.52015726901
2020,014,971.4253672516414
2020,041,1781.686697174278
2020,015,952.2311029999739
2020,043,3556.0177734228823
2020,151,4882.186837215816
2020,202,7594.896410828338
2020,092,1653.6887926611475
2020,045,2933.199100215949
2020,152,5945.604635738793
2020,046,2491.06903091583
2020,074,1961.8302018492532
2020,073,1749.3435959707163
2020,072,1920.4473643335684
2020,071,2139.273308016623
2020,153,5499.8856260243065
2020,201,7030.432045184826
2020,044,3851.510247708037
2020,154,5286.9078554012285
2020,075,2846.104919773461
2020,076,2895.965028339834
2020,155,5179.583389520239
2020,207,8480.247381347568
2020,205,9425.773230671271
2020,208,6971.53446021352
2020,206,11809.638279292905
2020,091,4173.709669904124
2020,051,3488.8511843402644
2020,053,4358.076987032577
