codigo_estacion,municipio,distrito_metro,barrio_metro,x,y,paradas_desde_centro
153,079,08,087,438581,4482705,14
183,123,01,NA,453645,4468818,15
38,079,01,015,440100,4475360,3
199,079,09,091,437699,4474444,3
200,079,09,091,436208,4473507,4
12,079,01,016,440446,4474473,0
35,079,01,016,440446,4474470,0
48,079,01,016,440446,4474466,0
120,079,06,062,441392,4477767,5
175,079,14,144,443960,4473846,7
193,079,06,062,441392,4477763,5
62,079,04,045,442819,4475819,6
185,014,01,NA,459545,4463483,18
101,079,10,104,435153,4471597,7
265,079,16,165,443920,4481106,12
269,079,12,123,441176,4469263,8
27,079,18,181,447573,4469481,15
270,079,17,175,441213,4468107,9
272,079,17,171,441235,4466104,11
209,007,02,NA,431106,4466622,10
288,049,01,NA,452504,4475148,17
135,079,15,152,446390,4475710,11
138,079,15,155,444813,4476906,8
14,079,01,012,440772,4473981,2
142,079,07,075,441463,4476838,4
143,079,07,074,440805,4476857,5
147,079,09,093,439707,4478875,8
149,079,09,094,439269,4480404,10
186,014,01,NA,462079,4461766,19
150,079,08,084,439433,4481036,11
161,079,08,085,440145,4482000,11
162,079,08,085,440507,4481134,10
203,079,10,106,432919,4470188,8
168,079,05,053,442671,4478293,7
163,079,06,064,441118,4480302,9
165,079,05,055,442533,4480090,8
166,079,05,055,442815,4479575,7
52,079,07,071,439380,4476012,3
157,079,16,164,445997,4480260,8
54,079,01,015,439381,4476005,3
296,049,02,021,454761,4474454,22
126,079,01,015,439381,4475997,3
49,079,01,016,440245,4474836,1
88,079,01,016,440245,4474831,1
39,079,07,073,440261,4475933,4
4,079,06,066,440499,4478625,8
217,092,04,NA,426690,4462623,18
89,079,01,011,439930,4474612,1
237,079,01,011,439936,4474612,1
108,079,11,117,439135,4470901,7
159,079,21,212,451828,4480138,10
206,079,11,117,439145,4470901,7
64,079,05,052,442722,4476804,5
118,079,05,052,442727,4476804,5
141,079,05,052,442732,4476804,5
170,079,05,052,442737,4476804,5
29,079,04,042,443340,4475675,6
6,079,06,061,440412,4477814,6
42,079,06,062,440416,4477814,6
121,079,06,062,440421,4477814,6
116,079,04,042,443344,4475675,6
202,079,10,105,434373,4472315,6
264,079,16,164,444794,4480933,11
184,123,01,NA,455885,4464542,17
5,079,06,062,440471,4478187,7
50,079,09,092,439778,4475204,2
51,079,01,015,439594,4475613,3
276,079,08,086,443392,4484602,14
274,079,08,086,441203,4483828,12
280,006,01,NA,446134,4488211,18
282,134,01,NA,446336,4489697,20
22,079,13,133,444612,4471631,10
19,079,13,132,443332,4472377,7
178,079,14,141,446214,4472613,10
273,079,17,171,439638,4466082,12
15,079,01,012,441353,4473575,3
16,079,02,027,441615,4473322,4
36,079,01,011,439924,4474612,1
57,079,07,073,441076,4475672,3
3,079,06,063,440909,4479318,9
293,079,18,183,448028,4469234,16
58,079,07,074,441493,4475413,4
34,079,01,013,440787,4474601,1
30,079,04,042,442773,4475306,5
31,079,04,042,442414,4475131,4
32,079,03,035,441892,4474842,3
33,079,01,014,441152,4474728,2
37,079,01,011,440051,4474969,2
133,079,20,203,447903,4475651,13
134,079,20,201,447033,4475657,12
263,079,15,159,443592,4481471,11
266,079,15,159,443595,4481471,11
286,079,20,205,449204,4476242,15
285,079,21,212,449835,4482717,12
300,123,01,NA,455537,4465984,16
252,079,21,211,450295,4478943,15
268,079,12,122,441038,4469823,7
267,079,12,124,440873,4470831,6
123,079,09,093,439101,4477765,6
128,079,10,102,438409,4474159,3
129,079,10,102,437413,4473726,4
13,079,01,012,440323,4473971,1
47,079,01,012,440638,4473543,1
226,065,03,NA,437737,4462623,21
7,079,07,075,440632,4477258,5
10,079,01,014,440637,4475505,2
102,079,10,104,434921,4472069,6
105,079,11,114,437222,4471816,7
107,079,11,112,438733,4471160,8
109,079,12,125,440111,4471170,6
113,079,03,036,443225,4473352,7
115,079,04,043,443392,4475118,7
160,079,21,214,450732,4480936,11
112,079,03,032,442928,4472810,6
230,065,03,NA,438128,4464745,17
234,074,01,NA,434864,4463962,13
59,079,04,041,441864,4475412,5
60,079,04,041,442179,4475365,6
63,079,04,045,442862,4476430,6
275,079,08,088,441160,4484278,13
65,079,05,053,442882,4477486,6
66,079,05,052,443471,4477932,7
67,079,15,156,444046,4478515,8
68,079,15,156,444472,4478766,9
69,079,16,163,445354,4479161,10
70,079,16,163,446224,4479639,9
71,079,16,164,445997,4480264,8
72,079,16,164,445895,4480825,9
73,079,16,164,445417,4481122,10
74,079,20,207,448539,4478026,13
75,079,20,208,447785,4477401,12
76,079,20,201,446948,4477085,11
77,079,15,153,445986,4476781,10
79,079,15,153,445202,4476291,9
80,079,15,154,444334,4476110,8
83,079,04,046,442214,4476225,5
84,079,07,074,441624,4476271,4
9,079,07,073,440548,4475824,3
90,079,01,012,440025,4473855,2
94,079,11,112,439351,4472315,6
95,079,11,112,438698,4471876,7
97,079,11,114,437318,4471387,9
98,079,11,114,436888,4471277,10
345,079,08,087,440026,4483665,13
137,079,15,153,445588,4476519,9
78,079,15,153,445588,4476523,9
124,079,09,093,438474,4477451,5
122,079,07,076,439706,4477752,7
146,079,07,076,439706,4477748,7
176,079,14,144,444727,4473704,8
177,079,14,146,445650,4473140,9
18,079,03,031,442819,4472721,6
20,079,13,132,443747,4472079,8
181,079,19,191,448993,4472960,13
61,079,04,042,442693,4475336,5
172,079,04,042,442405,4475268,4
194,079,07,074,441481,4476758,4
91,079,01,012,439776,4473386,3
259,079,02,025,441666,4471824,6
255,079,11,116,436276,4469526,11
140,079,05,052,443104,4476946,6
139,079,04,044,443883,4476952,7
86,079,01,014,440930,4475141,2
196,079,01,015,440554,4475484,2
197,079,01,015,439906,4475278,2
145,079,07,076,439577,4476943,7
169,079,05,053,442594,4477497,6
17,079,03,031,442326,4473079,5
173,079,03,034,442541,4474625,5
136,079,15,152,445734,4475912,10
87,079,01,016,440572,4474817,1
289,049,02,NA,453630,4475298,18
287,049,01,NA,451824,4475015,16
290,130,01,NA,454691,4475210,19
291,130,01,NA,455531,4475043,20
292,130,01,191,455385,4474468,21
294,079,18,181,449206,4468453,17
295,079,18,181,449744,4468099,18
8,079,07,073,440825,4476473,4
25,079,13,134,447082,4470570,13
11,079,01,016,440572,4474820,1
262,079,05,056,442778,4481109,10
144,079,07,076,440327,4476897,6
277,079,08,086,443963,4485398,15
55,079,07,073,440252,4475894,4
56,079,07,073,440636,4475801,3
195,079,07,073,441035,4475762,3
85,079,07,074,441155,4475733,3
46,079,01,012,440485,4473168,2
125,079,09,092,439089,4476492,4
100,079,10,104,435534,4471045,8
92,079,02,022,440147,4473032,4
110,079,02,024,441120,4471613,5
43,079,02,023,441114,4471612,5
127,079,09,091,439002,4474950,2
198,079,09,091,439002,4474946,2
238,079,09,091,439002,4474942,2
187,079,08,086,441399,4483147,11
191,079,05,054,441619,4479076,7
192,079,05,051,441569,4478317,6
2,079,06,063,441183,4479745,9
205,007,02,NA,431138,4466601,10
204,007,02,NA,431560,4467108,9
207,079,11,117,438322,4470489,8
208,079,11,117,437786,4469942,9
21,079,13,133,444208,4471756,9
210,007,02,NA,430371,4467101,11
212,007,01,NA,427977,4466703,13
213,092,02,NA,426025,4465526,14
215,092,04,NA,426630,4464028,16
104,079,10,101,436948,4472543,6
216,092,04,NA,425790,4463464,17
224,065,03,NA,436724,4460780,23
218,058,09,NA,428915,4461245,19
219,058,07,NA,430711,4460001,20
220,058,07,NA,431569,4459929,21
324,079,20,204,448187,4475028,11
325,079,20,205,448931,4475173,12
111,079,02,027,442559,4472070,7
96,079,11,112,438039,4471339,8
106,079,11,112,438044,4471339,8
45,079,02,026,441200,4472935,3
41,079,07,072,440374,4476864,6
40,079,07,073,440369,4476288,5
222,058,02,NA,433215,4460099,23
223,065,03,NA,435780,4460288,24
225,065,03,NA,437507,4461613,22
227,065,04,NA,438740,4462823,20
229,065,02,NA,439095,4464199,18
23,079,13,135,445348,4471427,11
231,074,05,NA,437239,4465592,16
232,074,04,NA,436177,4465391,15
44,079,02,025,441200,4472583,4
233,074,02,NA,435595,4464492,14
236,074,03,NA,434207,4465565,11
24,079,13,134,445831,4471151,12
253,079,21,211,449742,4478467,14
254,079,11,116,437365,4469694,10
257,079,10,107,433570,4470841,7
258,079,16,164,445119,4480112,7
26,079,18,181,447370,4470283,14
260,079,15,151,444928,4475520,8
256,079,11,116,435845,4468666,12
130,079,10,103,436865,4473195,5
179,079,19,191,447364,4472553,11
152,079,08,083,438829,4482050,13
151,079,08,083,439218,4481501,12
148,079,09,094,439410,4479804,9
167,079,05,054,442713,4478964,6
156,079,05,054,442722,4478836,6
132,079,20,205,448550,4476201,14
117,079,04,045,443032,4476237,6
82,079,04,045,442919,4476172,6
171,079,04,045,442484,4475928,5
53,079,09,091,439089,4476498,4
283,134,01,NA,447326,4489241,21
281,006,01,NA,445338,4489267,19
279,006,01,NA,446281,4487203,17
278,006,01,NA,444327,4486734,16
284,134,01,NA,448344,4490276,22
119,079,05,051,442098,4477448,6
155,079,06,062,441392,4477760,5
81,079,04,044,443822,4476002,7
1,079,06,064,441684,4480016,8
164,079,05,056,441688,4480016,8
190,079,05,056,441692,4480016,8
271,079,17,174,441289,4467142,10
182,079,19,191,449536,4472679,14
189,079,05,056,442247,4480589,9
188,079,08,085,441978,4481514,10
158,079,21,215,447868,4479637,9
261,079,05,056,442247,4480581,9
180,079,19,191,448445,4473009,12
28,079,04,044,443817,4476002,7
221,058,04,NA,432197,4459646,22
99,079,11,111,436347,4470900,9
323,079,20,204,447213,4474579,10
326,079,08,087,439402,4482720,12
305,074,06,NA,434062,4467986,13
322,079,15,152,445891,4475180,9
174,079,03,036,443307,4474246,6
114,079,03,036,443307,4474250,6
93,079,02,022,439744,4472894,5
154,079,08,087,438597,4483172,15
235,074,01,NA,434568,4464765,12
211,007,01,NA,429472,4467153,12
214,092,02,NA,426752,4464784,15
228,065,02,NA,439799,4463572,19
103,079,09,091,435533,4473000,5
201,079,09,091,435533,4472996,5
