distrito,barrio_registrado,seccion,fecha_alta,procedencia,fecha_baja,destino,fecha_modificacion,barrio_antiguo,observaciones
1,11,1,19880701,NA,NA,NA,NA,NA,NA
1,11,2,19880701,NA,NA,NA,NA,NA,NA
1,11,3,19880701,NA,NA,NA,NA,NA,NA
1,11,4,19880701,NA,NA,NA,NA,NA,NA
1,11,5,19880701,NA,19990101,006,NA,NA,NA
1,11,6,19880701,NA,NA,NA,NA,NA,NA
1,11,7,19880701,NA,NA,NA,NA,NA,NA
1,11,8,19880701,NA,NA,NA,NA,NA,NA
1,11,9,19880701,NA,NA,NA,NA,NA,NA
1,11,10,19880701,NA,20010301,009,NA,NA,NA
1,11,11,19880701,NA,NA,NA,NA,NA,NA
1,11,12,19880701,NA,NA,NA,NA,NA,NA
1,11,13,19880701,NA,NA,NA,NA,NA,NA
1,11,14,19880701,NA,NA,NA,NA,NA,NA
1,11,15,19880701,NA,NA,NA,NA,NA,NA
1,11,16,19880701,NA,NA,NA,NA,NA,NA
1,11,17,19880701,NA,19960501,018,NA,NA,NA
1,11,18,19880701,NA,NA,NA,NA,NA,NA
1,11,19,19880701,NA,NA,NA,NA,NA,NA
1,11,20,19880701,NA,NA,NA,NA,NA,NA
1,11,21,19880701,NA,NA,NA,NA,NA,NA
1,12,22,19880701,NA,NA,NA,NA,NA,NA
1,12,23,19880701,NA,NA,NA,NA,NA,NA
1,12,24,19880701,NA,NA,NA,NA,NA,NA
1,12,25,19880701,NA,NA,NA,NA,NA,NA
1,12,26,19880701,NA,NA,NA,NA,NA,NA
1,12,27,19880701,NA,NA,NA,NA,NA,NA
1,12,28,19880701,NA,NA,NA,NA,NA,NA
1,12,29,19880701,NA,NA,NA,NA,NA,NA
1,12,30,19880701,NA,NA,NA,NA,NA,NA
1,12,31,19880701,NA,NA,NA,NA,NA,NA
1,12,32,19880701,NA,NA,NA,NA,NA,NA
1,12,33,19880701,NA,NA,NA,NA,NA,NA
1,12,34,19880701,NA,NA,NA,NA,NA,NA
1,12,35,19880701,NA,NA,NA,NA,NA,NA
1,12,36,19880701,NA,NA,NA,NA,NA,NA
1,12,37,19880701,NA,NA,NA,NA,NA,NA
1,12,38,19880701,NA,NA,NA,NA,NA,NA
1,12,39,19880701,NA,NA,NA,NA,NA,NA
1,12,40,19880701,NA,NA,NA,NA,NA,NA
1,12,41,19880701,NA,NA,NA,NA,NA,NA
1,12,42,19880701,NA,NA,NA,NA,NA,NA
1,12,43,19880701,NA,NA,NA,NA,NA,NA
1,12,44,19880701,NA,20031101,047,NA,NA,NA
1,12,45,19880701,NA,NA,NA,NA,NA,NA
1,12,46,19880701,NA,NA,NA,NA,NA,NA
1,12,47,19880701,NA,NA,NA,NA,NA,NA
1,12,48,19880701,NA,NA,NA,NA,NA,NA
1,12,49,19880701,NA,NA,NA,NA,NA,NA
1,12,50,19880701,NA,NA,NA,NA,NA,NA
1,12,51,19880701,NA,NA,NA,NA,NA,NA
1,12,52,19880701,NA,19960501,053,NA,NA,NA
1,12,53,19880701,NA,NA,NA,NA,NA,NA
1,12,54,19880701,NA,NA,NA,NA,NA,NA
1,12,55,19880701,NA,NA,NA,NA,NA,NA
1,12,56,19880701,NA,NA,NA,NA,NA,NA
1,12,57,19880701,NA,NA,NA,NA,NA,NA
1,12,58,19880701,NA,NA,NA,NA,NA,NA
1,12,59,19880701,NA,NA,NA,NA,NA,NA
1,13,60,19880701,NA,20061101,066,NA,NA,NA
1,13,61,19880701,NA,NA,NA,NA,NA,NA
1,13,62,19880701,NA,NA,NA,NA,NA,NA
1,13,63,19880701,NA,NA,NA,NA,NA,NA
1,13,64,19880701,NA,NA,NA,NA,NA,NA
1,13,65,19880701,NA,NA,NA,NA,NA,NA
1,13,66,19880701,NA,NA,NA,NA,NA,NA
1,13,67,19880701,NA,NA,NA,NA,NA,NA
1,13,68,19880701,NA,NA,NA,NA,NA,NA
1,13,69,19880701,NA,NA,NA,NA,NA,NA
1,13,70,19880701,NA,19960501,072,NA,NA,NA
1,13,71,19880701,NA,NA,NA,NA,NA,NA
1,13,72,19880701,NA,NA,NA,NA,NA,NA
1,14,73,19880701,NA,NA,NA,NA,NA,NA
1,14,74,19880701,NA,NA,NA,NA,NA,NA
1,14,75,19880701,NA,NA,NA,NA,NA,NA
1,14,76,19880701,NA,NA,NA,NA,NA,NA
1,14,77,19880701,NA,NA,NA,NA,NA,NA
1,14,78,19880701,NA,19960501,081,NA,NA,NA
1,14,79,19880701,NA,NA,NA,NA,NA,NA
1,14,80,19880701,NA,20031101,079,NA,NA,NA
1,14,81,19880701,NA,NA,NA,NA,NA,NA
1,14,82,19880701,NA,NA,NA,NA,NA,NA
1,14,83,19880701,NA,19960501,082,NA,NA,NA
1,14,84,19880701,NA,NA,NA,NA,NA,NA
1,14,85,19880701,NA,19960501,073,NA,NA,NA
1,14,86,19880701,NA,19960501,084,NA,NA,NA
1,14,87,19880701,NA,NA,NA,NA,NA,NA
1,14,88,19880701,NA,NA,NA,NA,NA,NA
1,14,89,19880701,NA,NA,NA,NA,NA,NA
1,15,90,19880701,NA,NA,NA,NA,NA,NA
1,15,91,19880701,NA,NA,NA,NA,NA,NA
1,15,92,19880701,NA,NA,NA,NA,NA,NA
1,15,93,19880701,NA,NA,NA,NA,NA,NA
1,15,94,19880701,NA,NA,NA,NA,NA,NA
1,15,95,19880701,NA,NA,NA,NA,NA,NA
1,15,96,19880701,NA,NA,NA,NA,NA,NA
1,15,97,19880701,NA,NA,NA,NA,NA,NA
1,15,98,19880701,NA,NA,NA,NA,NA,NA
1,15,99,19880701,NA,NA,NA,NA,NA,NA
1,15,100,19880701,NA,NA,NA,NA,NA,NA
1,15,101,19880701,NA,NA,NA,NA,NA,NA
1,15,102,19880701,NA,NA,NA,NA,NA,NA
1,15,103,19880701,NA,NA,NA,NA,NA,NA
1,15,104,19880701,NA,NA,NA,NA,NA,NA
1,15,105,19880701,NA,NA,NA,NA,NA,NA
1,15,106,19880701,NA,NA,NA,NA,NA,NA
1,15,107,19880701,NA,NA,NA,NA,NA,NA
1,15,108,19880701,NA,NA,NA,NA,NA,NA
1,15,109,19880701,NA,NA,NA,NA,NA,NA
1,15,110,19880701,NA,NA,NA,NA,NA,NA
1,15,111,19880701,NA,NA,NA,NA,NA,NA
1,15,112,19880701,NA,NA,NA,NA,NA,NA
1,15,113,19880701,NA,NA,NA,NA,NA,NA
1,15,114,19880701,NA,NA,NA,NA,NA,NA
1,15,115,19880701,NA,NA,NA,NA,NA,NA
1,15,116,19880701,NA,NA,NA,NA,NA,NA
1,16,117,19880701,NA,NA,NA,NA,NA,NA
1,16,118,19880701,NA,NA,NA,NA,NA,NA
1,16,119,19880701,NA,NA,NA,NA,NA,NA
1,16,120,19880701,NA,NA,NA,NA,NA,NA
1,16,121,19880701,NA,NA,NA,NA,NA,NA
1,16,122,19880701,NA,20031101,121,NA,NA,NA
1,16,123,19880701,NA,NA,NA,NA,NA,NA
1,16,124,19880701,NA,20241015,123,NA,NA,NA
2,21,1,19880701,NA,NA,NA,NA,NA,NA
2,21,2,19880701,NA,NA,NA,NA,NA,NA
2,21,3,19880701,NA,NA,NA,NA,NA,NA
2,21,4,19880701,NA,NA,NA,NA,NA,NA
2,21,5,19880701,NA,NA,NA,NA,NA,NA
2,21,6,19880701,NA,NA,NA,NA,NA,NA
2,21,7,19880701,NA,NA,NA,NA,NA,NA
2,21,8,19880701,NA,NA,NA,NA,NA,NA
2,21,9,19880701,NA,NA,NA,NA,NA,NA
2,21,10,19880701,NA,NA,NA,NA,NA,NA
2,21,11,19880701,NA,NA,NA,NA,NA,NA
2,21,12,19880701,NA,19900101,011,NA,NA,NA
2,21,13,19880701,NA,NA,NA,NA,NA,NA
2,21,14,19880701,NA,NA,NA,NA,NA,NA
2,21,89,19940101,013,NA,NA,NA,NA,NA
2,21,90,19990101,009,NA,NA,NA,NA,NA
2,21,95,20040301,009,NA,NA,NA,NA,NA
2,21,107,20131001,011,NA,NA,NA,NA,NA
2,22,15,19880701,NA,NA,NA,NA,NA,NA
2,22,16,19880701,NA,NA,NA,NA,NA,NA
2,22,17,19880701,NA,NA,NA,NA,NA,NA
2,22,18,19880701,NA,NA,NA,NA,NA,NA
2,22,19,19880701,NA,NA,NA,NA,NA,NA
2,22,20,19880701,NA,NA,NA,NA,NA,NA
2,22,21,19880701,NA,NA,NA,NA,NA,NA
