ventana,anio_t0,anio_t1,codigo_barrio,barrio_nombre,indice_gentrificacion
A,2017,2019,011,Palacio,0.6954042599359995
A,2017,2019,012,Embajadores,0.841246909904745
A,2017,2019,013,Cortes,1.064485891962043
A,2017,2019,014,Justicia,0.9541020588970075
A,2017,2019,015,Universidad,1.0078787439030514
A,2017,2019,016,Sol,0.9202388640034082
A,2017,2019,021,Imperial,0.11633287604051396
A,2017,2019,022,Acacias,0.1746974203413908
A,2017,2019,023,Chopera,0.17123270936588827
A,2017,2019,024,Legazpi,0.11693178739095203
A,2017,2019,025,Delicias,0.11978365140835084
A,2017,2019,026,Palos de la Frontera,0.41150169815521515
A,2017,2019,027,Atocha,-0.028562815837877745
A,2017,2019,031,Pacífico,0.17470404991717198
A,2017,2019,032,Adelfas,0.13021537784417317
A,2017,2019,033,Estrella,-0.11673364221201374
A,2017,2019,034,Ibiza,0.38758720580577655
A,2017,2019,035,Los Jerónimos,0.3072230479128381
A,2017,2019,036,Niño Jesús,0.11207752673332995
A,2017,2019,041,Recoletos,0.657651251181017
A,2017,2019,042,Goya,0.5215434538331527
A,2017,2019,043,Fuente del Berro,0.346113821752111
A,2017,2019,044,Guindalera,0.2862640312974797
A,2017,2019,045,Lista,0.4804415630860682
A,2017,2019,046,Castellana,0.7817214547279815
A,2017,2019,051,El Viso,0.27546567075623346
A,2017,2019,052,Prosperidad,0.2586261333990142
A,2017,2019,053,Ciudad Jardín,0.29373541260245795
A,2017,2019,054,Hispanoamérica,0.20423515606981868
A,2017,2019,055,Nueva España,0.3170000369162719
A,2017,2019,056,Castilla,0.22022791768898206
A,2017,2019,061,Bellas Vistas,0.23242920454484942
A,2017,2019,062,Cuatro Caminos,0.3513334230930082
A,2017,2019,063,Castillejos,0.3942855460963127
A,2017,2019,064,Almenara,0.16486977978038006
A,2017,2019,065,Valdeacederas,0.26690104573002904
A,2017,2019,066,Berruguete,0.23000146324617232
A,2017,2019,071,Gaztambide,0.49333653717911014
A,2017,2019,072,Arapiles,0.5010248205736859
A,2017,2019,073,Trafalgar,0.582849351245869
A,2017,2019,074,Almagro,0.46278773049774086
A,2017,2019,075,Ríos Rosas,0.4673888447977687
A,2017,2019,076,Vallehermoso,0.26982377300106847
A,2017,2019,081,El Pardo,0.05452672296835414
A,2017,2019,082,Fuentelarreina,-0.09908666545534232
A,2017,2019,083,Peñagrande,-0.14149003665276932
A,2017,2019,084,Pilar,-0.02720072522501611
A,2017,2019,085,La Paz,-0.1634686314473955
A,2017,2019,086,Valverde,-0.06212518075622975
A,2017,2019,087,Mirasierra,-0.10952207965995232
A,2017,2019,088,El Goloso,-0.010484636710352607
A,2017,2019,091,Casa de Campo,0.10182609891952958
A,2017,2019,092,Argüelles,0.3458096831871643
A,2017,2019,093,Ciudad Universitaria,0.08141302321386357
A,2017,2019,094,Valdezarza,-0.07358265060129374
A,2017,2019,095,Valdemarín,0.005456248667672664
A,2017,2019,096,El Plantío,-0.026813264133569343
A,2017,2019,097,Aravaca,-0.015127718809602496
