anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,precio_vivienda_declarado_barrio
2017,1,Centro,1,Palacio,011,4178.57
2017,1,Centro,2,Embajadores,012,3538.13
2017,1,Centro,3,Cortes,013,4201.77
2017,1,Centro,4,Justicia,014,5245.82
2017,1,Centro,5,Universidad,015,4191.85
2017,1,Centro,6,Sol,016,4184.44
2017,2,Arganzuela,1,Imperial,021,2879.02
2017,2,Arganzuela,2,Acacias,022,3373.74
2017,2,Arganzuela,3,Chopera,023,2872.11
2017,2,Arganzuela,4,Legazpi,024,3629.01
2017,2,Arganzuela,5,Delicias,025,3225.75
2017,2,Arganzuela,6,Palos de la Frontera,026,2869.62
2017,2,Arganzuela,7,Atocha,027,NA
2017,3,Retiro,1,Pacífico,031,3257.04
2017,3,Retiro,2,Adelfas,032,3176.69
2017,3,Retiro,3,Estrella,033,3243.35
2017,3,Retiro,4,Ibiza,034,4400.61
2017,3,Retiro,5,Los Jerónimos,035,5147.76
2017,3,Retiro,6,Niño Jesús,036,4320.89
2017,4,Salamanca,1,Recoletos,041,7017.47
2017,4,Salamanca,2,Goya,042,4936.58
2017,4,Salamanca,3,Fuente del Berro,043,3878.9
2017,4,Salamanca,4,Guindalera,044,3485.92
2017,4,Salamanca,5,Lista,045,4984.37
2017,4,Salamanca,6,Castellana,046,5807.48
2017,5,Chamartin,1,El Viso,051,5392.22
2017,5,Chamartin,2,Prosperidad,052,3361.84
2017,5,Chamartin,3,Ciudad Jardín,053,3654.68
2017,5,Chamartin,4,Hispanoamérica,054,4290.1
2017,5,Chamartin,5,Nueva España,055,5052.32
2017,5,Chamartin,6,Castilla,056,3390.08
2017,6,Tetuan,1,Bellas Vistas,061,2594.3
2017,6,Tetuan,2,Cuatro Caminos,062,3326.22
2017,6,Tetuan,3,Castillejos,063,3621.63
2017,6,Tetuan,4,Almenara,064,2556.33
2017,6,Tetuan,5,Valdeacederas,065,2321.17
2017,6,Tetuan,6,Berruguete,066,2479.19
2017,7,Chamberi,1,Gaztambide,071,4121.88
2017,7,Chamberi,2,Arapiles,072,4191.23
2017,7,Chamberi,3,Trafalgar,073,4649.63
2017,7,Chamberi,4,Almagro,074,5255.21
2017,7,Chamberi,5,Ríos Rosas,075,4300.47
