anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,renta_neta_media_persona,renta_neta_media_hogar,renta_bruta_media_persona,renta_bruta_media_hogar
2017,1,Centro,1,Palacio,011,18254,36359,23380,36359
2017,1,Centro,2,Embajadores,012,13454,27632,16436,27632
2017,1,Centro,3,Cortes,013,19431,37740,25553,37740
2017,1,Centro,4,Justicia,014,21570,43127,28805,43127
2017,1,Centro,5,Universidad,015,16869,33230,21264,33230
2017,1,Centro,6,Sol,016,16600,32604,21067,32604
2017,2,Arganzuela,1,Imperial,021,18632,44089,23473,44089
2017,2,Arganzuela,2,Acacias,022,19323,46103,24359,46103
2017,2,Arganzuela,3,Chopera,023,14244,33271,17205,33271
2017,2,Arganzuela,4,Legazpi,024,20054,51651,25870,51651
2017,2,Arganzuela,5,Delicias,025,17282,41522,21694,41522
2017,2,Arganzuela,6,Palos de la Frontera,026,16276,35885,20104,35885
2017,2,Arganzuela,7,Atocha,027,14061,38931,18112,38931
2017,3,Retiro,1,Pacífico,031,18839,43427,23759,43427
2017,3,Retiro,2,Adelfas,032,18991,45887,24963,45887
2017,3,Retiro,3,Estrella,033,22436,60339,28926,60339
2017,3,Retiro,4,Ibiza,034,20682,48216,26965,48216
2017,3,Retiro,5,Los Jerónimos,035,25792,68978,34849,68978
2017,3,Retiro,6,Niño Jesús,036,25063,67103,34137,67103
2017,4,Salamanca,1,Recoletos,041,29417,78982,41830,78982
2017,4,Salamanca,2,Goya,042,22743,51799,29976,51799
2017,4,Salamanca,3,Fuente del Berro,043,18817,42624,23843,42624
2017,4,Salamanca,4,Guindalera,044,20321,47767,26016,47767
2017,4,Salamanca,5,Lista,045,22465,51975,29972,51975
2017,4,Salamanca,6,Castellana,046,27540,71658,39559,71658
2017,5,Chamartin,1,El Viso,051,28945,78367,40755,78367
2017,5,Chamartin,2,Prosperidad,052,19662,45579,25119,45579
2017,5,Chamartin,3,Ciudad Jardín,053,19345,45510,24989,45510
2017,5,Chamartin,4,Hispanoamérica,054,25701,65756,34971,65756
2017,5,Chamartin,5,Nueva España,055,27478,73062,38194,73062
2017,5,Chamartin,6,Castilla,056,22650,57931,30124,57931
2017,6,Tetuan,1,Bellas Vistas,061,13115,32298,15901,32298
2017,6,Tetuan,2,Cuatro Caminos,062,19263,44650,24707,44650
2017,6,Tetuan,3,Castillejos,063,21041,46874,27522,46874
2017,6,Tetuan,4,Almenara,064,12877,30891,15562,30891
2017,6,Tetuan,5,Valdeacederas,065,11859,29045,14165,29045
2017,6,Tetuan,6,Berruguete,066,12390,30206,14865,30206
2017,7,Chamberi,1,Gaztambide,071,20504,45292,26131,45292
2017,7,Chamberi,2,Arapiles,072,20198,44253,25777,44253
2017,7,Chamberi,3,Trafalgar,073,20613,43798,26760,43798
2017,7,Chamberi,4,Almagro,074,26752,68624,37442,68624
2017,7,Chamberi,5,Ríos Rosas,075,22204,50215,29381,50215
2017,7,Chamberi,6,Vallehermoso,076,24859,60287,33425,60287
2017,8,Fuencarral-El Pardo,1,El Pardo,081,15289,36685,18744,36685
2017,8,Fuencarral-El Pardo,2,Fuentelarreina,082,28731,82773,39811,82773
2017,8,Fuencarral-El Pardo,3,Peñagrande,083,17862,46873,22578,46873
2017,8,Fuencarral-El Pardo,4,Pilar,084,14477,34561,17448,34561
2017,8,Fuencarral-El Pardo,5,La Paz,085,22078,59645,28347,59645
2017,8,Fuencarral-El Pardo,6,Valverde,086,16091,44511,20929,44511
2017,8,Fuencarral-El Pardo,7,Mirasierra,087,23742,68842,32300,68842
2017,8,Fuencarral-El Pardo,8,El Goloso,088,20342,62378,26972,62378
2017,9,Moncloa-Aravaca,1,Casa de Campo,091,18938,42776,23841,42776
2017,9,Moncloa-Aravaca,2,Argüelles,092,23167,54126,30657,54126
2017,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,23760,59920,32583,59920
2017,9,Moncloa-Aravaca,4,Valdezarza,094,14739,35983,18000,35983
2017,9,Moncloa-Aravaca,5,Valdemarín,095,30009,86004,43209,86004
2017,9,Moncloa-Aravaca,6,El Plantío,096,30210,86051,43228,86051
2017,9,Moncloa-Aravaca,7,Aravaca,097,24362,68929,33532,68929
2017,10,Latina,1,Los Cármenes,101,11469,30199,13652,30199
2017,10,Latina,2,Puerta del Angel,102,12003,28717,14308,28717
2017,10,Latina,3,Lucero,103,12173,30911,14464,30911
2017,10,Latina,4,Aluche,104,12726,31710,15025,31710
2017,10,Latina,5,Campamento,105,12669,32606,15039,32606
2017,10,Latina,6,Cuatro Vientos,106,14827,36817,18226,36817
2017,10,Latina,7,Águilas,107,12402,30663,14618,30663
2017,11,Carabanchel,1,Comillas,111,12090,28511,14325,28511
2017,11,Carabanchel,2,Opañel,112,11468,28725,13550,28725
2017,11,Carabanchel,3,San Isidro,113,10565,27108,12354,27108
2017,11,Carabanchel,4,Vista Alegre,114,10775,28304,12542,28304
2017,11,Carabanchel,5,Puerta Bonita,115,9712,26358,11300,26358
2017,11,Carabanchel,6,Buenavista,116,11927,32263,14300,32263
2017,11,Carabanchel,7,Abrantes,117,10544,28811,12411,28811
2017,12,Usera,1,Orcasitas,121,10529,28242,12220,28242
