anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,poblacion_total_barrio,pob_25_39_barrio,pct_pob_25_39
2017,1,Centro,1,Palacio,011,22449,6118,0.2725288431555971
2017,1,Centro,2,Embajadores,012,44793,14725,0.32873440046435826
2017,1,Centro,3,Cortes,013,10557,3178,0.3010324902908023
2017,1,Centro,4,Justicia,014,16443,4957,0.3014656692817612
2017,1,Centro,5,Universidad,015,30810,9800,0.3180785459266472
2017,1,Centro,6,Sol,016,7366,2258,0.30654357860439857
2017,2,Arganzuela,1,Imperial,021,22708,4650,0.20477364805354942
2017,2,Arganzuela,2,Acacias,022,36756,8002,0.21770595276961585
2017,2,Arganzuela,3,Chopera,023,19831,4754,0.23972568201300992
2017,2,Arganzuela,4,Legazpi,024,18944,4485,0.23675042229729729
2017,2,Arganzuela,5,Delicias,025,27318,6365,0.2329965590453181
2017,2,Arganzuela,6,Palos de la Frontera,026,25663,6664,0.2596734598449129
2017,2,Arganzuela,7,Atocha,027,1111,190,0.171017101710171
2017,3,Retiro,1,Pacífico,031,33732,7026,0.20828886517253647
2017,3,Retiro,2,Adelfas,032,18160,3945,0.21723568281938327
2017,3,Retiro,3,Estrella,033,23230,4038,0.17382694791218253
2017,3,Retiro,4,Ibiza,034,21386,4365,0.2041054895726176
2017,3,Retiro,5,Los Jerónimos,035,7073,1399,0.19779442952071258
2017,3,Retiro,6,Niño Jesús,036,15220,2543,0.16708278580814717
2017,4,Salamanca,1,Recoletos,041,15559,3440,0.22109390063628767
2017,4,Salamanca,2,Goya,042,29380,6857,0.23339006126616746
2017,4,Salamanca,3,Fuente del Berro,043,20643,4652,0.2253548418350046
2017,4,Salamanca,4,Guindalera,044,40775,9048,0.22190067443286327
2017,4,Salamanca,5,Lista,045,20831,5068,0.2432912486198454
2017,4,Salamanca,6,Castellana,046,17060,4179,0.24495896834701056
2017,5,Chamartin,1,El Viso,051,17096,3558,0.20811885821244736
2017,5,Chamartin,2,Prosperidad,052,36186,8301,0.22939810976620792
2017,5,Chamartin,3,Ciudad Jardín,053,18370,4158,0.22634730538922157
2017,5,Chamartin,4,Hispanoamérica,054,31342,5909,0.18853295896879588
2017,5,Chamartin,5,Nueva España,055,24156,4674,0.1934923000496771
2017,5,Chamartin,6,Castilla,056,16648,3547,0.21305862566074002
2017,6,Tetuan,1,Bellas Vistas,061,28437,7380,0.2595210465238949
2017,6,Tetuan,2,Cuatro Caminos,062,34040,8552,0.25123384253819037
2017,6,Tetuan,3,Castillejos,063,20040,5055,0.2522455089820359
2017,6,Tetuan,4,Almenara,064,22039,5138,0.23313217478106993
2017,6,Tetuan,5,Valdeacederas,065,25277,6790,0.2686236499584603
2017,6,Tetuan,6,Berruguete,066,24373,6198,0.2542977885364953
2017,7,Chamberi,1,Gaztambide,071,22488,5234,0.23274635361081467
2017,7,Chamberi,2,Arapiles,072,24271,5954,0.24531333690412427
2017,7,Chamberi,3,Trafalgar,073,24616,6571,0.2669402014949626
2017,7,Chamberi,4,Almagro,074,19766,4360,0.2205807953050693
2017,7,Chamberi,5,Ríos Rosas,075,26919,6685,0.24833760540881905
2017,7,Chamberi,6,Vallehermoso,076,19874,3883,0.1953808996679078
2017,8,Fuencarral-El Pardo,1,El Pardo,081,3414,715,0.20943175161101346
2017,8,Fuencarral-El Pardo,2,Fuentelarreina,082,3199,456,0.14254454517036574
2017,8,Fuencarral-El Pardo,3,Peñagrande,083,44341,8481,0.1912676755147606
2017,8,Fuencarral-El Pardo,4,Pilar,084,45947,9549,0.20782640868827126
2017,8,Fuencarral-El Pardo,5,La Paz,085,33890,6765,0.19961640601947478
2017,8,Fuencarral-El Pardo,6,Valverde,086,60065,13125,0.21851327728294348
2017,8,Fuencarral-El Pardo,7,Mirasierra,087,30900,5036,0.16297734627831714
2017,8,Fuencarral-El Pardo,8,El Goloso,088,17422,3734,0.2143267133509356
2017,9,Moncloa-Aravaca,1,Casa de Campo,091,12893,2417,0.18746606685798495
2017,9,Moncloa-Aravaca,2,Argüelles,092,24064,5419,0.2251911569148936
2017,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,16090,3193,0.19844623990055935
2017,9,Moncloa-Aravaca,4,Valdezarza,094,29306,5818,0.19852589913328328
2017,9,Moncloa-Aravaca,5,Valdemarín,095,6438,954,0.14818266542404473
2017,9,Moncloa-Aravaca,6,El Plantío,096,2720,449,0.1650735294117647
2017,9,Moncloa-Aravaca,7,Aravaca,097,25724,3989,0.15506919608148034
2017,10,Latina,1,Los Cármenes,101,17097,3103,0.18149382932678249
2017,10,Latina,2,Puerta del Angel,102,41131,9237,0.22457513797379106
2017,10,Latina,3,Lucero,103,35385,6770,0.1913240073477462
2017,10,Latina,4,Aluche,104,65487,12147,0.18548719593201704
2017,10,Latina,5,Campamento,105,18840,3989,0.2117303609341826
2017,10,Latina,6,Cuatro Vientos,106,5490,1383,0.25191256830601094
2017,10,Latina,7,Águilas,107,51051,8630,0.16904663963487493
2017,11,Carabanchel,1,Comillas,111,22166,4845,0.21857800234593522
2017,11,Carabanchel,2,Opañel,112,32095,6995,0.21794672067300203
2017,11,Carabanchel,3,San Isidro,113,38090,8169,0.2144657390391179
2017,11,Carabanchel,4,Vista Alegre,114,44500,9136,0.20530337078651686
2017,11,Carabanchel,5,Puerta Bonita,115,33075,6704,0.20269085411942556
2017,11,Carabanchel,6,Buenavista,116,45332,8513,0.18779228800847084
2017,11,Carabanchel,7,Abrantes,117,29447,5559,0.188779841749584
2017,12,Usera,1,Orcasitas,121,22448,3684,0.1641126158232359
2017,12,Usera,2,Orcasur,122,13383,2749,0.20540984831502654
2017,12,Usera,3,San Fermín,123,22969,4368,0.1901693587008577
2017,12,Usera,4,Almendrales,124,20590,4493,0.2182127246236037
2017,12,Usera,5,Moscardó,125,25422,5728,0.22531665486586422
2017,12,Usera,6,Zofío,126,13489,2728,0.20223886129438803
2017,12,Usera,7,Pradolongo,127,16881,3884,0.23008115632960133
2017,13,Puente de Vallecas,1,Entrevías,131,33646,6604,0.19627890388159067
2017,13,Puente de Vallecas,2,San Diego,132,39323,9466,0.24072425806779746
2017,13,Puente de Vallecas,3,Palomeras Bajas,133,39393,7054,0.17906734699058208
2017,13,Puente de Vallecas,4,Palomeras Sureste,134,42080,8475,0.20140209125475286
2017,13,Puente de Vallecas,5,Portazgo,135,27762,5777,0.20809019523089115
2017,13,Puente de Vallecas,6,Numancia,136,46019,10202,0.2216910406571199
2017,14,Moratalaz,1,Pavones,141,9152,1543,0.16859702797202797
2017,14,Moratalaz,2,Horcajo,142,6453,810,0.12552301255230125
2017,14,Moratalaz,3,Marroquina,143,27427,4232,0.15430050679986873
2017,14,Moratalaz,4,Media Legua,144,17862,3203,0.17931922517075355
2017,14,Moratalaz,5,Fontarrón,145,16770,3093,0.18443649373881932
2017,14,Moratalaz,6,Vinateros,146,16831,2845,0.1690333313528608
2017,15,Ciudad Lineal,1,Ventas,151,47437,9593,0.2022261104201362
2017,15,Ciudad Lineal,2,Pueblo Nuevo,152,60581,12440,0.20534491012033476
2017,15,Ciudad Lineal,3,Quintana,153,24250,5282,0.21781443298969072
2017,15,Ciudad Lineal,4,La Concepción,154,20590,4139,0.2010199125789218
2017,15,Ciudad Lineal,5,San Pascual,155,18146,3381,0.1863220544472611
2017,15,Ciudad Lineal,6,San Juan Bautista,156,12404,2131,0.1717994195420832
2017,15,Ciudad Lineal,7,Colina,157,6147,1111,0.18073857166097282
2017,15,Ciudad Lineal,8,Atalaya,158,1562,238,0.1523687580025608
2017,15,Ciudad Lineal,9,Costillares,159,22008,3486,0.15839694656488548
2017,16,Hortaleza,1,Palomas,161,6680,946,0.14161676646706586
2017,16,Hortaleza,2,Piovera,162,14499,2281,0.15732119456514243
2017,16,Hortaleza,3,Canillas,163,40606,7570,0.18642565138156922
2017,16,Hortaleza,4,Pinar del Rey,164,52106,9776,0.18761754884274365
2017,16,Hortaleza,5,Apóstol Santiago,165,15225,2674,0.17563218390804597
2017,16,Hortaleza,6,Valdefuentes,166,51735,12032,0.23256982700299603
2017,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,43593,8716,0.19994035739682978
2017,17,Villaverde,2,San Cristóbal,172,15257,3398,0.22271744117454284
2017,17,Villaverde,3,Butarque,173,17290,3861,0.22330827067669173
