anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,transacciones_vivienda_barrio,tasa_transacciones_vivienda
2017,1,Centro,1,Palacio,011,235,0.010468172301661544
2017,1,Centro,2,Embajadores,012,981,0.02190074341973076
2017,1,Centro,3,Cortes,013,288,0.027280477408354646
2017,1,Centro,4,Justicia,014,405,0.024630541871921183
2017,1,Centro,5,Universidad,015,674,0.021876014281077574
2017,1,Centro,6,Sol,016,127,0.017241379310344827
2017,2,Arganzuela,1,Imperial,021,195,0.008587282015148846
2017,2,Arganzuela,2,Acacias,022,66,0.0017956252040483187
2017,2,Arganzuela,3,Chopera,023,262,0.013211638344006857
2017,2,Arganzuela,4,Legazpi,024,94,0.004961993243243243
2017,2,Arganzuela,5,Delicias,025,454,0.01661907899553408
2017,2,Arganzuela,6,Palos de la Frontera,026,311,0.012118614347504188
2017,2,Arganzuela,7,Atocha,027,4,0.0036003600360036
2017,3,Retiro,1,Pacífico,031,373,0.011057749318154867
2017,3,Retiro,2,Adelfas,032,251,0.0138215859030837
2017,3,Retiro,3,Estrella,033,179,0.0077055531640120535
2017,3,Retiro,4,Ibiza,034,348,0.016272327691012813
2017,3,Retiro,5,Los Jerónimos,035,105,0.014845185918280787
2017,3,Retiro,6,Niño Jesús,036,162,0.01064388961892247
2017,4,Salamanca,1,Recoletos,041,294,0.018895815926473422
2017,4,Salamanca,2,Goya,042,526,0.017903335602450648
2017,4,Salamanca,3,Fuente del Berro,043,332,0.016082933682119847
2017,4,Salamanca,4,Guindalera,044,575,0.014101778050275904
2017,4,Salamanca,5,Lista,045,284,0.013633526955018961
2017,4,Salamanca,6,Castellana,046,273,0.016002344665885113
2017,5,Chamartin,1,El Viso,051,187,0.01093823116518484
2017,5,Chamartin,2,Prosperidad,052,533,0.014729453379760128
2017,5,Chamartin,3,Ciudad Jardín,053,268,0.014589003810560696
2017,5,Chamartin,4,Hispanoamérica,054,348,0.011103311849913854
2017,5,Chamartin,5,Nueva España,055,219,0.009066070541480377
2017,5,Chamartin,6,Castilla,056,140,0.008409418548774628
2017,6,Tetuan,1,Bellas Vistas,061,363,0.012765059605443612
2017,6,Tetuan,2,Cuatro Caminos,062,575,0.016891891891891893
2017,6,Tetuan,3,Castillejos,063,389,0.01941117764471058
2017,6,Tetuan,4,Almenara,064,310,0.014065973955261128
2017,6,Tetuan,5,Valdeacederas,065,357,0.014123511492661313
2017,6,Tetuan,6,Berruguete,066,322,0.013211340417675296
2017,7,Chamberi,1,Gaztambide,071,388,0.017253646389185345
2017,7,Chamberi,2,Arapiles,072,335,0.013802480326315356
2017,7,Chamberi,3,Trafalgar,073,466,0.018930776730581734
2017,7,Chamberi,4,Almagro,074,291,0.014722250328847516
2017,7,Chamberi,5,Ríos Rosas,075,403,0.014970838441249674
2017,7,Chamberi,6,Vallehermoso,076,228,0.011472275334608031
2017,8,Fuencarral-El Pardo,1,El Pardo,081,32,0.009373169302870533
2017,8,Fuencarral-El Pardo,2,Fuentelarreina,082,30,0.009377930603313536
2017,8,Fuencarral-El Pardo,3,Peñagrande,083,411,0.009269073769197807
2017,8,Fuencarral-El Pardo,4,Pilar,084,382,0.008313926915794285
2017,8,Fuencarral-El Pardo,5,La Paz,085,188,0.00554735910298023
2017,8,Fuencarral-El Pardo,6,Valverde,086,773,0.012869391492549738
2017,8,Fuencarral-El Pardo,7,Mirasierra,087,561,0.018155339805825243
2017,8,Fuencarral-El Pardo,8,El Goloso,088,335,0.019228561588795774
2017,9,Moncloa-Aravaca,1,Casa de Campo,091,134,0.01039323664003723
2017,9,Moncloa-Aravaca,2,Argüelles,092,382,0.01587433510638298
2017,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,159,0.009881914232442512
2017,9,Moncloa-Aravaca,4,Valdezarza,094,326,0.011124001910871494
2017,9,Moncloa-Aravaca,5,Valdemarín,095,102,0.015843429636533086
2017,9,Moncloa-Aravaca,6,El Plantío,096,25,0.009191176470588236
2017,9,Moncloa-Aravaca,7,Aravaca,097,600,0.02332452184730213
2017,10,Latina,1,Los Cármenes,101,153,0.008948938410247412
2017,10,Latina,2,Puerta del Angel,102,521,0.012666844958790207
2017,10,Latina,3,Lucero,103,387,0.010936837643069098
2017,10,Latina,4,Aluche,104,652,0.009956174507917602
2017,10,Latina,5,Campamento,105,201,0.010668789808917197
2017,10,Latina,6,Cuatro Vientos,106,34,0.006193078324225865
2017,10,Latina,7,Águilas,107,471,0.009226068049597462
2017,11,Carabanchel,1,Comillas,111,194,0.008752142921591627
2017,11,Carabanchel,2,Opañel,112,234,0.007290855273407073
2017,11,Carabanchel,3,San Isidro,113,426,0.011184037805198214
2017,11,Carabanchel,4,Vista Alegre,114,451,0.010134831460674157
2017,11,Carabanchel,5,Puerta Bonita,115,222,0.006712018140589569
2017,11,Carabanchel,6,Buenavista,116,450,0.00992676255183976
2017,11,Carabanchel,7,Abrantes,117,153,0.005195775460997725
2017,12,Usera,1,Orcasitas,121,121,0.005390235210263721
2017,12,Usera,2,Orcasur,122,141,0.01053575431517597
2017,12,Usera,3,San Fermín,123,218,0.009491053158605076
2017,12,Usera,4,Almendrales,124,208,0.010101991257892181
2017,12,Usera,5,Moscardó,125,250,0.009834002045472426
2017,12,Usera,6,Zofío,126,59,0.004373934316850767
2017,12,Usera,7,Pradolongo,127,229,0.013565547064747349
2017,13,Puente de Vallecas,1,Entrevías,131,362,0.010759079831183498
2017,13,Puente de Vallecas,2,San Diego,132,605,0.015385397858759505
2017,13,Puente de Vallecas,3,Palomeras Bajas,133,395,0.010027162186175208
2017,13,Puente de Vallecas,4,Palomeras Sureste,134,443,0.010527566539923955
2017,13,Puente de Vallecas,5,Portazgo,135,298,0.0107340969670773
2017,13,Puente de Vallecas,6,Numancia,136,643,0.013972489623851019
2017,14,Moratalaz,1,Pavones,141,74,0.008085664335664336
2017,14,Moratalaz,2,Horcajo,142,41,0.0063536339686967305
2017,14,Moratalaz,3,Marroquina,143,163,0.005943048820505342
2017,14,Moratalaz,4,Media Legua,144,139,0.0077818833277348565
2017,14,Moratalaz,5,Fontarrón,145,224,0.013357185450208706
2017,14,Moratalaz,6,Vinateros,146,158,0.009387439843146574
2017,15,Ciudad Lineal,1,Ventas,151,535,0.011278116238379324
