iso3;country;hdicode;region;hdi_rank_2023;hdi_2017;hdi_2018;hdi_2019;hdi_2020;hdi_2021;hdi_2022;hdi_2023
AFG;Afghanistan;Low;SA;181;0.496;0.498;0.507;0.501;0.486;0.495;0.496
ALB;Albania;Very High;ECA;71;0.798;0.801;0.805;0.794;0.794;0.806;0.81
DZA;Algeria;High;AS;96;0.746;0.749;0.753;0.742;0.755;0.761;0.763
AND;Andorra;Very High;;32;0.873;0.875;0.876;0.851;0.871;0.893;0.913
AGO;Angola;Medium;SSA;148;0.61;0.611;0.611;0.61;0.609;0.615;0.616
ATG;Antigua and Barbuda;Very High;LAC;53;0.845;0.85;0.851;0.84;0.843;0.848;0.851
ARG;Argentina;Very High;LAC;47;0.861;0.861;0.861;0.851;0.847;0.858;0.865
ARM;Armenia;Very High;ECA;69;0.785;0.789;0.796;0.761;0.786;0.801;0.811
AUS;Australia;Very High;;7;0.94;0.945;0.947;0.95;0.954;0.952;0.958
AUT;Austria;Very High;;22;0.922;0.925;0.928;0.925;0.93;0.927;0.93
AZE;Azerbaijan;High;ECA;81;0.774;0.775;0.78;0.757;0.765;0.784;0.789
BHS;Bahamas;Very High;LAC;66;0.81;0.812;0.8;0.797;0.794;0.818;0.82
BHR;Bahrain;Very High;AS;38;0.874;0.886;0.894;0.885;0.885;0.902;0.899
BGD;Bangladesh;Medium;SA;130;0.633;0.646;0.656;0.663;0.663;0.68;0.685
BRB;Barbados;Very High;LAC;69;0.804;0.806;0.808;0.803;0.803;0.807;0.811
BLR;Belarus;Very High;ECA;65;0.828;0.827;0.826;0.815;0.817;0.824;0.824
BEL;Belgium;Very High;;10;0.94;0.942;0.945;0.939;0.948;0.945;0.951
BLZ;Belize;High;LAC;115;0.722;0.723;0.725;0.713;0.713;0.717;0.721
BEN;Benin;Low;SSA;173;0.507;0.507;0.507;0.504;0.506;0.512;0.515
BTN;Bhutan;Medium;SA;125;0.656;0.667;0.68;0.688;0.691;0.695;0.698
BOL;Bolivia (Plurinational State of);High;LAC;108;0.715;0.722;0.728;0.697;0.693;0.727;0.733
BIH;Bosnia and Herzegovina;Very High;ECA;74;0.78;0.785;0.788;0.783;0.783;0.799;0.804
BWA;Botswana;High;SSA;111;0.704;0.71;0.718;0.718;0.7;0.729;0.731
BRA;Brazil;High;LAC;84;0.77;0.774;0.776;0.77;0.768;0.78;0.786
BRN;Brunei Darussalam;Very High;EAP;60;0.837;0.837;0.835;0.836;0.835;0.825;0.837
BGR;Bulgaria;Very High;;55;0.829;0.832;0.835;0.826;0.817;0.835;0.845
BFA;Burkina Faso;Low;SSA;186;0.438;0.449;0.453;0.453;0.454;0.457;0.459
BDI;Burundi;Low;SSA;187;0.434;0.434;0.435;0.435;0.435;0.437;0.439
CPV;Cabo Verde;Medium;SSA;135;0.663;0.663;0.667;0.647;0.651;0.664;0.668
KHM;Cambodia;Medium;EAP;151;0.578;0.586;0.593;0.595;0.594;0.602;0.606
