Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,4847.84,4847.84
2011,X10,Cultura,"CENTRO CULTURAL VILLA DE BARAJAS., C/ BOTICA, 10. OBRAS DE CONSERVACIÓN",,4847.84,4847.84
2011,X06,Urbanismo,,,365106.92,337964.3
2011,X06,Urbanismo,"AVENIDA ALAMEDA DE OSUNA, 60. URBANIZACIÓN",,3239.5,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO EN LA C/ AYERBE. VIARIO,,16924.07,16924.07
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN C/ALAR DEL REY Y TRAVESÍA DE ALARO,,33671.93,24884.73
2011,X06,Urbanismo,"POLÍGONO COOPERACIÓN AV. GENERAL, C/SATURNO Y AYERBE",,2345.56,
2011,X06,Urbanismo,POLÍGONO COOPERACIÓN CALLE SIROCO,,12247.94,
2011,X06,Urbanismo,ADQUISICIÓN SUELO AV.HISPANIDAD-NUDO EISENHOWER. ZONAS VERDES,,42302.76,42302.76
2011,X06,Urbanismo,"CALLE ARIES, 21. URBANIZACIÓN",,17111.39,17111.39
2011,X06,Urbanismo,"CALLE SOTO HIDALGO, 1. URBANIZACIÓN",,10169.49,10163.8
2011,X06,Urbanismo,"CALLES BLANCAFORT, AERONAVE, Pº ALAMEDA DE OSUNA Y SATURNO. URBANIZACIÓN",,516.73,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO APERTURA C/ GÉMINIS,,2857.26,2857.26
2011,X06,Urbanismo,"DEMOLICIÓN EDIFICACIONES C/EMPEDRADA, 32 Y 34",,17945.25,17945.25
2011,X06,Urbanismo,"DEMOLICIÓN EDIFICACIONES EN C/ ORION, 40 Y 42",,40407.81,40407.81
2011,X06,Urbanismo,"DEMOLICIÓN EDIFICACIONES EN C/ FRAGUAS, S/N",,57741.2,57741.2
2011,X06,Urbanismo,"DEMOLICIÓN EDIFICACIONES C/SATURNO, 2, C/BARRIO CAMARILLAS, 10 Y 12 Y C/AYERBE,22",,66988.21,66988.21
2011,X06,Urbanismo,ADQUISICIÓN SUELO CERRO BUENOS AIRES Y CERRO DE LAS BARQUILLAS,,40637.82,40637.82
2011,X09,Medio ambiente,,,940193.31,761630.85
2011,X09,Medio ambiente,PARQUE CAPRICHO ALAMEDA DE OSUNA. RESTAURACIÓN MURO HISTÓRICO,,271957.0,203729.44
2011,X09,Medio ambiente,MEJORA EFICIENCIA ENERGÉTICA Y RECOGIDA DE RESIDUOS. PARQUE JUAN CARLOS I,,668236.31,557901.41
2011,X08,Mantenimiento urbano,,,844305.7,844305.7
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-6 DISTRITO BARAJAS,,664348.87,664348.87
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. BARAJAS,,38762.72,38762.72
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS DTO. BARAJAS,,140194.13,140194.13
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO BARAJAS,,999.98,999.98
2011,X03,Protección y promoción social,,,162433.94,162361.35
2011,X03,Protección y promoción social,"CENTRO DE SERVICIOS SOCIALES TERESA DE CALCUTA, PZ. DEL NAVÍO, 4. CONSERVACIÓN",,26095.61,26095.61
2011,X03,Protección y promoción social,"CENTRO DE FORMACIÓN OCUPACIONAL DE BARAJAS, AV. CANTABRIA, 6. REFORMA",,24591.79,24591.79
2011,X03,Protección y promoción social,ADQUISICIÓN EQUIPO TÉCNICO ESTUDIOS DE GRABACIÓN DE LA RADIO AE,,72.59,
2011,X03,Protección y promoción social,"EDIFICIO C/ MEDINA DE POMAR, 25. ACONDICIONAMIENTO PARA CENTRO ATENCIÓN SOCIAL",,111468.62,111468.62
2011,X03,Protección y promoción social,"CENTRO DE MAYORES ACUARIO, C/ ACUARIO, 27. OBRAS DE CONSERVACIÓN",,176.18,176.18
2011,X03,Protección y promoción social,"CENTRO DE MAYORES BARRIO AEROPUERTO, C/ FRÍAS, S/N. OBRAS DE CONSERVACIÓN",,29.15,29.15
2011,X05,Educación,,,204480.55,199431.9
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL BARAJAS Nº 3, C/ PINOS DE OSUNA, 3",,8209.26,8209.26
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO BARAJAS,,5048.65,
2011,X05,Educación,"COLEGIO PÚBLICO CIUDAD DE GUADALAJARA, C/ BERGANTÍN, 13. CONSERVACIÓN",,68809.68,68809.68
2011,X05,Educación,"COLEGIO PÚBLICO CIUDAD DE ZARAGOZA, C/ MANUEL AGUILAR MUÑOZ, 1. CONSERVACIÓN",,46039.65,46039.65
2011,X05,Educación,"COLEGIO PÚBLICO CALDERÓN DE LA BARCA, C/ CALDERÓN, 2 Y 4. CONSERVACIÓN",,47940.65,47940.65
2011,X05,Educación,ESCUELA INFANTIL BARAJAS Nº 2 LA CHULAPONA.  OBRAS DE CONSERVACIÓN,,11027.61,11027.61
2011,X05,Educación,"ESCUELA INFANTIL LA COLINA, C/ NUESTRA SEÑORA DE ARACELI, 2. CONSERVACIÓN",,492.89,492.89
2011,X05,Educación,ESCUELA INFANTIL BARAJAS Nº 3 EL BATEO. OBRAS DE CONSERVACIÓN,,1359.74,1359.74
