Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X11,"Deportes, juventud y esparcimiento",,,1924089.91,1920085.32
2011,X11,"Deportes, juventud y esparcimiento",POLIDEPORTIVO LA MINA. SUBSANACIÓN PATOLOGÍAS ESTRUCTURA PISCINA CUBIERTA,,786693.83,786693.83
2011,X11,"Deportes, juventud y esparcimiento",NUEVOS CIRCUITOS DEPORTIVOS PARA PERSONAS MAYORES EN EL ÁMBITO MADRID RIO,,952374.94,949624.78
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO CARABANCHEL,,7.77,
2011,X11,"Deportes, juventud y esparcimiento",EQUIPAMIENTO POLIDEPORTIVO DE LA MINA,,10781.36,9534.7
2011,X11,"Deportes, juventud y esparcimiento","CAMPO DE FÚTBOL SAN MARTÍN DE PORRES, Pº. ERMITA DEL SANTO, S/N. CONSERVACIÓN",,126978.18,126978.18
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO CARONTE, C/ CARONTE, 4. OBRAS DE CONSERVACIÓN",,2463.59,2463.59
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO LA MINA, C/ MONSEÑOR OSCAR ROMERO, 41. OBRAS DE CONSERVACIÓN",,26187.49,26187.49
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO CAMINO VIEJO DE LEGANÉS. OBRAS DE CONSERVACIÓN,,2777.22,2777.22
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO IVÁN DE VARGAS, TRAVESÍA IVÁN DE VARGAS, 4. CONSERVACIÓN",,5262.44,5262.44
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO MERCEDES ARTEAGA. OBRAS DE CONSERVACIÓN,,5008.67,5008.67
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO JULIÁN GONZÁLEZ, C/ JULIÁN GONZÁLEZ, 4. OBRAS DE CONSERVACIÓN",,2777.22,2777.22
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PIEDRAHITA, C/ PIEDRAHITA ( C/V REAL MADRID,36). CONSERVACIÓN",,2777.2,2777.2
2011,X14,Sectores productivos,,,1322302.74,894501.62
2011,X14,Sectores productivos,REMODELACIÓN PARQUE EMPRESARIAL CARABANCHEL,,1322302.74,894501.62
2011,X08,Mantenimiento urbano,,,1929830.96,1929764.54
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CARABANCHEL,,525360.64,525360.64
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-4 DTO. CARABANCHEL,,881754.88,881754.88
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. CARABANCHEL,,206759.73,206759.73
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO CARABANCHEL,,999.98,999.98
2011,X08,Mantenimiento urbano,MEJORA PAVIMENTACIÓN ESPACIOS PÚBLICOS DISTRITO CARABANCHEL. PLAN DE BARRIO,,309955.73,309955.73
2011,X08,Mantenimiento urbano,ADQUISICIÓN VALLAS PARA USO EN VÍAS PÚBLICAS DISTRITO DE CARABANCHEL,,5000.0,4933.58
2011,X09,Medio ambiente,,,2715429.08,2678679.11
2011,X09,Medio ambiente,JARDINES DEL PUENTE DE TOLEDO,,376455.86,376455.86
2011,X09,Medio ambiente,RECUPERACIÓN PAISAJÍSTICA ENTORNO NORTE MONUMENTO HISTORICO PUENTE TOLEDO,,1159219.83,1127764.87
2011,X09,Medio ambiente,"""RECUPERACIÓN ZONA VERDE CATALOGADA """"VIA ACCESO AJARDINADA AL PUENTE TOLEDO""""""",,1179753.39,1174458.38
2011,X06,Urbanismo,,,2514319.98,2066424.92
2011,X06,Urbanismo,"CASCO HISTÓRICO CARABANCHEL ALTO, U.E.2 CALLEJÓN JOSÉ CABRERA. COOPERACIÓN",,297720.88,1876.84
2011,X06,Urbanismo,"C/ POLVORANCA Y C/ GUITARRA, 8. URBANIZACIÓN",,31086.84,
2011,X06,Urbanismo,"C/PIEDRAHITA, 11 Y 13. OBRAS DE URBANIZACIÓN",,158.25,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO PARA CONEXIÓN CN-V Y CN-401. VIARIO,,26828.81,20573.29
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO C/EUGENIA DE MONTIJO C/V AVENIDA DE LOS POBLADOS,,1760501.87,1760501.87
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO EN EL PARQUE EMPERATRIZ MARÍA DE AUSTRIA,,46062.4,38430.98
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN CASCO HISTÓRICO CARABANCHEL ALTO,,21881.54,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN C/SAN MELITÓN,,84141.69,
2011,X06,Urbanismo,ADQUISICIÓN SUELO CAMINO ALTO DE SAN ISIDRO OESTE API 11.17,,68251.31,68251.31
2011,X06,Urbanismo,"C/NUESTRA SEÑORA DE LA ANTIGUA, 42. URBANIZACIÓN",,894.94,
2011,X06,Urbanismo,"C/ BELMONTE DE TAJO, 37. OBRAS DE URBANIZACIÓN",,43389.89,43389.07
2011,X06,Urbanismo,DERRIBO Y VALLADO MERCEDES ARTEAGA-JACINTO VERDAGUER A.P.I. 11.12,,133401.56,133401.56
2011,X03,Protección y promoción social,,,333865.9,135987.12
2011,X03,Protección y promoción social,"CENTRO GERIÁTRICO C/GENERAL RICAROS, 14. REFORMAS",,197878.41,
2011,X03,Protección y promoción social,CENTRO DE DÍA DE ALZHEIMER LA MAGDALENA. OBRAS DE CONSERVACIÓN,,774.99,774.99
2011,X03,Protección y promoción social,"CENTRO DE DIA DE MAYORES AURORA VILLA, C/ MERCEDES ARTEAGA, 18. CONSERVACIÓN",,11160.19,11160.19
