Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,189829.01,189829.01
2011,X01,Protección Civil y seguridad ciudadana,"BASE DEL SAMUR, C/ FEDERICO SALMÓN, 8. ADAPTACIÓN EDIFICIO",,189829.01,189829.01
2011,X10,Cultura,,,196000.21,196000.21
2011,X10,Cultura,OFICINA CENTRAL BIBLIOTECAS PÚBLICAS. ADQUISICIÓN DE MOBILIARIO,,24122.09,24122.09
2011,X10,Cultura,BIBLIOTECA PÚBLICA DÁMASO ALONSO. INSTALACIÓN BOCAS DE INCENDIO,,681.94,681.94
2011,X10,Cultura,"EQUIPAMIENTO BIBLIOTECA PÚBLICA DÁMASO ALONSO, C/MANUEL FERRERO, 1",,281.9,281.9
2011,X10,Cultura,"CENTRO CULTURAL NICOLÁS SALMERÓN, C/MANTUANO, 51. OBRAS DE CONSERVACIÓN",,170085.29,170085.29
2011,X10,Cultura,"AUDITORIO PARQUE DE BERLÍN, AV. RAMÓN Y CAJAL, 2. OBRAS DE CONSERVACIÓN",,828.99,828.99
2011,X08,Mantenimiento urbano,,,2448539.27,2448539.27
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-2 DISTRITO CHAMARTÍN,,1881886.43,1881886.43
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CHAMARTÍN,,245994.32,245994.32
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. DTO.CHAMARTÍN,,312988.27,312988.27
2011,X08,Mantenimiento urbano,HIDRANTES DITRITO CHAMARTÍN. INSTALACIÓN,,6670.27,6670.27
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO CHAMARTÍN,,999.98,999.98
2011,X05,Educación,,,418179.02,414965.79
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL EL SOL, C/ ENRIQUE JARDIEL PONCELA, 8",,414.16,414.16
2011,X05,Educación,"COLEGIO PÚBLICO RAMIRO DE MAEZTU, C/ SERRANO, 127. OBRAS DE ACONDICIONAMIENTO",,237307.27,237307.27
2011,X05,Educación,"COLEGIO PÚBLICO ISAAC ALBÉNIZ, C/ DRÁCENA, 29. OBRAS DE CONSERVACIÓN",,2676.83,2676.83
2011,X05,Educación,"COLEGIO PÚBLICO SAN JUAN DE LA CRUZ, C/ HONDURAS, 10. OBRAS DE CONSERVACIÓN",,4206.07,4206.07
2011,X05,Educación,COLEGIO PÚBLICO LUIS BELLO. INSTALACIÓN TERMO EN COCINA,,1674.05,1674.05
2011,X05,Educación,COLEGIO PÚBLICO PINTOR ROSALES. INSTALACIÓN EXTINTOR,,464.9,464.9
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO CHAMARTÍN,,3208.1,
2011,X05,Educación,"COLEGIO PÚBLICO ARQUITECTO GAUDÍ, C/ ROSA JARDÓN, 10. OBRAS DE CONSERVACIÓN",,8709.64,8709.64
2011,X05,Educación,"COLEGIO PÚBLICO LUIS BELLO, C/LUIS CABRERA, 66. OBRAS DE ACONDICIONAMIENTO",,53970.28,53970.28
2011,X05,Educación,"ESCUELA INFANTIL EL SOL, C/ENRIQUE JARDIEL PONCELA, 8. OBRAS DE CONSERVACIÓN",,1611.28,1611.28
2011,X05,Educación,"COLEGIO PÚBLICO NICOLÁS SALMERÓN, C/PRADILLO, 2. OBRAS DE CONSERVACIÓN",,66426.45,66426.45
2011,X05,Educación,"ESCUEL A INFANTIL LUIS BELLO, C/ JUAN BAUTISTA DE TOLEDO, 5. CONSERVACIÓN",,10037.26,10037.26
2011,X05,Educación,"COLEGIO PÚBLICO PADRE POVEDA, C/ ALFONSO XIII, 23. OBRAS DE CONSERVACIÓN",,3793.04,3793.04
2011,X05,Educación,COLEGIO PÚBLICO PATRIARCA OBISPO EIJO Y GARAY. OBRAS DE CONSERVACIÓN,,1449.78,1449.78
2011,X05,Educación,"COLEGIO PÚBLICO PINTOR ROSALES, C/PRÍNCIPE DE VERGARA, 139. ACONDICIONAMIENTO",,22229.91,22224.78
2011,X00,Inversiones de carácter general,,,399379.62,393243.04
2011,X00,Inversiones de carácter general,"EDIFICIO GUATEMALA, 24. INSTALACIÓN  LÁMINAS  PROTECCIÓN SOLAR EN FACHADA",,49473.03,49473.03
2011,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO CHAMARTÍN, C/ PRÍNCIPE DE VERGARA, 142. ACONDICIONAMIENTO",,20026.25,20026.25
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO CHAMARTÍN,,6136.58,
2011,X00,Inversiones de carácter general,"EDIFICIO C/GUATEMALA, 13. ADECUACIÓN",,259593.21,259593.21
2011,X00,Inversiones de carácter general,"EDIFICIO C/ PUERTO RICO, 54. OBRAS DE ADAPTACIÓN",,55948.41,55948.41
2011,X00,Inversiones de carácter general,EDIFICIO SEDE DISTRITO CHAMARTÍN. ACONDICIONAMIENTO,,8202.14,8202.14
2011,X03,Protección y promoción social,,,106625.61,106625.61
2011,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES JUAN PABLO II, C/ PALMITO, 1. OBRAS DE CONSERVACIÓN",,12489.54,12489.54
2011,X03,Protección y promoción social,CENTRO DE SERVICIOS SOCIALES SANTA HORTENSIA. OBRAS DE CONSERVACIÓN,,4694.9,4694.9
2011,X03,Protección y promoción social,"CENTRO DE MAYORES CASTILLA, Pº DE LA CASTELLANA, 304. OBRAS DE CONSERVACIÓN",,19233.24,19233.24
2011,X03,Protección y promoción social,CENTRO INTEGRADO DE DÍA Y MAYORES PZA. JOSE MARÍA SOLER. CONSTRUCCIÓN,,69679.89,69679.89
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE DÍA DE MAYORES JUAN PABLO II, C/PALMITO, 1",,528.04,528.04
2011,X11,"Deportes, juventud y esparcimiento",,,2077184.52,2050922.24
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO CHAMARTÍN, AV. PÍO XII, 2 Y 4. OBRAS DE REFORMA",,399999.99,399999.99
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO CHAMARTÍN, PZ. DEL PERÚ, S/N. SUBSANACIÓN DE PATOLOGÍAS",,1218108.56,1218108.56
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO CHAMARTÍN,,2988.22,
2011,X11,"Deportes, juventud y esparcimiento",PROMOCIÓN ACCESIBILIDAD Y ADAPTACION CALDERAS EN CENTRO DEPORTIVO CHAMARTIN,,178227.47,154953.41
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO PRADILLO, C/PRADILLO, 33. ACONDICIONAMIENTO PABELLONES Y OTRAS",,248146.18,248146.18
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO CHAMARTÍN, PZ. DEL PERÚ, S/N. OBRAS DE CONSERVACIÓN",,818.89,818.89
2011,X11,"Deportes, juventud y esparcimiento",CENTRO JUVENIL LUIS GONZAGA. OBRAS DE CONSERVACIÓN DE ASCENSORES,,28895.21,28895.21
2011,X06,Urbanismo,,,82585.22,80296.96
2011,X06,Urbanismo,PROLONGACIÓN C/PRÍNCIPE DE VERGARA. ÁREA DE PLANEAMIENTO INCORPORADO 5.11,,82585.22,80296.96
2011,X02,"Tráfico, estacionamiento y transporte público",,,158143.74,158143.74
