Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,78419.64,78419.64
2011,X01,Protección Civil y seguridad ciudadana,"EDIFICIO C/ HILARIÓN ESLAVA, 27. ACONDICIONAMIENTO INSTALACIÓN DE CLIMATIZACIÓN",,72676.1,72676.1
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 1, C/ SANTA ENGRACIA, 118. OBRAS DEPÓSITO CARBURANTE",,5743.54,5743.54
2011,X12,Otros bienes públicos de carácter social,,,142408.0,142408.0
2011,X12,Otros bienes públicos de carácter social,"OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID, AV. REINA VICTORIA,7. ADECUACIÓN",,142408.0,142408.0
2011,X10,Cultura,,,204314.08,204314.08
2011,X10,Cultura,"CENTRO CULTURAL GALILEO, C/ FERNANDO EL CATÓLICO, 35. OBRAS DE REFORMA",,204314.08,204314.08
2011,X11,"Deportes, juventud y esparcimiento",,,232224.97,230899.98
2011,X11,"Deportes, juventud y esparcimiento","EQUIPAMIENTO CENTRO JUVENIL RAIMUNDO FERNANDEZ VILLAVERDE, 2",,17325.0,17321.54
2011,X11,"Deportes, juventud y esparcimiento",INSTALACIONES DEPORTIVAS VALLEHERMOSO. OBRAS DE ACONDICIONAMIENTO,,108265.6,108265.58
2011,X11,"Deportes, juventud y esparcimiento","CENTRO JUVENIL C/RAIMUNDO FERNANDEZ VILLAVERDE, 2. OBRAS DE ADAPTACIÓN",,98000.0,96678.49
2011,X11,"Deportes, juventud y esparcimiento","CENTRO JUVENIL C/ RAIMUNDO FERNÁNDEZ VILLAVERDE, 2. INSTALACIÓN ASCENSOR",,8634.37,8634.37
2011,X02,"Tráfico, estacionamiento y transporte público",,,98455.83,98455.83
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE CHAMBERÍ,,4451.68,4451.68
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS Y SEÑALIZACIÓN INTERSECCIONES URBANAS. DISTRITO CHAMBERÍ,,94004.15,94004.15
2011,X08,Mantenimiento urbano,,,1855564.32,1855564.32
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-1 DISTRITO CHAMBERÍ,,1599267.93,1599267.93
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CHAMBERÍ,,5853.58,5853.58
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. DTO. CHAMBERÍ,,247407.82,247407.82
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO CHAMBERÍ,,3034.99,3034.99
2011,X03,Protección y promoción social,,,11951.75,11951.75
2011,X03,Protección y promoción social,"CENTRO DE MAYORES BLASCO DE GARAY, C/ BLASCO DE GARAY, 40. CONSERVACIÓN",,3852.17,3852.17
2011,X03,Protección y promoción social,CENTRO ATENCIÓN SOCIAL A MUJERES MARÍA ZAMBRANO. OBRAS DE CONSERVACIÓN,,8099.58,8099.58
2011,X05,Educación,,,336637.0,313026.32
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO CHAMBERÍ,,23610.68,
2011,X05,Educación,"COLEGIO PÚBLICO CERVANTES, C/ RAIMUNDO FERNÁNDEZ VILLAVERDE, 4. CONSERVACIÓN",,11229.3,11229.3
2011,X05,Educación,ESCUELA INFANTIL FERNANDO EL CATÓLICO. OBRAS DE CONSERVACIÓN,,5318.71,5318.71
2011,X05,Educación,"COLEGIO PÚBLICO CLAUDIO MOYANO, C/ CEA BERMÚDEZ, 26. ACONDICIONAMIENTO",,77567.65,77567.65
2011,X05,Educación,"COLEGIO PÚBLICO RUFINO BLANCO,C/GRAL. ÁLVAREZ DE CASTRO,46. ACONDICIONAMIENTO",,172397.64,172397.64
2011,X05,Educación,"COLEGIO PÚBLICO ASUNCIÓN RINCÓN, AV. FILIPINAS, 5. OBRAS DE ACONDICIONAMIENTO",,46513.02,46513.02
2011,X00,Inversiones de carácter general,,,89155.77,68042.6
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO CHAMBERÍ,,21113.17,
2011,X00,Inversiones de carácter general,"EDIFICIO PALACIO DE ALMAGRO, C/ ALMAGRO, 5. REFORMA",,68042.6,68042.6
2012,X12,Otros bienes públicos de carácter social,,,27391.41,27391.41
2012,X12,Otros bienes públicos de carácter social,"OFICINA ATENCIÓN CONTRIBUYENTE C/RAIMUNDO FERÁNDEZ VILLAVERDE, 32. REFORMA",,25923.49,25923.49
2012,X12,Otros bienes públicos de carácter social,OFICINA ATENCIÓN AL CIUDADANO LÍNEA MADRID CHAMBERÍ. INSTALACIONES SEGURIDAD,,1467.92,1467.92
2012,X10,Cultura,,,19744.64,16753.51
2012,X10,Cultura,INSTALACIONES DE SEGURIDAD. CENTROS CULTURALES DISTRITO CHAMBERÍ,,2991.13,
2012,X10,Cultura,"CENTRO CULTURAL GALILEO, C/ FERNANDO EL CATÓLICO, 35. INSTALACIONES SEGURIDAD",,9183.8,9183.8
2012,X10,Cultura,"CENTRO CULTURAL GALILEO, C/ FERNANDO EL CATÓLICO, 35. OBRAS DE CONSERVACIÓN",,7569.71,7569.71
2012,X11,"Deportes, juventud y esparcimiento",,,1597.2,1597.2
2012,X11,"Deportes, juventud y esparcimiento",CENTRO JUVENIL CUATRO CAMINOS. INSTALACIONES DE SEGURIDAD,,1597.2,1597.2
2012,X02,"Tráfico, estacionamiento y transporte público",,,109640.17,109640.17
2012,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE CHAMBERÍ,,109640.17,109640.17
2012,X08,Mantenimiento urbano,,,1821513.63,1821513.63
2012,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-1 DISTRITO CHAMBERÍ,,1020309.81,1020309.81
2012,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CHAMBERÍ,,801203.82,801203.82
2012,X03,Protección y promoción social,,,142569.67,42569.67
2012,X03,Protección y promoción social,EQUIPAMIENTO NUEVO CENTRO DE DÍA DE MAYORES RAFAEL CALVO,,100000.0,
