Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,9118.34,
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 11, C/ MESENA, S/N. OBRAS EN DEPÓSITO DE CARBURANTE",,9118.34,
2011,X06,Urbanismo,,,533833.78,187115.94
2011,X06,Urbanismo,ADQUISICIÓN SUELO A.P.I. 15.13 EMILIO FERRARI,,214346.03,184435.01
2011,X06,Urbanismo,Polígono Cooperación Luis Carlos Vázquez y otras,,74763.56,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN C/ETOLINO Y V. DE ÁFRICA,,3370.06,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN VALENTINA GUTIERREZ,,156602.22,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN E.D. LUIS RUIZ,,78117.27,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN 21 C AVENIDA DE LA PAZ,,3953.71,
2011,X06,Urbanismo,"ADQUISICIÓN SUELO EN C/TIMOTEO DOMINGO, 29-31. VIARIO",,2680.93,2680.93
2011,X08,Mantenimiento urbano,,,2712709.24,2712709.24
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-6 DTO. CIUDAD LINEAL,,2098077.39,2098077.39
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CIUDAD LINEAL,,423112.87,423112.87
2011,X08,Mantenimiento urbano,HIDRANTES DISTRITO CIUDAD LINEAL. INSTALACIÓN,,4389.64,4389.64
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. CIUDAD LINEAL,,45797.1,45797.1
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO CIUDAD LINEAL,,1333.32,1333.32
2011,X08,Mantenimiento urbano,MEJORA PAVIMENTACIÓN ESPACIOS PÚBLICOS DISTRITO CIUDAD LINEAL. PLAN DE BARRIO,,139998.92,139998.92
2011,X03,Protección y promoción social,,,854116.83,761942.22
