Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,375375.44,359999.99
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 9, AV. MONFORTE DE LEMOS S/N. ACONDICIONAMIENTO",,359999.99,359999.99
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 9, AV.MONFORTE LEMOS, S/N. OBRAS DEPÓSITO CARBURANTE",,15375.45,
2011,X10,Cultura,,,146391.14,146391.14
2011,X10,Cultura,"CENTRO CULTURAL RAFAEL DE LEÓN, C/ ISLA DE ONS, 14. OBRAS DE CONSERVACIÓN",,41165.93,41165.93
2011,X10,Cultura,"CENTRO CULTURAL ALFONSO XII, C/ MIRA EL RÍO, 4. OBRAS DE CONSERVACIÓN",,2393.93,2393.93
2011,X10,Cultura,"CENTRO CULTURAL LA VAGUADA, AV. MONFORTE DE LEMOS, 38. OBRAS DE CONSERVACIÓN",,9503.04,9503.04
2011,X10,Cultura,CENTRO CULTURAL LAS TABLAS. CONSTRUCCIÓN,,47436.0,47436.0
2011,X10,Cultura,CENTRO INTERPRETACIÓN NATURALEZA Y JUVENTUD MONTECARMELO. CONSERVACIÓN,,16964.73,16964.73
2011,X10,Cultura,"CENTRO SOCIO CULTURAL VALVERDE, PZ. ISLAS AZORES, 1. OBRAS DE CONSERVACIÓN",,6103.91,6103.91
2011,X10,Cultura,"CENTRO CULTURAL VALLE INCLÁN, C/ ARZOBISPO MORCILLO, 7. CONSERVACIÓN",,2145.68,2145.68
2011,X10,Cultura,"CENTRO CULTURAL ALFREDO KRAUS, GTA. PRADERA DE VAQUERIZAS,9. CONSERVACIÓN",,16366.25,16366.25
2011,X10,Cultura,"BIBLIOTECA PÚBLICA JOSÉ SARAMAGO, AV. MONFORTE DE LEMOS, 36. CONSERVACIÓN",,4311.67,4311.67
2011,X11,"Deportes, juventud y esparcimiento",,,726387.11,665243.39
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO FUENCARRAL-EL PARDO,,26.55,
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO VICENTE DEL BOSQUE, AV. MONFORTE DE LEMOS, S/N. CONSERVACIÓN",,86352.15,86352.15
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO LA VAGUADA, AV. MONFORTE DE LEMOS, S/N. OBRAS DE CONSERVACIÓN",,9993.68,9993.68
2011,X11,"Deportes, juventud y esparcimiento",ADQUISICIÓN DE EQUIPAMIENTO CENTRO DEPORTIVO MUNICIPAL SANTA ANA,,26.0,25.72
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO SANTA ANA I, C/HOSPITALET DE LLOBREGAT, 11. MEJORA VESTUARIOS",,200413.03,200413.03
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO LA MASÓ, C/ LA MASÓ, S/N. OBRAS DE CONSERVACIÓN",,49349.66,49349.66
2011,X11,"Deportes, juventud y esparcimiento",PISTAS DEPORTIVAS POBLADO DIRIGIDO DE FUENCARRAL. OBRAS DE CONSERVACIÓN,,58999.16,58999.16
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO SANTA ANA, Pº DE LAS ALAMEDILLAS, 5. OBRAS DE CONSERVACIÓN",,4099.63,4099.63
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO VALDEYEROS, C/ ROSALIA DE CASTRO, 77. OBRAS DE CONSERVACIÓN",,4883.54,4883.54
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LA CABRERA, C/ LA CABRERA, S/N. OBRAS DE CONSERVACIÓN",,927.02,927.02
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO ANDRÉS NAVARRETE. OBRAS DE CONSERVACIÓN,,11701.46,11701.46
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO SANTA ANA, C/ HOSPITALET DE LLOBREGAT, 14. ACONDICIONAMIENTO",,23508.62,23508.62
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVOS BÁSICOS DISTRITO FUENCARRAL. INSTALACIÓN PÓRTICOS ENTRADA,,475.5,475.5
2011,X11,"Deportes, juventud y esparcimiento",AMPLIACIÓN Y MEJORA DEL POLIDEPORTIVO BARRIO DEL PILAR,,275631.11,214514.22
2011,X02,"Tráfico, estacionamiento y transporte público",,,147257.59,147257.59
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE FUENCARRAL-EL PARDO,,34292.96,34292.96
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS Y SEÑALIZACIÓN INTERSECCIONES URBANAS. FUENCARRAL-EL PARDO,,112964.63,112964.63
2011,X06,Urbanismo,,,943499.06,845473.97
2011,X06,Urbanismo,"CALLE CUÉLLAR, 4. URBANIZACIÓN",,512.69,
2011,X06,Urbanismo,"C/RAMÓN CAMARERO, 14 AL 25. OBRAS DE URBANIZACIÓN",,100000.0,91774.1
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO CONEXIÓN VENTISQUERO DE LA CONDESA M-40. VIARIO,,11266.83,11266.83
2011,X06,Urbanismo,"ADQUISICIÓN SUELO AV.ILUSTRACIÓN TRAMO II, DESDE ISLA TABARCA A CTRA.EL PARDO",,73473.12,72642.55
2011,X06,Urbanismo,ÁREA DE PLANEAMIENTO INCORPORADO SANDALIA NAVAS 08.13,,197845.14,134731.73
2011,X06,Urbanismo,ADQUISICIÓN SUELO C/ARROYO FRESNO Y AV.CARDENAL HERRERA ORIA. VIARIO,,48860.54,48860.54
2011,X06,Urbanismo,ADQUISICIÓN SUELO CONEXIÓN C/VENTISQUERO DE LA CONDESA-COSTA BRAVA,,12025.3,12025.3
2011,X06,Urbanismo,POLÍGONO INDUSTRIAL DE FUENCARRAL. REMODELACIÓN,,399901.8,399901.8
2011,X06,Urbanismo,C/Manuel Garrido APE 08.09. Urbanización,,17976.75,
2011,X06,Urbanismo,"C/ISLAS HÉBRIDAS, 67. URBANIZACIÓN",,13.52,
2011,X06,Urbanismo,"C/JOAQUÍN LORENZO, 94 Y 108. URBANIZACIÓN",,7352.25,
2011,X06,Urbanismo,MEJORA MOVILIDAD Y ACCESIBILIDAD DIVERSOS ÁMBITOS DTO. FUENCARRAL-EL PARDO,,16874.0,16874.0
2011,X06,Urbanismo,CALLE BASILIO DEL PRADO. URBANIZACIÓN,,57397.12,57397.12
2011,X07,Infraestructuras,,,55555.77,55377.99
2011,X07,Infraestructuras,APARCAMIENTO SUBTERRÁNEO HERRERA ORIA. VIABILIDAD,,55555.77,55377.99
2011,X08,Mantenimiento urbano,,,1730499.76,1730499.76
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-3 DTO. FUENCARRAL,,1363276.68,1363276.68
2011,X08,Mantenimiento urbano,HIDRANTES DISTRITO FUENCARRAL-EL PARDO. INSTALACIÓN,,24922.6,24922.6
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO NORMATIVA.FUENCARRAL-EL PARDO,,125320.32,125320.32
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. FUENCARRAL,,215313.52,215313.52
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO FUENCARRAL,,1666.64,1666.64
2011,X09,Medio ambiente,,,4994201.99,15193.0
2011,X09,Medio ambiente,COLECTOR EN LA SUBCUENCA DE PINOS. CONSTRUCCIÓN,,4979008.99,
2011,X09,Medio ambiente,"AULA DE ECOLOGÍA EL PALOMAR DE LAS TABLAS,C/ CAPISCOL, 5. OBRAS DE CONSERVACIÓN",,15193.0,15193.0
2011,X03,Protección y promoción social,,,252504.96,252287.56
2011,X03,Protección y promoción social,"CENTRO DE MAYORES LA VAGUADA, AV. MONFORTE DE LEMOS, 38. CONSERVACIÓN",,3966.11,3966.11
2011,X03,Protección y promoción social,"CENTRO DE MAYORES PEÑAGRANDE, C/ ISLA DE ONS, 28. OBRAS DE CONSERVACIÓN",,33666.67,33666.67
2011,X03,Protección y promoción social,"CENTRO DE MAYORES GINZO DE LIMIA, C/ GINZO DE LIMIA, 66. OBRAS DE CONSERVACIÓN",,37508.93,37508.93
2011,X03,Protección y promoción social,CENTRO DE MAYORES VOCAL VECINO JUSTO SIERRA. OBRAS DE CONSERVACIÓN,,2797.84,2797.84
2011,X03,Protección y promoción social,"CENTRO SERVICIOS SOCIALES,C/BUITRAGO DE LOZOYA, 22.ADECUACIÓN REDES SERVICIOS",,16931.58,16931.58
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES ""LA VAGUADA""",,1000.0,782.6
2011,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES EL PARDO, C/ GENERAL URRUTIA, 1. CONSERVACIÓN",,3663.1,3663.1
2011,X03,Protección y promoción social,CENTRO DE SERVICIOS SOCIALES VEREDA DE GANAPANES. OBRAS DE CONSERVACIÓN,,21521.82,21521.82
2011,X03,Protección y promoción social,"CENTRO DE SERVICIOS SOCIALES BADALONA,C/ BADALONA, 122.OBRAS DE CONSERVACIÓN",,36959.78,36959.78
2011,X03,Protección y promoción social,CENTRO DE DÍA DE MENORES C/ SANTA ANA. OBRAS DE CONSERVACIÓN,,70.79,70.79
2011,X03,Protección y promoción social,"CENTRO DE MAYORES LAS ARCADAS, AV. MONFORTE DE LEMOS, 38. CONSERVACIÓN",,132.88,132.88
2011,X03,Protección y promoción social,"CENTRO DE MAYORES ISLAS JARVI, C/ ISLAS JARVI, S/N. OBRAS DE CONSERVACIÓN",,24391.8,24391.8
2011,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES PEÑAGRANDE, C/ ISLA MALAITA. OBRAS DE CONSERVACIÓN",,12213.85,12213.85
2011,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES FRAY LUIS DE LEÓN, C/ MANRESA, 1. CONSERVACIÓN",,57679.81,57679.81
2011,X05,Educación,,,1252114.36,1251443.92
2011,X05,Educación,"COLEGIO PÚBLICO LEOPOLDO CALVO SOTELO, C/ PUENTE LA REINA. CONSERVACIÓN",,13941.61,13941.61
2011,X05,Educación,"COLEGIO PÚBLICO MIRASIERRA, C/ LA MASÓ, 22. OBRAS DE CONSERVACIÓN",,64278.15,64278.15
2011,X05,Educación,"COLEGIO PÚBLICO JOSÉ BERGAMÍN, C/ BRAILLE, 19. OBRAS DE CONSERVACIÓN",,41904.84,41904.84
2011,X05,Educación,"COLEGIO PÚBLICO LORENZO LUZURIAGA, C/ VALENCIA DE DON JUAN, 19. CONSERVACIÓN",,49498.79,49498.79
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL FUENCARRAL Nº 7, C/ CUEVA DE MONTESINOS, 2",,10295.03,10295.03
2011,X05,Educación,COLEGIO PÚBLICO CAMILO JOSÉ CELA. OBRAS DE CONSERVACIÓN,,35975.23,35975.23
2011,X05,Educación,"COLEGIO PÚBLICO BREOGÁN, C/ GINZO DE LIMIA, 2. OBRAS DE CONSERVACIÓN",,56399.65,56399.65
2011,X05,Educación,"COLEGIO PÚBLICO LUIS DE GÓNGORA, C/ SARRIÁ, 49. OBRAS DE CONSERVACIÓN",,27386.25,27386.25
2011,X05,Educación,COLEGIO PÚBLICO PRÍNCIPE DE ASTURIAS. OBRAS DE CONSERVACIÓN,,46975.21,46975.21
2011,X05,Educación,CENTRO EDUCACIÓN ESPECIAL FRANCISCO DEL POZO. OBRAS DE CONSERVACIÓN,,43848.63,43848.63
2011,X05,Educación,ESCUELA INFANTIL VEREDA DE GANAPANES. CONSTRUCCIÓN,,234866.24,234631.81
2011,X05,Educación,"COLEGIO PÚBLICO VASCO NÚÑEZ DE BALBOA,C/ NTRA.SRA. VALVERDE, 149. CONSERVACIÓN",,29062.9,29062.9
2011,X05,Educación,"ESCUELA INFANTIL LA CARACOLA, C/ BELORADO, S/N. OBRAS DE CONSERVACIÓN",,12812.58,12812.58
2011,X05,Educación,"ESCUELA INFANTIL FUENCARRAL-EL PARDO Nº 6, C/ CHANTADA, 4. OBRAS CONSERVACIÓN",,5998.24,5998.24
2011,X05,Educación,"COLEGIO PÚBLICO ARROYOFRESNO, C/PICO BALAITUS, 24 B. OBRAS DE CONSERVACIÓN",,4236.46,4236.46
2011,X05,Educación,"COLEGIO PÚBLICO JOSEP TARRADELLAS, C/TRIACASTELA S/N. OBRAS DE CONSERVACIÓN",,4645.55,4645.55
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO FUENCARRAL-EL PARDO,,436.01,
2011,X05,Educación,"CENTRO DE EDUCACIÓN ESPECIAL LA QUINTA, CRTA. EL PARDO,S/N. CONSERVACIÓN",,32503.88,32503.88
2011,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DEL PARAGUAY, C/MANRESA, 60. OBRAS DE CONSERVACIÓN",,19042.8,19042.8
2011,X05,Educación,"COLEGIO PÚBLICO MONTE DEL PARDO, AV.DE LA GUARDIA, 19. OBRAS DE CONSERVACIÓN",,14683.42,14683.42
2011,X05,Educación,"COLEGIO PÚBLICO PRÍNCIPE FELIPE, AV.MONFORTE DE LEMOS, 24. CONSERVACIÓN",,46892.4,46892.4
2011,X05,Educación,"COLEGIO PÚBLICO GABRIELA MISTRAL, C/MIRALLOS, 3. OBRAS DE CONSERVACIÓN",,5738.05,5738.05
2011,X05,Educación,"COLEGIO PÚBLICO INFANTA LEONOR, AV.MONASTERIO DEL PAULAR, 140. CONSERVACIÓN",,36253.88,36253.88
2011,X05,Educación,"COLEGIO PÚBLICO JORGE GUILLÉN, AV. EL FERROL, 47. OBRAS DE CONSERVACIÓN",,40526.93,40526.93
2011,X05,Educación,"COLEGIO PÚBLICO BRAVO MURILLO, C/ISLAS CIES, 11. OBRAS DE CONSERVACIÓN",,58514.07,58514.07
2011,X05,Educación,"COLEGIO PÚBLICO CARDENAL HERRERA ORIA, C/FERMÍN CABALLERO, 68. CONSERVACIÓN",,99517.88,99517.88
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL FUENCARRAL - EL PARDO Nº 6, C/ CHANTADA, 41",,17224.82,17224.82
2011,X05,Educación,ESCUELA DE MÚSICA CARMELO ALONSO BERNAOLA. PLACA PARA PIANO DONADO,,344.56,344.56
2011,X05,Educación,"EQUIPAMIENTO ESCUELA DE MÚSICA CARMELO ALONSO BERNAOLA, AV. SOTO PALACIOS, 7",,2053.11,2053.11
2011,X05,Educación,EQUIPAMIENTO ESCUELA INFANTIL C/ VEREDA DE GANAPANES,,1970.6,1970.6
2011,X05,Educación,"COLEGIO PÚBLICO ALHAMBRA, C/RAMÓN GOMEZ DE LA SERNA, 103. CONSERVACIÓN",,38995.14,38995.14
2011,X05,Educación,"COLEGIO PÚBLICO RABINDRANATH TAGORE, C/JULIO PALACIOS, 35. CONSERVACIÓN",,59958.93,59958.93
2011,X05,Educación,"COLEGIO PÚBLICO ENRIQUE GRANADOS, C/ VIRGEN DE ARANZAZU, 5. CONSERVACIÓN",,51726.27,51726.27
2011,X05,Educación,"COLEGIO PÚBLICO FEDERICO GARCÍA LORCA, C/ RIBADAVIA, 20. OBRAS CONSERVACIÓN",,43606.25,43606.25
2011,X00,Inversiones de carácter general,,,41172.48,39468.0
