Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,1911246.38,1910279.91
2011,X10,Cultura,"CENTRO CULTURAL HORTALEZA, C/ SANTA VIRGILIA, 15. OBRAS DE CONSERVACIÓN",,1697.71,1697.71
2011,X10,Cultura,CENTRO CULTURAL EN EL PAU DE SANCHINARRO. CONSTRUCCIÓN,,1008343.98,1008343.97
2011,X10,Cultura,EQUIPAMIENTO NUEVO CENTRO CULTURAL SANCHINARRO,,563655.65,562720.83
2011,X10,Cultura,"EQUIPAMIENTO CENTRO CULTURAL CARRIL DEL CONDE, C/ CARRIL DEL CONDE, 57",,3452.15,3420.51
2011,X10,Cultura,"EQUIPAMIENTO CENTRO CULTURAL HORTALEZA, C/ SANTA VIRGILIA, 13.",,342.2,342.2
2011,X10,Cultura,"CENTRO CULTURAL HUERTA DE LA SALUD, C/MAR DE LAS ANTILLAS, 8. CONSERVACIÓN",,42306.99,42306.99
2011,X10,Cultura,CENTRO CULTURAL HUERTA DE LA SALUD II (TALLERES). OBRAS DE CONSERVACIÓN,,5643.43,5643.43
2011,X10,Cultura,"CENTRO CULTURAL SANCHINARRO, PZA.ALCALDE MORENO TORRES. ACONDICIONAMIENTO",,285804.27,285804.27
2011,X11,"Deportes, juventud y esparcimiento",,,675768.97,669323.28
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO HORTALEZA,,4500.72,
2011,X11,"Deportes, juventud y esparcimiento",CENTRO DEPORTIVO PARA PERSONAS CON DISCAPACIDAD. CONSTRUCCIÓN,,375768.97,373824.0
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO HORTALEZA, CTRA. ESTACIÓN, 11. OBRAS DE CONSERVACIÓN",,38238.3,38238.3
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO LUIS ARAGONÉS, C/EL PROVENCIO, 20. OBRAS DE CONSERVACIÓN",,82408.81,82408.81
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO PARQUE JUAN PABLO II. OBRAS DE CONSERVACIÓN,,93042.83,93042.83
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO MANIZALES, C/ GALAPA, 10. OBRAS DE CONSERVACIÓN",,79075.54,79075.54
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO GLORIETA AVDA. SAN LUIS, C/AÑASTRO, 78. OBRAS DE CONSERVACIÓN",,546.76,546.76
