Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,587803.8,587803.8
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 12, AV. POBLADOS, 48. OBRAS EN DEPÓSITO DE CARBURANTE",,11404.48,11404.48
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 12, AV. DE LOS POBLADOS, 33. REFORMA",,520433.85,520433.85
2011,X01,Protección Civil y seguridad ciudadana,CENTRO INTEGRAL DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS. REFORMA,,55965.47,55965.47
2011,X11,"Deportes, juventud y esparcimiento",,,2773875.26,2773837.52
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO LATINA,,37.74,
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO ALUCHE, AV. GENERAL FANJUL, 14. OBRAS DE ACONDICIONAMIENTO",,193217.38,193217.38
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LOS CAPRICHOS, C/ SEPÚLVEDA, 5. OBRAS DE CONSERVACIÓN",,8345.14,8345.14
2011,X11,"Deportes, juventud y esparcimiento",PABELLÓN CUBIERTO PARA PISTA DE ATLETISMO EN  LATINA. CONSTRUCCIÓN,,2358823.07,2358823.07
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO ARJONA. OBRAS DE CONSERVACIÓN,,54.83,54.83
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LOS CÁRMENES, C/ ALHAMBRA, 35. OBRAS DE CONSERVACIÓN",,1360.54,1360.54
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO LAS CRUCES, AV. DE LOS POBLADOS. ADECUACIÓN REDES DE SERVICIOS",,11585.5,11585.5
2011,X11,"Deportes, juventud y esparcimiento",POLIDEPORTIVO GALLUR. REFORMA VESTUARIOS PISCINA,,34790.19,34790.19
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO GALLUR, C/GALLUR S/N. OBRAS DE ACONDICIONAMIENTO",,41357.3,41357.3
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO GENERAL MILLÁN ASTRAY, C/ GRAL. MILLÁN ASTRAY,2. CONSERVACIÓN",,3032.99,3032.99
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE DE LAS CRUCES II, C/ VIDAUBA, S/N. ACONDICIONAMIENTO",,36078.48,36078.48
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO GABRIEL FERNÁNDEZ, C/ CUART DE POBLET,6. OBRAS CONSERVACIÓN",,2382.44,2382.44
