Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,102941.16,75923.16
2011,X10,Cultura,"CENTRO CULTURAL MONCLOA, PZA. MONCLOA, 1. OBRAS DE REFORMA",,9999.0,
2011,X10,Cultura,ESTATUA DE AGUSTÍN ARGÜELLES. REPARACIÓN Y COLOCACIÓN,,58992.72,58992.72
2011,X10,Cultura,TEMPLO DE DEBOD. ACONDICIONAMIENTO,,16930.44,16930.44
2011,X10,Cultura,"CENTRO CULTURAL MONCLOA, PZA.MONCLOA, 1. INSTALACIONES ELÉCTRICAS",,17019.0,
2011,X14,Sectores productivos,,,304686.77,304685.26
2011,X14,Sectores productivos,MODERNIZACIÓN ILUMINACIÓN Y ELEMENTOS INFORMATIVOS EN FARO DE LA  MONCLOA,,304686.77,304685.26
2011,X00,Inversiones de carácter general,,,60625.91,58943.09
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO MONCLOA-ARAVACA,,1681.91,
2011,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO MONCLOA-ARAVACA, PZA.MONCLOA S/N. REPARACIÓN CÚPULA",,58944.0,58943.09
2011,X06,Urbanismo,,,12739425.16,12474576.27
2011,X06,Urbanismo,C/ JIMENA MENÉNDEZ PIDAL. OBRAS DE URBANIZACIÓN,,104745.76,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN EMERENCIANA ZURILLA,,78103.31,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN C/SAN GERARDO Y OTRAS,,5663.26,
2011,X06,Urbanismo,ÁREA DE PLANEAMIENTO ESPECÍFICO C/ASTROLABIO,,49755.7,
2011,X06,Urbanismo,"CALLE SOPELANA, 8. URBANIZACIÓN",,265.42,
2011,X06,Urbanismo,"AVENIDA OSA MAYOR, 19. URBANIZACIÓN",,4406.78,
2011,X06,Urbanismo,"C/PRÍNCIPE DE VIANA, 3. OBRAS DE URBANIZACIÓN",,10603.45,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO M-40 DISTRIBUIDOR OESTE,,9049149.4,9049149.4
2011,X06,Urbanismo,"ADQUISICIÓN DE SUELO EN EL BARRIO DE SANTA MARÍA, (ANILLO VERDE CILISTA)",,2815816.82,2815816.82
2011,X06,Urbanismo,ADQUISICIÓN SUELO EMERENCIANA ZURILLA PERI 9/8,,54004.37,42902.93
2011,X06,Urbanismo,"C/ GÜECHO, 12 Y 17. OBRAS DE URBANIZACIÓN",,26151.37,26151.37
2011,X06,Urbanismo,"PASEO JUAN XXIII, 15. URBANIZACIÓN",,134.45,
2011,X06,Urbanismo,"CALLE AMOREBIETA, 19. URBANIZACIÓN",,2.5,
2011,X06,Urbanismo,"CALLE IBAIONDO, 6. URBANIZACIÓN",,11.06,
