Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X14,Sectores productivos,,,491262.38,491262.38
2011,X14,Sectores productivos,"EQUIPAMIENTO VIVERO DE EMPRESAS DE MORATALAZ, Cº DE VINATEROS, 106",,20827.6,20827.6
2011,X14,Sectores productivos,"VIVERO DE EMPRESAS DE MORATALAZ. ADAPTACIÓN EDIFICIO Cº DE VINATEROS, 106",,470434.78,470434.78
2011,X02,"Tráfico, estacionamiento y transporte público",,,211052.82,211052.82
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS Y SEÑALIZACIÓN INTERSECCIONES URBANAS. DISTRITO MORATALAZ,,211052.82,211052.82
2011,X08,Mantenimiento urbano,,,1382666.2,1382666.2
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-5 DTO. MORATALAZ,,1169524.47,1169524.47
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. MORATALAZ,,29073.45,29073.45
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. DTO.MORATALAZ,,183901.62,183901.62
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO MORATALAZ,,166.66,166.66
2011,X09,Medio ambiente,,,3314.0,
2011,X09,Medio ambiente,PARQUE CUÑA VERDE O´DONNELL . CONSTRUCCIÓN,,3314.0,
2011,X06,Urbanismo,,,29066.95,29066.95
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO VALLEUNCOSO Y LAS PILILLAS,,29066.95,29066.95
2011,X03,Protección y promoción social,,,1367340.2,1303654.24
2011,X03,Protección y promoción social,EQUIPAMIENTO CENTRO DE MAYORES NICANOR BARROSO,,43588.03,43522.62
2011,X03,Protección y promoción social,EQUIPAMIENTO NUEVO CENTRO DE DÍA DE MAYORES NICANOR BARROSO,,110000.0,46733.69
