Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,1586593.53,1586450.48
2011,X10,Cultura,CENTRO CULTURAL DE ENTREVÍAS. INSTALACIÓN LÁMINAS PROTECCIÓN SOLAR FACHADA,,43998.52,43998.52
2011,X10,Cultura,"CENTRO CULTURAL POZO DEL TÍO RAIMUNDO, AV. GLORIETAS, 19. CONSERVACIÓN",,81478.2,81478.2
2011,X10,Cultura,"CENTRO CULTURAL ALBERTO SÁNCHEZ, C/ RISCO DE PELOCHE, 14. CONSERVACIÓN",,13049.05,13049.05
2011,X10,Cultura,CENTRO CULTURAL DE ENTREVÍAS. CONSTRUCCIÓN,,1225848.37,1225848.37
2011,X10,Cultura,INSTALACIÓN Y PAISAJÍSTICA EN RECUERDO VÍCTIMAS 11-M EN POZO TÍO RAIMUNDO,,183495.29,183352.24
2011,X10,Cultura,CENTRO CULTURAL TALLERES DE CREATIVIDAD. CONSERVACIÓN,,2107.95,2107.95
2011,X10,Cultura,"AUDITORIO ENTREVÍAS, C/ RONDA DEL SUR, S/N. CONSERVACIÓN",,8812.64,8812.64
2011,X10,Cultura,"CENTRO CULTURAL ENTREVÍAS, C/CONCEJO DE TEVERGA, 1. OBRAS DE CONSERVACIÓN",,7273.99,7273.99
2011,X10,Cultura,"CENTRO CULTURAL LOPE DE VEGA, C/ CONCEJO DE TEVERGA, 1. OBRAS CONSERVACIÓN",,2323.84,2323.84
2011,X10,Cultura,"CENTRO CULTURAL TALLERES DE CREATIVIDAD, C/ SIERRA CARBONERA, 74. REFORMA",,18205.68,18205.68
2011,X06,Urbanismo,,,1285081.85,1101445.14
2011,X06,Urbanismo,"C/ JOSÉ PAULETE, 24. OBRAS DE URBANIZACIÓN",,105593.22,
2011,X06,Urbanismo,COLONIAS SAN FCO.JAVIER-NUESTRA SRA.DE LOS ÁNGELES.CIERRE REDES DE SERVICIOS,,21240.0,21239.99
2011,X06,Urbanismo,UNIDAD VECINAL 4 DE ENTREVÍAS. URBANIZACIÓN,,25747.27,
2011,X06,Urbanismo,COLONIA LA VIÑA DE ENTREVÍAS. URBANIZACIÓN,,40979.59,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO EN Bº STA. CATALINA MANZANARES SUR. ZONA VERDE,,86440.66,86440.66
2011,X06,Urbanismo,"POLÍGONO DE COOPERACIÓN C/RAMÍREZ TOMÉ, SAN MIGUEL Y OTRAS",,7442.28,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO SIERRA TOLEDANA  APR 13.01,,375218.09,371348.13
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO C/PUERTO DE CANFRANC. VIARIO,,74735.91,74735.91
2011,X06,Urbanismo,"CALLES RODRÍGUEZ ESPINOSA, 23 Y SIERRA BERMEJA, 30. URBANIZACIÓN",,4.38,
2011,X06,Urbanismo,MEJORA MOVILIDAD Y ACCESIBILIDAD DIVERSOS ÁMBITOS DTO.PUENTE DE VALLECAS,,16874.0,16874.0
2011,X06,Urbanismo,"ADQUISICIÓN DE SUELO C/PEIRONCELY, 5",,376953.14,376953.14
2011,X06,Urbanismo,ADQUISICIÓN SUELO AV. ALBUFERA A.P.D. 14/2 NORTE. EQUIPAMIENTOS,,58882.38,58882.38
2011,X06,Urbanismo,"DERRIBO Y VALLADO SIERRA TOLEDANA, A.P.R. 13.01",,41872.36,41872.36
2011,X06,Urbanismo,DERRIBO Y VALLADO DOCTOR SÁNCHEZ API 13.15,,53098.57,53098.57
2011,X08,Mantenimiento urbano,,,1927248.65,1927248.65
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-5 DTO.PUENTE VALLECAS,,1407045.55,1407045.55
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. PUENTE VALLECAS,,40331.73,40331.73
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. PTE. VALLECAS,,283941.07,283941.07
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO PUENTE DE VALLECAS,,999.98,999.98
2011,X08,Mantenimiento urbano,MEJORA PAVIMENTACIÓN ESPACIOS PÚBLICOS DISTRITO PUENTE VALLECAS. PLAN BARRIO,,194930.32,194930.32
2011,X09,Medio ambiente,,,2462956.41,2177450.21
2011,X09,Medio ambiente,CENTRO MANTENIMIENTO ZONA INFERIOR RÍO MANZANARES. RECONSTRUCCIÓN,,85500.31,
2011,X09,Medio ambiente,RECOGIDA NEUMÁTICA RESIDUOS EN COLONIAS S.FCO.JAVIER Y NTRA.SRA.ÁNGELES,,1271742.54,1171741.48
2011,X09,Medio ambiente,"CENTRAL TERMOELÉCTRICA N.SRA.ÁNGELES:ELECTRICIDAD,CALEFACCIÓN,AGUA CALIENTE",,1105713.56,1005708.73
2011,X03,Protección y promoción social,,,1326721.34,1222239.54
2011,X03,Protección y promoción social,EQUIPAMIENTO NUEVO CENTRO DE DÍA DE MAYORES SIERRA JAVALAMBRE,,130000.0,68883.14
2011,X03,Protección y promoción social,EQUIPAMIENTO NUEVO CENTRO DE MAYORES PUERTO DE NAVACERRADA,,177800.0,134753.05
2011,X03,Protección y promoción social,"CENTRO DE MAYORES SAN DIEGO, C/ JAVIER DE MIGUEL, 10. OBRAS DE CONSERVACIÓN",,744.93,744.93
2011,X03,Protección y promoción social,"CENTRO DE MAYORES ALTO DEL ARENAL, C/ SIERRA SALVADA, 30. CONSERVACIÓN",,20371.67,20371.67
2011,X03,Protección y promoción social,"CENTRO DE MAYORES CASA DEL BULEVAR, C/ PEÑA GORBEA, 22. CONSERVACIÓN",,37307.05,37307.05
2011,X03,Protección y promoción social,CENTRO DE DÍA DE MAYORES C/SIERRA DE JAVALAMBRE. CONSTRUCCIÓN,,206462.58,206462.58
2011,X03,Protección y promoción social,"CONSTRUCCIÓN CENTRO DE ATENCIÓN SOCIAL A MAYORES,C/PUERTO DE NAVACERRADA, 1",,528424.73,528419.4
2011,X03,Protección y promoción social,EQUIPAMIENTO CENTRO DE DÍA Y MAYORES SIERRA DE JAVALAMBRE,,104190.49,104190.48
2011,X03,Protección y promoción social,EQUIPAMIENTO CENTRO DE MAYORES C/ SIERRA JAVALAMBRE,,7500.0,7438.74
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES C/ PUERTO DE NAVACERRADA, 1",,10500.0,10274.66
2011,X03,Protección y promoción social,CENTRO DE MAYORES C/ SIERRA DE LOS FILABRES. SEÑALIZACIÓN,,2835.0,2822.03
2011,X03,Protección y promoción social,"CENTRO DE MAYORES C/ PUERTO DE NAVACERRADA, 1. SEÑALIZACIÓN",,5500.0,5486.92
2011,X03,Protección y promoción social,"CENTRO DE MAYORES PABLO NERUDA, C/ GERARDO DIEGO, 8. ACONDICIONAMIENTO",,40624.47,40624.47
2011,X03,Protección y promoción social,"CENTRO DE MAYORES RAMÓN PÉREZ DE AYALA, C/MARISMAS, 24. CONSERVACIÓN",,24488.74,24488.74
2011,X03,Protección y promoción social,"CENTRO DE MAYORES ENTREVÍAS, C/ YUSTE, 8. OBRAS DE CONSERVACIÓN",,29800.58,29800.58
2011,X03,Protección y promoción social,AGENCIA DE ZONA PUENTE DE VALLECAS. EQUIPAMIENTO POLÍTICAS ACTIVAS DE EMPLEO,,171.1,171.1
2011,X00,Inversiones de carácter general,,,26139.21,26138.1
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO PUENTE DE VALLECAS,,1.11,
2011,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO PUENTE DE VALLECAS, AV. ALBUFERA, 42. CONSERVACIÓN",,26138.1,26138.1
2011,X11,"Deportes, juventud y esparcimiento",,,348439.0,348437.35
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO PUENTE DE VALLECAS,,1.65,
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LOS ARBOLITOS, C/ RONDA DEL SUR, S/N. OBRAS DE CONSERVACIÓN",,145.51,145.51
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO PALOMERAS, AV. ALBUFERA, 321. CONSERVACIÓN",,54185.41,54185.41
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO PUENTE DE VALLECAS, C/ PAYASO FOFÓ, 7. CONSERVACIÓN",,151108.08,151108.08
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO ALBERTO GARCÍA, C/ REGUERA DE TOMATEROS, 39. CONSERVACIÓN",,36321.78,36321.78
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO ENTREVÍAS, C/ RONDA DEL SUR, 4. CONSERVACIÓN",,44867.73,44867.73
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO COLONIA DE LOS TAXISTAS. CONSERVACIÓN,,11658.96,11658.96
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO HERMANOS TRUEBA, C/HERMANOS TRUEBA, 30. CONSERVACIÓN",,7828.0,7828.0
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO FRANCISCO LAGUNA, C/FRANCISCO LAGUNA, 36. CONSERVACIÓN",,3529.57,3529.57
