Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,21715587.4,21468230.84
2011,X10,Cultura,BIBLIOTECA PÚBLICA ANTIGUA CASA FIERAS PARQUE DEL RETIRO. ACONDICIONAMIENTO,,4537545.05,4531813.94
2011,X10,Cultura,"EDIFICIO ""D "" CONJUNTO DAOIZ Y VELARDE REHABILITACIÓN PARA CENTRO CULTURAL",,2494474.32,2252848.88
2011,X10,Cultura,"CENTRO CULTURAL CASA DE VACAS, Pº COLOMBIA, S/N. OBRAS DE ACONDICIONAMIENTO",,1668.62,1668.62
2011,X10,Cultura,"CENTRO CULTURAL LUIS PEIDRÓ, C/ LUIS PEIDRÓ, 2. OBRAS DE ACONDICIONAMIENTO",,1656.33,1656.33
2011,X10,Cultura,PALACIO DE COMUNICACIONES CIBELES. ADECUACIÓN,,14654916.51,14654916.5
2011,X10,Cultura,"CENTRO CULTURAL CASA DE VACAS, Pº. COLOMBIA, S/N. MEJORA DE FACHADA",,25326.57,25326.57
2011,X00,Inversiones de carácter general,,,1164179.63,1069788.89
2011,X00,Inversiones de carácter general,PALACIO DE COMUNICACIONES. MEJORA ACCESIBILIDAD Y ADECUACIÓN A NORMATIVA,,255486.21,255486.21
2011,X00,Inversiones de carácter general,"EDIFICIO AV. DEL MEDITERRÁNEO, 62. INSTALACIÓN LÁMINAS PROTECCIÓN SOLAR FACHADA",,41997.79,41997.79
2011,X00,Inversiones de carácter general,"PABELLÓN JARDINES CECILIO RODRÍGUEZ, Pº. URUGUAY, S/N. OBRAS ACONDICIONAMIENTO",,9999.98,9999.98
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO RETIRO,,84736.3,
2011,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO RETIRO, AV.CIUDAD DE BARCELONA, 162. CONSERVACIÓN",,54747.05,54747.05
2011,X00,Inversiones de carácter general,"EDIFICIO ALFONSO XI, 3. INSTALACIÓN DE BARANDILLAS EN ESCALERAS INTERIORES",,5159.03,5159.03
2011,X00,Inversiones de carácter general,"EDIFICIO C/ ALFONSO, XI, 3. ACONDICIONAMIENTO",,157324.66,157324.66
2011,X00,Inversiones de carácter general,SEÑALIZACIÓN EDIFICIO NUEVA SEDE ARÉA DE GOBIERNO DE LAS ARTES,,18000.0,8345.56
2011,X00,Inversiones de carácter general,PALACIO DE COMUNICACIONES CIBELES. MANTENIMIENTO E ILUMINACIÓN FACHADAS,,536728.61,536728.61
2011,X02,"Tráfico, estacionamiento y transporte público",,,35639.95,35639.95
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE RETIRO,,3161.15,3161.15
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS Y SEÑALIZACIÓN INTERSECCIONES URBANAS. DISTRITO RETIRO,,32478.8,32478.8
2011,X08,Mantenimiento urbano,,,1000965.09,1000965.09
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-2. DISTRITO RETIRO,,806027.81,806027.81
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. RETIRO,,2119.91,2119.91
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. DTO. RETIRO,,191984.06,191984.06
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO RETIRO,,833.31,833.31
2011,X09,Medio ambiente,,,1055219.97,943807.88
2011,X09,Medio ambiente,ENTORNO PASEO DE MÉJICO Y SALÓN DEL ESTANQUE DEL RETIRO. REHABILITACIÓN,,288052.0,236888.81
2011,X09,Medio ambiente,ENCINAR JARDINES BUEN RETIRO (PUERTA DANTE - MARIANO CAVIA).REHABILITACIÓN,,543914.0,484142.45
2011,X09,Medio ambiente,REHABILITACIÓN DEL VIVERO DE ESTUFAS DE LOS JARDINES DEL BUEN RETIRO,,104091.53,103647.13
2011,X09,Medio ambiente,NAVE VIVEROS DE RETIRO. SUBSANACIÓN DE PATOLOGÍAS,,82600.0,82600.0
2011,X09,Medio ambiente,ENTORNO AL MONUMENTO A ALFONSO XII EN PARQUE DEL RETIRO. REHABILITACIÓN,,34150.86,34143.3
2011,X09,Medio ambiente,"JARDINES HERRERO PALACIOS, PARQUE DEL RETIRO. REHABILITACIÓN",,25.39,
2011,X09,Medio ambiente,EDIFICIO SERVICIO VIVEROS PARQUE DEL RETIRO. SUBSANACIÓN PATOLOGÍAS,,2386.19,2386.19
2011,X03,Protección y promoción social,,,75054.01,73911.01
2011,X03,Protección y promoción social,"CENTRO DE MAYORES PÍO BAROJA, C/ PÍO BAROJA, 8. OBRAS DE CONSERVACIÓN",,20.73,20.73
2011,X03,Protección y promoción social,CENTRO DE SERVICIOS SOCIALES RETIRO. OBRAS DE CONSERVACIÓN,,61170.63,61170.63
2011,X03,Protección y promoción social,"CENTRO DE MAYORES PÉREZ GALDÓS, AV.CIUDAD DE BARCELONA, 182. CONSERVACIÓN",,12664.7,12664.7
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE SERVICIOS SOCIALES. C/JOSÉ MARTINEZ VELASCO, 22",,1143.0,
2011,X03,Protección y promoción social,APARTAMENTOS TUTELADOS PARA MAYORES RETIRO. OBRAS DE CONSERVACIÓN,,54.95,54.95
2011,X05,Educación,,,278451.09,164418.46
