Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,329072.94,322265.24
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 2, C/RUFINO BLANCO, 4. OBRAS DE ACONDICIONAMIENTO",,315400.0,315400.0
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS Nº 8, C/ PIO FELIPE, S/N. OBRAS EN DEPÓSITO DE CARBURANTE",,6802.94,
2011,X01,Protección Civil y seguridad ciudadana,CENTRO INTEGRAL SEGURIDAD Y EMERGENCIAS. ADECUACIÓN INSTALACIONES NORMATIVA,,6870.0,6865.24
2011,X10,Cultura,,,1009200.51,1007919.33
2011,X10,Cultura,MEJORA DE ESPACIOS Y ADECUACIÓN DEL TEATRO Y CENTRO DE ARTE FERNÁN GÓMEZ,,985226.27,983945.09
2011,X10,Cultura,INSTALACIONES DE SEGURIDAD. CENTRO CULTURAL BUENAVISTA,,2962.84,2962.84
2011,X10,Cultura,"CENTRO CULTURAL BUENAVISTA, AV. TOREROS, 5. CLIMATIZACIÓN",,21011.4,21011.4
2011,X06,Urbanismo,,,10050819.0,10049899.06
2011,X06,Urbanismo,AVDA. CAMILO JOSÉ CELA C/V.C/FRANCISCO SANTOS Y C/ERASO. URBANIZACIÓN,,919.94,
2011,X06,Urbanismo,"LOCAL C/ NÚÑEZ DE BALBOA, 40. ADQUISICIÓN",,9999987.43,9999987.43
2011,X06,Urbanismo,APARCAMIENTO PÚBLICO PASEO RECOLETOS. URBANIZACIÓN ENTORNO VIARIO,,49911.63,49911.63
2011,X07,Infraestructuras,,,1343753.45,752448.53
2011,X07,Infraestructuras,REDES ALIMENTACIÓN ELÉCTRICA  PARA VEHICULOS EN APARCAMIENTOS C/SERRANO,,642106.24,141456.37
2011,X07,Infraestructuras,"ADECUACIÓN GALERIAS C/SERRANO: SEGURIDAD INCENDIOS, GASES Y CONTROL ACCESOS",,701647.21,610992.16
2011,X08,Mantenimiento urbano,,,2513688.73,2513688.73
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-2 DTO. SALAMANCA,,1949550.75,1949550.75
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. SALAMANCA,,204931.73,204931.73
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. DTO.SALAMANCA,,358206.27,358206.27
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO SALAMANCA,,999.98,999.98
2011,X09,Medio ambiente,,,124773.2,95163.71
2011,X09,Medio ambiente,PARQUE QUINTA FUENTE DEL BERRO. REHABILITACIÓN,,94262.9,65613.41
2011,X09,Medio ambiente,INSTALACIÓN FUENTE ORNAMENTAL CALLE CORAZÓN DE MARÍA Y CAMILO JOSE CELA,,960.0,
2011,X09,Medio ambiente,ZONAS AJARDINADAS ENTORNO PARQUE FUENTE DEL BERRO. REMODELACIÓN,,29550.3,29550.3
2011,X03,Protección y promoción social,,,73942.76,73942.17
2011,X03,Protección y promoción social,CENTRO DE SERVICIOS SOCIALES GUINDALERA. OBRAS DE ACONDICIONAMIENTO,,69504.29,69504.29
