Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,475523.39,475523.39
2011,X10,Cultura,"CENTRO CULTURAL ANTONIO MACHADO, C/SAN ROMÁN DEL VALLE, 8. CONSERVACIÓN",,1359.97,1359.97
2011,X10,Cultura,"CENTRO CULTURAL JOSÉ LUIS LÓPEZ VÁZQUEZ, C/FEBRERO, 4. OBRAS DE CONSERVACIÓN",,10177.17,10177.17
2011,X10,Cultura,CENTRO CULTURAL C/ FEBRERO C/V C/ FUEMBELLIDA. CONSTRUCCIÓN,,304745.24,304745.24
2011,X10,Cultura,"AUDITORIO PARQUE EL PARAISO, AV. DE ARCENTALES, S/N. OBRAS DE ACONDICIONAMIENTO",,48191.22,48191.22
2011,X10,Cultura,"CENTRO CULTURAL BUERO VALLEJO, C/ BOLTAÑA, 27. OBRAS DE ACONDICIONAMIENTO",,110689.27,110689.27
2011,X10,Cultura,"CENTRO SOCIOCULTURAL PEGASO, AV. SÉPTIMA, 11. OBRAS DE CONSERVACIÓN",,360.52,360.52
2011,X11,"Deportes, juventud y esparcimiento",,,250317.42,248970.86
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO SAN BLAS,,1257.16,
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LUCANO, C/LUCANO C/V.ESFINGE. OBRAS DE CONSERVACIÓN",,1583.27,1583.27
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO ESFINGE, C/ ESFINGE, 60. OBRAS DE CONSERVACIÓN",,2804.85,2804.85
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIV SAN BLAS, AV. DE HELLÍN. REFORMA",,49400.0,49400.0
2011,X11,"Deportes, juventud y esparcimiento",EQUIPAMIENTO CENTRO DEPORTIVO MUNICIPAL SAN BLAS,,19130.52,19041.12
2011,X11,"Deportes, juventud y esparcimiento","ADQUISICIÓN EQUIPAMIENTO INSTALACIÓN DEPORTIVA MUNICIPAL ""SAN BLAS""",,83.92,83.92
