Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,95241.95,95241.94
2011,X10,Cultura,"CENTRO CULTURAL EDUARDO ÚRCULO, PZA. DONOSO, 5. OBRAS DE CONSERVACIÓN",,2424.18,2424.18
2011,X10,Cultura,"CENTRO CULTURAL JOSÉ ESPRONCEDA, C/ALMANSA, 9. OBRAS DE CONSERVACIÓN",,37712.11,37712.11
2011,X10,Cultura,"CENTRO SOCIO CULTURAL TEUÁN, C/BRAVO MURILLO, 251. OBRAS DE CONSERVACIÓN",,16364.93,16364.93
2011,X10,Cultura,"BIBLIOTECA MANUEL VÁZQUEZ MONTALBÁN, C/FRANCOS RODRÍGUEZ, 67. CONSERVACIÓN",,26884.54,26884.54
2011,X10,Cultura,EQUIPAMIENTO BIBLIOTECA PÚBLICA MANUEL VÁZQUEZ MONTALBÁN,,3427.57,3427.57
2011,X10,Cultura,"BIBLIOTECA PÚBLICA TETUÁN, C/VIÑA VIRGEN, 2. SISTEMA ANTIHURTO",,8428.62,8428.61
2011,X02,"Tráfico, estacionamiento y transporte público",,,155139.92,155139.92
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE TETUÁN,,6034.07,6034.07
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS Y SEÑALIZACIÓN INTERSECCIONES URBANAS. DISTRITO TETUÁN,,149105.85,149105.85
2011,X06,Urbanismo,,,27544539.46,3410395.18
2011,X06,Urbanismo,"ADQUISICIÓN DE SUELO PASEO DE LA DIRECCIÓN,  P.P.R.I. 06.02",,26944722.4,2886546.15
2011,X06,Urbanismo,C/ GARCINUÑO C/V C/ DIVINO PASTOR. URBANIZACIÓN,,1030.6,
2011,X06,Urbanismo,ACCESIBILIDAD Y SUPRESIÓN BARRERAS EN EJES PRINCIPALES DEL DISTRITO DE TETUÁN,,43869.0,
2011,X06,Urbanismo,ADQUISICIÓN SUELO HUERTA DEL OBISPO. ZONA VERDE,,384421.11,384421.11
2011,X06,Urbanismo,Area de Planeam. Incorp. c/Bravo Murillo-Pensamiento 06.12,,10743.88,
2011,X06,Urbanismo,"Polígono Cooperación c/Almortas, Miosotis y otras",,18568.67,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO EN C/SOR ÁNGELA DE LA CRUZ API 06.07,,13537.37,13537.37
2011,X06,Urbanismo,CALLES AZUCENAS Y TREBOL. URBANIZACIÓN,,11246.7,11246.7
2011,X06,Urbanismo,"C/ GARCI-NUÑO, 19. OBRAS DE URBANIZACIÓN",,847.46,847.46
2011,X06,Urbanismo,"CALLE MULLER, 26. URBANIZACIÓN",,2.43,
2011,X06,Urbanismo,C/SALAMANCA C/V. C/LÉRIDA. URBANIZACIÓN,,2.84,
2011,X06,Urbanismo,ADQUISICIÓN SUELO CONEXIÓN TETUÁN CON LA M-30. EJE SOR ÁNGELA DE LA CRUZ,,1750.61,
2011,X06,Urbanismo,DERRIBO Y VALLADO SOR ÁNGELA DE LA CRUZ API 06.07,,113796.39,113796.39
2011,X08,Mantenimiento urbano,,,3155291.85,3154855.16
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-3 DISTRITO TETUÁN,,1130436.89,1130436.89
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. TETUÁN,,6517.32,6517.32
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. DTO. TETUÁN,,490529.51,490529.51
2011,X08,Mantenimiento urbano,HIDRANTES DISTRITO TETUAN. INSTALACIÓN,,10765.98,10765.98
2011,X08,Mantenimiento urbano,"CENTROS CONTROL ALUMBRADO, GALERÍAS Y TÚNELES.INTEGRACIÓN SEGURIDAD AZCA",,1516208.84,1515772.15
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO TETUÁN,,833.31,833.31
2011,X03,Protección y promoción social,,,1599644.23,1475387.0
2011,X03,Protección y promoción social,EQUIPAMIENTO NUEVO CENTRO DE ATENCIÓN MUJERES ESPACIO DISTRITO TETUÁN,,96419.07,17834.38
2011,X03,Protección y promoción social,"CENTRO DE DÍA Y MAYORES PAMPLONA, C/PAMPLONA, 8. OBRAS DE CONSERVACIÓN",,253.93,253.93
2011,X03,Protección y promoción social,"CENTRO SERVICIOS SOCIALES MARÍA ZAYAS, TRAVESÍA MARÍA ZAYAS S/N. CONSERVACIÓN",,21.31,21.31
2011,X03,Protección y promoción social,"CENTRO DE DÍA Y MAYORES LA REMONTA, PZ. REMONTA, 1. OBRAS DE CONSERVACIÓN",,39785.36,39785.36
2011,X03,Protección y promoción social,"CENTRO DE MAYORES LEÑEROS, C/ LEÑEROS, 25. OBRAS DE CONSERVACIÓN",,19355.75,19355.75
2011,X03,Protección y promoción social,"CENTRO ATENCIÓN SOCIAL MUJERES,INMIGRANTES Y PERSONAS SIN HOGAR EN TETUÁN",,1441277.71,1395605.17
2011,X03,Protección y promoción social,"ELEMENTO ESCULTORICO CENTRO ATENCIÓN A LA MUJER, CALLE BRAVO MURILLO, 133",,2360.0,2360.0
2011,X03,Protección y promoción social,AGENCIA DE ZONA TETUÁN. EQUIPAMIENTO POLÍTICAS ACTIVA DE EMPLEO,,171.1,171.1
2011,X11,"Deportes, juventud y esparcimiento",,,242641.78,242107.42
2011,X11,"Deportes, juventud y esparcimiento","INSTALACIONES DEPORTIVAS ""TRIÁNGULO DE ORO"". REFORMA.",,65986.0,65964.58
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO TETUÁN,,512.35,
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO RODRÍGUEZ SAHAGÚN I. OBRAS DE CONSERVACIÓN,,17259.31,17259.31
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO RODRÍGUEZ SAHAGÚN II, C/ SINESIO DELGADO, S/N. CONSERVACIÓN",,18463.53,18463.53
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO PLAYA VICTORIA, C/HIERBABUENA, S/N. OBRAS DE CONSERVACIÓN",,66713.8,66713.8
2011,X11,"Deportes, juventud y esparcimiento","CENTRO PUNTO JOVEN, C/DULCINEA, 53. OBRAS DE CONSERVACIÓN",,14118.78,14118.78
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO TRIÁNGULO DE ORO, C/BRAVO MURILLO, 376. OBRAS DE CONSERVACIÓN",,57621.45,57621.45
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO CUÑA VERDE, C/ VILLAAMIL. OBRAS DE CONSERVACIÓN",,1435.56,1435.56
2011,X11,"Deportes, juventud y esparcimiento",CENTRO DEPORTIVO TRIÁNGULO DE ORO. ADQUISICIÓN DE EQUIPAMIENTO,,531.0,530.41
2011,X05,Educación,,,401626.62,399624.03
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL LA BRISA, AV. DE ASTURIAS, 72",,5572.69,5572.69
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL TETUÁN Nº 6, C/ TIZIANO, 7",,7359.36,7359.36
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO TETUÁN,,1850.73,
2011,X05,Educación,"COLEGIO PÚBLICO ORTEGA Y GASSET, C/ORENSE, 87. OBRAS DE CONSERVACIÓN",,59821.34,59821.34
2011,X05,Educación,COLEGIO PÚBLICO DOCTOR FEDERICO RUBIO. OBRAS DE CONSERVACIÓN,,39493.91,39493.91
2011,X05,Educación,"COLEGIO PÚBLICO JUAN RAMÓN JIMÉNEZ, C/MARQUÉS DE VIANA, 58. CONSERVACIÓN",,33953.27,33953.27
2011,X05,Educación,"COLEGIO PÚBLICO JAIME VERA, C/BRAVO MURILLO, 162. OBRAS DE CONSERVACIÓN",,83337.94,83337.94
2011,X05,Educación,"COLEGIO PÚBLICO IGNACIO ZULOAGA, C/ALEJANDRO RODRÍGUEZ, 34. CONSERVACIÓN",,34922.98,34922.98
2011,X05,Educación,"ESCUELA INFANTIL LA BRISA, C/VÍA LÍMITE S/N. OBRAS DE CONSERVACIÓN",,8403.85,8403.85
2011,X05,Educación,"ESCUELA INFANTIL TIZIANO, C/ TIZIANO, 7. OBRAS DE CONSERVACIÓN",,5659.29,5659.29
2011,X05,Educación,"ESCUELA INFANTIL AGUA DULCE, C/ LEÑEROS, 25. OBRAS DE CONSERVACIÓN",,368.3,368.3
2011,X05,Educación,"ESCUELA INFANTIL C/ TIZIANO, 7. ADECUACIÓN REDES DE SERVICIOS",,14981.16,14981.16
2011,X05,Educación,"ESCUELA INFANTIL TIZIANO, C/TIZIANO, 7. INSTALACIÓN MÓDULOS PLADUR",,8478.41,8478.41
2011,X05,Educación,COLEGIO PÚBLICO IGNACIO ZULOAGA. ACONDICIONAMIENTO,,28854.0,28702.14
2011,X05,Educación,"COLEGIO PÚBLICO PÍO XII, C/DELFÍN, 2. OBRAS DE CONSERVACIÓN",,47658.11,47658.11
2011,X05,Educación,"COLEGIO PÚBLICO FELIPE II, C/VÍA LÍMITE, 12. OBRAS DE CONSERVACIÓN",,20911.28,20911.28
2011,X00,Inversiones de carácter general,,,76364.99,76180.96
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO TETUÁN,,183.95,
2011,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO TETUÁN, C/BRAVO MURILLO, 357. ACONDICIONAMIENTO",,36284.04,36284.04
2011,X00,Inversiones de carácter general,EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DISTRITO TETUÁN,,39897.0,39896.92
2011,X12,Otros bienes públicos de carácter social,,,620.12,620.12
2011,X12,Otros bienes públicos de carácter social,"OFICINA ATENCIÓN AL CIUDADANO DISTRITO TETUÁN, AV.ASTURIAS, 45. CONSERVACIÓN",,620.12,620.12
2012,X01,Protección Civil y seguridad ciudadana,,,375000.0,
2012,X01,Protección Civil y seguridad ciudadana,CÁMARAS VIDEO VIGILANCIA POLICIAL ENTORNO DE AZCA. INSTALACIÓN,,375000.0,
2012,X10,Cultura,,,53025.83,53025.83
2012,X10,Cultura,CENTRO SOCIOCULTURAL JUAN GRIS. ADOPCIÓN MEDIDAS DE SEGURIDAD,,4215.24,4215.24
2012,X10,Cultura,"CENTRO CULTURAL EDUARDO ÚRCULO, PZA. DONOSO, 5. OBRAS DE CONSERVACIÓN",,6670.94,6670.94
2012,X10,Cultura,"CENTRO CULTURAL JOSÉ ESPRONCEDA, C/ALMANSA, 9. OBRAS DE CONSERVACIÓN",,16551.09,16551.09
2012,X10,Cultura,"CENTRO SOCIO CULTURAL TEUÁN, C/BRAVO MURILLO, 251. OBRAS DE CONSERVACIÓN",,2865.98,2865.98
2012,X10,Cultura,"BIBLIOTECA MANUEL VÁZQUEZ MONTALBÁN, C/FRANCOS RODRÍGUEZ, 67. CONSERVACIÓN",,22722.58,22722.58
2012,X02,"Tráfico, estacionamiento y transporte público",,,35662.35,35662.35
2012,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE TETUÁN,,35662.35,35662.35
2012,X06,Urbanismo,,,40682757.23,16618679.91
2012,X06,Urbanismo,"DEMOLICIÓN EDIFICACIÓN C/ NAVARRA, 17 Y 19",,79223.88,79223.88
2012,X06,Urbanismo,"ADQUISICIÓN DE SUELO PASEO DE LA DIRECCIÓN,  P.P.R.I. 06.02",,24066847.12,52025.11
2012,X06,Urbanismo,"C/ AZUCENAS, 18-20. OBRAS DE URBANIZACIÓN",,18855.93,18855.93
2012,X06,Urbanismo,C/ GARCINUÑO C/V C/ DIVINO PASTOR. URBANIZACIÓN,,1030.6,
2012,X06,Urbanismo,ACCESIBILIDAD Y SUPRESIÓN BARRERAS EN EJES PRINCIPALES DEL DISTRITO DE TETUÁN,,43210.0,43210.0
2012,X06,Urbanismo,ADQUISICIÓN SUELO HUERTA DEL OBISPO. ZONA VERDE,,16090167.18,16090167.18
2012,X06,Urbanismo,ADQUIS. SUELO CONEXIÓN TETUÁN CON M-30. EJE SOR A. DE LA CRUZ.MARQUÉS VIANA,,1750.61,1750.61
2012,X06,Urbanismo,Area de Planeam. Incorp. c/Bravo Murillo-Pensamiento 06.12,,10743.88,
2012,X06,Urbanismo,"Polígono Cooperación c/Almortas, Miosotis y otras",,18568.67,
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO EN C/SOR ÁNGELA DE LA CRUZ API 06.07,,239683.96,239683.96
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO AVENIDA DE PAMPLONA API 06.09,,34036.22,15124.06
2012,X06,Urbanismo,"DEMOLICIÓN EDIFICACIÓN EN C/ BRAVO MURILLO, 291",,78639.18,78639.18
2012,X08,Mantenimiento urbano,,,1098600.42,1098600.42
