Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,81563.41,81563.41
2011,X01,Protección Civil y seguridad ciudadana,PARQUE DE BOMBEROS Nº 5. OBRAS EN DEPÓSITO DE CARBURANTE,,81563.41,81563.41
2011,X10,Cultura,,,237024.07,227024.07
2011,X10,Cultura,CENTRO CULTURAL ANTONIO CÁNOVAS DEL CASTILLO. CONSERVACIÓN,,6938.2,6938.2
2011,X10,Cultura,"CENTRO CULTURAL ORCASUR, PZ. DEL PUEBLO, 2. CONSERVACIÓN",,30234.07,30234.07
2011,X10,Cultura,"CENTRO CULTURAL SAN FERMÍN, C/ ESTAFETA, 33. CONSERVACIÓN",,1376.41,1376.41
2011,X10,Cultura,"CENTRO CULTURAL USERA, AV. RAFAELA YBARRA, 41. CONSERVACIÓN",,188475.39,188475.39
2011,X10,Cultura,"EQUIPAMIENTO CENTRO CULTURAL MESETA DE ORCASITAS, PZ. DE LA ASOCIACIÓN, 1",,400.0,
2011,X10,Cultura,EQUIPAMIENTO CENTRO CULTURAL ANTONIO CÁNOVAS DEL CASTILLO,,6500.0,
2011,X10,Cultura,"EQUIPAMIENTO CENTRO CULTURAL SAN FERMÍN, C/ ESTAFETA, 33",,1600.0,
2011,X10,Cultura,"EQUIPAMIENTO CENTRO CULTURAL ORCASUR, PZ. DEL PUEBLO, 2",,1500.0,
2011,X11,"Deportes, juventud y esparcimiento",,,1377014.39,1248765.26
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO USERA,,0.02,
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO MOSCARDÓ, C/ANDRÉS ARTEAGA S/N. SUBSANACIÓN DE PATOLOGÍAS",,6990.47,6990.47
2011,X11,"Deportes, juventud y esparcimiento",REHABILITACIÓN DE LAS INSTALACIONES DEPORTIVAS DEL VADO,,600439.55,599926.73
2011,X11,"Deportes, juventud y esparcimiento",REHABILITACIÓN DE LAS INSTALACIONES DEPORTIVAS DEL PASAJE DE MONTSERRAT,,454875.51,454744.0
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO PARQUE PRADOLONGO. CONSERVACIÓN,,731.84,731.84
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO SAN FERMÍN, C/ ESTAFETA, S/N. INSTALACIONES DE CLIMATIZACIÓN",,1000.0,955.8
2011,X11,"Deportes, juventud y esparcimiento","EQUIPAMIENTO POLIDEPORTIVO ORCASITAS, AV. RAFAELA YBARRA, S/N",,5000.0,4384.03
2011,X11,"Deportes, juventud y esparcimiento","EQUIPAMIENTO POLIDEPORTIVO SAN FERMÍN, C/ ESTAFETA, S/N",,2000.0,1905.46
2011,X11,"Deportes, juventud y esparcimiento",DEPÓSITO DE AGUA RECICLADA E INSTALACIÓN DE RED EN POLIDEPORTIVO SAN FERMÍN,,163691.86,36841.79
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO ORCASUR, C/ MOREJA, 3. CONSERVACIÓN",,52486.01,52486.01
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO SAN FERMÍN, C/ ESTAFETA, S/N. CONSERVACIÓN",,25725.3,25725.3
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO ORCASITAS, AV. RAFAELA YBARRA, S/N. CONSERVACIÓN",,64073.83,64073.83
2011,X09,Medio ambiente,,,1164265.43,886007.08
2011,X09,Medio ambiente,RECUPERACIÓN FORESTAL PARQUE MANZANARES SUR,,1164265.43,886007.08
2011,X08,Mantenimiento urbano,,,1660116.5,1660116.5
