Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X10,Cultura,,,60609.32,60609.32
2011,X10,Cultura,"CENTRO CULTURAL VALDEBERNARDO, BULEVAR INDALECIO PRIETO, 21. CONSERVACIÓN",,10884.97,10884.97
2011,X10,Cultura,"RECINTO FERIAL, Pº DEL POLIDEPORTIVO, 144. OBRAS DE CONSERVACIÓN",,80.04,80.04
2011,X10,Cultura,"BIBLIOTECA PÚBLICA FRANCISCO AYALA, BULEVAR INDALECIO PRIETO,21. CONSERVACIÓN",,15463.79,15463.79
2011,X10,Cultura,RECINTO FERIAL. REFORMA DE CIMENTACIÓN Y VALLADO PERIMETRAL,,34180.52,34180.52
2011,X11,"Deportes, juventud y esparcimiento",,,148555.03,148467.69
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO VICÁLVARO,,87.34,
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO VICÁLVARO, Pº DEL POLIDEPORTIVO, 3. OBRAS DE CONSERVACIÓN",,67950.39,67950.39
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO VALDEBERNARDO, C/ LADERA DE LOS ALMENDROS, 2. CONSERVACIÓN",,53253.82,53253.82
2011,X11,"Deportes, juventud y esparcimiento","CENTRO SOCIAL POLIVALENTE, AV. REAL 12. OBRAS DE CONSERVACIÓN",,11639.47,11639.47
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE CUÑA VERDE, AV. DAROCA. REPARACIÓN DE VALLADO",,15624.01,15624.01
2011,X14,Sectores productivos,,,1045144.83,1006846.02
2011,X14,Sectores productivos,FACTORIA INDUSTRIAL DE VICÁLVARO. OBRAS DE MEJORA,,14925.0,14923.29
2011,X14,Sectores productivos,"""CONSTRUCCIÓN DE LA PRIMERA """"FACTORIA INDUSTRIAL"""" DE MADRID""",,960630.66,922333.56
2011,X14,Sectores productivos,"EQUIPAMIENTO FACTORIA INDUSTRIAL DE VICÁLVARO, DEHESA VIEJA, S/N",,69589.17,69589.17
2011,X06,Urbanismo,,,120490.8,21816.22
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN CASCO ANTIGUO DE VICÁLVARO,,16153.47,
2011,X06,Urbanismo,POLÍGONO COOPERACIÓN CASCO ANTIGIO VICÁLVARO  UA 2 PERI 15/5,,82521.11,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO C/CAÑOS DE SAN PEDRO. ZONA VERDE,,21816.22,21816.22
2011,X09,Medio ambiente,,,13066800.06,6410823.35
2011,X09,Medio ambiente,SISTEMAS GENERALES DE SANEAMIENTO DEL SURESTE DE MADRID NUEVAS CONEXIONES,,1888665.2,1699332.74
2011,X09,Medio ambiente,ERAR SUR ORIENTAL. OPTIMIZACIÓN DEL TRATAMIENTO DE AGUAS RESIDUALES,,21240.0,13558.2
2011,X09,Medio ambiente,ESTANQUE DE TORMENTAS DE LOS MIGUELES. CONSTRUCCIÓN,,5782155.17,
2011,X09,Medio ambiente,INFRAESTRUCTURA ALMACENAMIENTO AGUAS PLUVIALES DEL ARROYO DE LOS MIGUELES,,2006032.21,1809236.61
2011,X09,Medio ambiente,CONSTRUCCIÓN COLECTOR ALIVIADO VICALVARO I,,1879183.3,1626387.17
2011,X09,Medio ambiente,COLECTOR DOBLADO DEL ALIVIADO VICALVARO I. CONSTRUCCIÓN,,1489524.18,1262308.63
2011,X08,Mantenimiento urbano,,,1122589.95,1122589.95
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-5 DISTRITO VICÁLVARO,,992141.74,992141.74
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. VICÁLVARO,,11908.22,11908.22
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. DTO. VICÁLVARO,,117373.35,117373.35
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO VICÁLVARO,,1166.64,1166.64
2011,X03,Protección y promoción social,,,686583.59,603820.38
2011,X03,Protección y promoción social,"EQUIPAMIENTO NUEVO CENTRO DE MAYORES AVENÍDA DAROCA, 342",,107800.0,25145.06
2011,X03,Protección y promoción social,"AGENCIA ZONA PARA EL EMPLEO VICÁLVARO, AV. DAROCA, 327. REFORMA",,3378.04,3378.04
2011,X03,Protección y promoción social,CONSTRUCCIÓN CENTRO ATENCIÓN SOCIAL A MAYORES EN CASCO HISTÓRICO VICÁLVARO,,550210.85,550102.58
2011,X03,Protección y promoción social,CENTRO ACOGIDA PERSONAS SIN HOGAR LUIS VIVES. OBRAS DE CONSERVACIÓN,,11755.01,11755.01
2011,X03,Protección y promoción social,"CENTRO DE MAYORES EL ALMENDRO, C/ LADERA DE LOS ALMENDROS, 6. CONSERVACIÓN",,314.91,314.91
2011,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES VICÁLVARO, AV. DAROCA, 342. OBRAS DE CONSERVACIÓN",,4578.75,4578.75
2011,X03,Protección y promoción social,AGENCIA DE ZONA VICÁLVARO. EQUIPAMIENTO POLÍTICAS ACTIVAS DE EMPLEO,,171.1,171.1
2011,X03,Protección y promoción social,"ESCUELA TALLER EL MADROÑO 2010, C/ VILLARDONDIEGO, 36. ADQUISICIÓN MAQUINARIA",,8374.93,8374.93
2011,X05,Educación,,,245068.52,244879.97
2011,X05,Educación,"COLEGIO PÚBLICO DOCTOR SEVERO OCHOA, C/ EZCARAY, 3. OBRAS DE CONSERVACIÓN",,18323.07,18323.07
2011,X05,Educación,"COLEGIO PÚBLICO PEDRO DUQUE, C/ MARMOLINA, 5. OBRAS DE CONSERVACIÓN",,11069.13,11069.13
2011,X05,Educación,"COLEGIO PÚBLICO LOS ALMENDROS, C/ LADERA DE LOS ALMENDROS, 45. CONSERVACIÓN",,6274.38,6274.38
2011,X05,Educación,"COLEGIO PÚBLICO VALDEBERNARDO, C/TREN DE ARGANDA, 9. OBRAS DE CONSERVACIÓN",,16672.25,16672.25
2011,X05,Educación,"ESCUELA INFANTIL AMANECER, C/ TITANIO, 7. OBRAS DE CONSERVACIÓN",,212.34,212.34
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL VICÁLVARO Nº 5, CAMINO DE LA FUENTE DE ARRIBA, 2",,10395.42,10395.42
2011,X05,Educación,ESCUELA DE MÚSICA DE VICÁLVARO. INSTALACIÓN LÁMINAS DE PROTECCIÓN SOLAR,,15010.02,15010.02
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO VICÁLVARO,,188.55,
2011,X05,Educación,"COLEGIO PÚBLICO VICÁLVARO, C/FORGES, 15. OBRAS DE CONSERVACIÓN",,66044.97,66044.97
2011,X05,Educación,"COLEGIO PÚBLICO ALFONSO X, C/ FUENTE DE SAN PEDRO, 6. OBRAS DE REFORMA",,30388.14,30388.14
2011,X05,Educación,"ESCUELA INFANTIL VICÁLVARO Nº 5, C/ FUENTE DE ARRIBA, 2. OBRAS DE CONSERVACIÓN",,6809.34,6809.34
2011,X05,Educación,"COLEGIO PÚBLICO WINSTON CHURCHILL, C/ GRAN VÍA DEL ESTE, 5. ACONDICIONAMIENTO",,49187.88,49187.88
2011,X05,Educación,"ESCUELA INFANTIL LOS JUNCOS, PZ. DE LA JUVENTUD, 7. OBRAS DE CONSERVACIÓN",,14493.03,14493.03
2011,X00,Inversiones de carácter general,,,63744.82,39259.41
