Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X01,Protección Civil y seguridad ciudadana,,,10000.0,9860.08
2011,X01,Protección Civil y seguridad ciudadana,CENTRO DE TRANSFORMACIÓN CERRO ALMODÓVAR. ADECUACIÓN REDES SERVICIOS,,10000.0,9860.08
2011,X11,"Deportes, juventud y esparcimiento",,,235385.23,235230.85
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO VILLA DE VALLECAS,,154.38,
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO CERRO ALMODOVAR, CTRA. VALENCIA, KM. 9,5. OBRAS DE CONSERVACIÓN",,163599.4,163599.4
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO MIGUEL GUILLEN PRIM, C/ FUENTIDUEÑA, 6. OBRAS DE CONSERVACIÓN",,15851.64,15851.64
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE REAL DE ARGANDA, C/ REAL DE ARGANDA, 43. CONSERVACIÓN",,39124.73,39124.73
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE DEL CEMENTERIO,CAMINO DE LA SUERTE,S/N.CONSERVACIÓN",,3374.85,3374.85
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO ZAZUAR, C/ ZAZUAR, 1 C/ V AV. MEDITERRÁNEO. CONSERVACIÓN",,7371.76,7371.76
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO NUESTRA SEÑORA DE LA TORRE. OBRAS DE CONSERVACIÓN,,2129.99,2129.99
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE VALLECAS VILLAS, C/ FUENTIDUEÑA, 8. CONSERVACIÓN",,61.25,61.25
2011,X11,"Deportes, juventud y esparcimiento","CENTRO JUVENIL EL ALEPH, AV. MEDITERRÁNEO, S/N. OBRAS DE CONSERVACIÓN",,417.26,417.26
2011,X11,"Deportes, juventud y esparcimiento","CENTRO JUVENIL EL SITIO DE MI RECREO, C/ REAL DE ARGANDA. CONSERVACIÓN",,3299.97,3299.97
2011,X06,Urbanismo,,,851264.39,789385.35
2011,X06,Urbanismo,C/PUERTO DE POZAZAL Y OTRAS. URBANIZACIÓN,,13792.78,
2011,X06,Urbanismo,Unidad de Ejecución Casco Antiguo Villa de Vallecas,,952.44,
2011,X06,Urbanismo,"CALLES CAMINO DE HORMIGUERAS, 161 Y PEÑA SORRAPIA, 18. URBANIZACIÓN",,20560.74,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO EN NUEVOS ACCESOS AL VERTEDERO DE VILLA DE VALLECAS,,1222.9,1222.9
2011,X06,Urbanismo,Polígon Cooperación c/Sierra Vieja,,26465.5,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO EN LA PLAZA DE JUAN DE MALASAÑA,,4664.84,4664.84
2011,X06,Urbanismo,POLÍGONO INDUSTRIAL VILLA DE VALLECAS. REHABILITACIÓN,,728090.0,727982.42
2011,X06,Urbanismo,ADQUISICIÓN SUELO FINCA CASA SAN ANTONIO DEL CERRO PARA OBRAS SANEAMIENTO,,55515.19,55515.19
2011,X09,Medio ambiente,,,5215051.51,3458138.62
2011,X09,Medio ambiente,ENSANCHE DE VALLECAS UZP 1.03.  PLANTACIÓN DE ARBUSTOS Y REDES DE RIEGO,,1695524.89,
2011,X09,Medio ambiente,ESTANQUE DE TORMENTAS DE ABROÑIGALES. CONSTRUCCIÓN,,2947435.8,2905568.93
2011,X09,Medio ambiente,PLANTA BOIMETANIZACIÓN DE RESIDUOS VALDEMINGÓMEZ. CONSTRUCCIÓN,,19521.13,
2011,X09,Medio ambiente,SUBESTACIÓN ELÉCTRICA BIOMETANIZACIÓN DE LAS DEHESAS. AMPLIACIÓN,,552569.69,552569.69
2011,X07,Infraestructuras,,,7404531.67,4486325.96
2011,X07,Infraestructuras,DESDOBLAMIENTO CARRETERA M-602.  VILLAVERDE- VALLECAS. TRAMO II,,7404531.67,4486325.96
2011,X08,Mantenimiento urbano,,,692432.12,692432.12
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-5 DTO. VILLA VALLECAS,,489168.44,489168.44
2011,X08,Mantenimiento urbano,ADAPTACIÓN NORMATIVA ALUMBRADO PÚBLICO A  NORMATIVA. VILLA VALLECAS,,61411.57,61411.57
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. VILLA VALLECAS,,140852.13,140852.13
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO VILLA VALLECAS,,999.98,999.98
2011,X03,Protección y promoción social,,,93221.21,92640.18
2011,X03,Protección y promoción social,EQUIPAMIENTO CENTRO SERVICIOS SOCIALES PEÑA VEIGA,,600.0,565.22
2011,X03,Protección y promoción social,CENTRO DE SERVICIOS SOCIALES FUENTIDUEÑA. INSTALACIÓN DE CLIMATIZACIÓN,,43699.95,43153.7
2011,X03,Protección y promoción social,"CENTRO SERVICIOS SOCIALES PUERTO DE LAS PILAS, C/ FUENTIDUEÑA, 1. CONSERVACIÓN",,9899.05,9899.05
2011,X03,Protección y promoción social,"CENTRO SERVICIOS SOCIALES PEÑA VEIGA, C/ PEÑA VEIGA, 6. OBRAS DE CONSERVACIÓN",,11262.92,11262.92
2011,X03,Protección y promoción social,"CENTRO DE MAYORES VILLA DE VALLECAS, C/ PICO MAMPODRE,6. CONSERVACIÓN",,16546.68,16546.68
2011,X03,Protección y promoción social,"CENTRO DE MAYORES SANTA EUGENIA, C/ FUENTESPINA. OBRAS DE CONSERVACIÓN",,3616.86,3616.86
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO FORMACIÓN OCUPACIONAL MUJER VILLA VALLECAS,  C/ HUELGA,5",,527.96,527.96
2011,X03,Protección y promoción social,TALLERES DE EMPLEO CENTRO VIVERISMO VILLA DE VALLECAS. ADQUISICIÓN MAQUINARIA,,7067.79,7067.79
2011,X05,Educación,,,323091.2,321895.72
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL VILLA DE VALLECAS Nº 5, AV. LA GAVIA, 22",,9884.88,9884.88
2011,X05,Educación,"COLEGIO PÚBLICO JUAN GRIS, C/ MUELA DE SAN JUAN, 31. OBRAS DE CONSERVACIÓN",,36315.93,36315.93
2011,X05,Educación,"COLEGIO PÚBLICO BLAS DE OTERO, C/ PUENTELARRA, 34. OBRAS DE CONSERVACIÓN",,20793.56,20793.56
2011,X05,Educación,COLEGIO PÚBLICO AGUSTÍN RODRÍGUEZ SAHAGÚN. OBRAS DE CONSERVACIÓN,,21971.99,21971.99
2011,X05,Educación,"ESCUELA INFANTIL VILLA DE VALLECAS Nº 5, AV. LA GAVIA, 22. OBRAS DE CONSERVACIÓN",,7032.93,7032.93
2011,X05,Educación,"COLEGIO PÚBLICO EL QUIJOTE, C/ FUENTIDUEÑA, 4. OBRAS DE CONSERVACIÓN",,5989.54,5989.54
2011,X05,Educación,COLEGIO PÚBLICO HONDURAS (PREESCOLAR). OBRAS DE CONSERVACIÓN,,5078.25,5078.25
2011,X05,Educación,COLEGIO PÚBLICO LOYOLA DE PALACIO. OBRAS DE CONSERVACIÓN,,19892.84,19892.84
2011,X05,Educación,EQUIPAMIENTO ESCUELA INFANTIL VILLA DE VALLECAS Nº 4,,6832.32,6832.32
