Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X11,"Deportes, juventud y esparcimiento",,,473435.0,470629.59
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO VILLAVERDE,,2805.41,
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO ESTEFANITA, C/ ESTEFANITA, S/N. OBRAS DE CONSERVACIÓN",,1792.66,1792.66
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LOS ROSALES II, AV. LOS ROSALES, 135. OBRAS DE CONSERVACIÓN",,4528.04,4528.04
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO EL CRUCE, C/ SANTIAGO AMÓN, 6 Y 8. OBRAS DE CONSERVACIÓN",,3230.39,3230.39
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO RAÚL GONZÁLEZ, PARQUE DEHESA BOYAL. OBRAS DE CONSERVACIÓN",,30349.29,30349.29
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO COLONIA EUSKALDUNA. OBRAS DE CONSERVACIÓN,,18902.23,18902.23
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO PARQUE CIUDAD DE LOS ÁNGELES. OBRAS DE CONSERVACIÓN,,1500.13,1500.13
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO SANTA PETRONILA, C/ SANTA PETRONILA, S/N. CONSERVACIÓN",,4820.59,4820.59
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LOS ROSALES, AV. LOS ROSALES, 133. OBRAS DE CONSERVACIÓN",,7970.87,7970.87
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO COLONIA MARCONI, AV. MARCONI, 1. OBRAS DE CONSERVACIÓN",,2286.64,2286.64
2011,X11,"Deportes, juventud y esparcimiento","CENTRO ATENCIÓN ADOLESCENTES AVDA. FELICIDAD, 34. CONSTRUCCIÓN",,62953.0,62953.0
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO SAN CRISTÓBAL DE LOS ÁNGELES,III, C/MONCADA, S/N. CONSERVACIÓN",,6791.08,6791.08
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO EL ESPINILLO, III, C/ UNANIMIDAD, S/N. OBRAS DE CONSERVACIÓN",,944.68,944.68
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO VILLALONSO, C/ VILLALONSO, S/N. OBRAS DE CONSERVACIÓN",,701.99,701.99
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO EL ESPINILLO, II, C/ UNIANIMIDAD, 42-46. OBRAS DE CONSERVACIÓN",,10539.86,10539.86
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO EL ESPINILLO I, C/ UNANIMIDAD, 3-5. OBRAS DE CONSERVACIÓN",,5522.72,5522.72
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE SAN LUCIANO, C/ SAN LUCIANO, 12-14. CONSERVACIÓN",,3487.01,3487.01
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO SAN CRISTÓBAL DE LOS ÁNGELES, II. C/ GODELLA, S/N. CONSERVACIÓN",,3841.47,3841.47
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE PLATA Y CASTAÑAR, Pº. FERROVIARIOS, 1. CONSERVACIÓN",,7402.17,7402.17
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO NUEVA ESPERANZA, C/ ANOETA. OBRAS DE CONSERVACIÓN",,38981.74,38981.74
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO COLONIA SAN CRISTÓBAL DE LOS ÁNGELES. OBRAS CONSERVACIÓN,,2123.77,2123.77
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO OBISPO, C/ JUAN PEÑALVER, S/N. OBRAS DE CONSERVACIÓN",,1538.66,1538.66
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO AVENÍDA LOS ROSALES, AV. LOS ROSALES, 131. OBRAS CONSERVACIÓN",,2748.53,2748.53
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO FÉLIX RUBIO, C/ ALIANZA, S/N. OBRAS DE CONSERVACIÓN",,36108.2,36108.2
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO SAN CRISTÓBAL, PZ. PINAZO, S/N. OBRAS DE CONSERVACIÓN",,16788.69,16788.69
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO EL ESPINILLO, CRTA. VILLAVERDE A VALLECAS, 19. OBRAS CONSERVACIÓN",,54310.99,54310.99
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO PLATA Y CASTAÑAR, Pº. PLATA Y CASTAÑAR, 7. OBRAS DE CONSERVACIÓN",,140464.19,140464.19
2011,X14,Sectores productivos,,,18971835.95,18451797.83
2011,X14,Sectores productivos,CATEDRAL DE LAS NUEVAS TECNOLOGÍAS EN NAVE TORROJA. ADAPTACIÓN,,18971835.95,18451797.83
2011,X06,Urbanismo,,,3093683.37,2684923.0
2011,X06,Urbanismo,"AVDA. MARCONI, 1. URBANIZACIÓN",,290043.1,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO API 17.05 EL ESPINILLO,,1028531.73,1021694.92
2011,X06,Urbanismo,"CALLES ALUMINIO, NÍQUEL Y OTRAS. URBANIZACIÓN",,30262.22,
2011,X06,Urbanismo,ÁREA DE PLANEAMIENTO ESPECÍFICO 17.17 ATEINSA. OBRAS DE URBANIZACIÓN,,75836.52,
2011,X06,Urbanismo,"AVDA. REAL DE PINTO, 52. URBANIZACIÓN",,4655.17,
2011,X06,Urbanismo,CALLE CIFUENTES ACCESO NAVE BOETTICHER. URBANIZACIÓN,,1646603.52,1646175.37
2011,X06,Urbanismo,"C/SALSIPUEDES, 7. OBRAS DE URBANIZACIÓN",,698.4,
2011,X06,Urbanismo,ADQUISICIÓN SUELO EN AVDA. REAL DE PINTO,,17052.71,17052.71
2011,X08,Mantenimiento urbano,,,1523722.44,1523722.44
2011,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-4 DTO. VILLAVERDE,,1154094.22,1154094.22
2011,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. VILLAVERDE,,55931.54,55931.54
2011,X08,Mantenimiento urbano,MEJORA RODADURA Y DISMINUCIÓN EMISIONES SONORAS VÍAS PÚBLICAS. VILLAVERDE,,167530.25,167530.25
2011,X08,Mantenimiento urbano,INSTALACIÓN PLACAS IDENTIFICATIVAS DE CALLES Y BOLARDOS DISTRITO VILLAVERDE,,1166.64,1166.64
2011,X08,Mantenimiento urbano,MEJORA PAVIMENTACIÓN ESPACIOS PÚBLICOS DISTRITO VILLAVERDE. PLAN DE BARRIO,,144999.79,144999.79
2011,X09,Medio ambiente,,,8069858.1,7176255.74
2011,X09,Medio ambiente,ESTANQUE DE TORMENTAS DE BUTARQUE. CONSTRUCCIÓN,,4645784.95,4028060.29
2011,X09,Medio ambiente,PARQUE DE LA PLATA Y CASTAÑAR (NOROESTE VILLAVERDE).  RECUPERACIÓN,,3148197.0,3148195.45
2011,X09,Medio ambiente,ADECUACIÓN PRIMARIO ERAR BUTARQUE,,275876.15,
2011,X05,Educación,,,824872.07,817959.34
2011,X05,Educación,"COLEGIO PÚBLICO SAN CARLOS, C/ GEOLOGÍA, 2. OBRAS DE CONSERVACIÓN",,105105.89,105105.89
2011,X05,Educación,"COLEGIO PÚBLICO AZORÍN, C/ GODELLA, 57. OBRAS DE CONSERVACIÓN",,11303.72,11303.72
2011,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DEL SALVADOR, C/ SACEDÓN, 2. OBRAS DE CONSERVACIÓN",,39008.73,39008.73
2011,X05,Educación,"COLEGIO PÚBLICO NAVAS DE TOLOSA, C/ BENIMAMET, 109. OBRAS DE CONSERVACIÓN",,42150.53,42150.53
2011,X05,Educación,"COLEGIO PÚBLICO MANUEL DE FALLA, AV. REAL DE PINTO, 27. OBRAS DE CONSERVACIÓN",,36650.05,36650.05
2011,X05,Educación,"ESCUELA INFANTIL LA LUNA, C/ BENIMAMET, 109. OBRAS DE CONSERVACIÓN",,11889.77,11889.77
2011,X05,Educación,"COLEGIO PÚBLICO JUAN DE LA CIERVA, C/ VILLARROSA, 7. OBRAS DE CONSERVACIÓN",,21494.7,21494.7
2011,X05,Educación,"COLEGIO PÚBLICO RAMÓN GÓMEZ DE LA SERNA, C/ GODELLA, 170. CONSERVACIÓN",,83024.02,83024.02
2011,X05,Educación,"COLEGIO PÚBLICO CRISTÓBAL COLÓN, AV. REAL DE PINTO, S/N. OBRAS DE CONSERVACIÓN",,29945.43,29945.43
2011,X05,Educación,"COLEGIO PÚBLICO DÁMASO ALONSO, AV. ESPINELA, 1. OBRAS DE CONSERVACIÓN",,49104.62,49104.62
2011,X05,Educación,"COLEGIO PÚBLICO CIUDAD DE CÓRDOBA, C/ LILLO, S/N. OBRAS DE CONSERVACIÓN",,43716.07,43716.07
2011,X05,Educación,"COLEGIO PÚBLICO SAGUNTO, C/ PATERNA, 14. OBRAS DE CONSERVACIÓN",,9017.81,9017.81
2011,X05,Educación,"COLEGIO PÚBLICO SAN ROQUE, C/ OXÍGENO, 43. OBRAS DE CONSERVACIÓN",,17990.81,17990.81
2011,X05,Educación,"COLEGIO PÚBLICO ANTONIO NEBRIJA, C/ JUAN JOSÉ MARTÍNEZ SECO, 77. CONSERVACIÓN",,70705.5,70705.5
2011,X05,Educación,"COLEGIO PÚBLICO EL ESPINILLO, C/ UNANIMIDAD, 1. OBRAS DE CONSERVACIÓN",,42198.21,42198.21
2011,X05,Educación,"COLEGIO PÚBLICO EL GRECO, C/ ESTEFANITA, 7. OBRAS DE CONSERVACIÓN",,18726.81,18726.81
2011,X05,Educación,COLEGIO PÚBLICO CIUDAD DE BARCELONA. OBRAS DE CONSERVACIÓN,,26009.75,26009.75
2011,X05,Educación,"COLEGIO PÚBLICO LOS ROSALES, CTRA. SAN MARTÍN DE LA VEGA, KM. 2,4. CONSERVACIÓN",,47497.35,47497.35
2011,X05,Educación,"COLEGIO PÚBLICO CIUDAD DE LOS ÁNGELES, C/ ALEGRÍA DE LA HUERTA, 6.CONSERVACIÓN",,105652.94,105652.94
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL EL ROCIO, CTRA.CARABANCHEL A VILLAVERDE, 107",,5521.07,5521.07
2011,X05,Educación,"ESCUELA INFANTIL EL ROCÍO, CTRA. CARABANCHEL A VILLAVERDE, 107. CONSERVACIÓN",,1245.56,1245.56
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO VILLAVERDE,,6912.73,
2011,X10,Cultura,,,180352.35,180352.35
2011,X10,Cultura,"CENTRO CULTURAL SANTA PETRONILA, C/ MARÍA MARTÍNEZ OVIOL, 12. CONSERVACIÓN",,37564.53,37564.53
2011,X10,Cultura,"CENTRO CULTURAL ÁGATA, C/ DOCTOR MARTÍN ARÉVALO, 2. OBRAS DE CONSERVACIÓN",,59482.78,59482.78
2011,X10,Cultura,"CENTRO CULTURAL BOHEMIOS, C/ BOHEMIOS, 1. OBRAS DE CONSERVACIÓN",,45988.14,45988.14
2011,X10,Cultura,"CENTRO CULTURAL MARCONI, ACCESO COLONIA MARCONI, S/N. OBRAS DE CONSERVACIÓN",,5128.41,5128.41
2011,X10,Cultura,"CENTRO CULTURAL NUEVO ROSALES, AV. LOS ROSALES, 133. OBRAS DE CONSERVACIÓN",,32188.49,32188.49
2011,X01,Protección Civil y seguridad ciudadana,,,57974.74,57974.74
2011,X01,Protección Civil y seguridad ciudadana,"PARQUE DE BOMBEROS 10, C/SAN NORBERTO. ACONDICIONAMIENTO",,57974.74,57974.74
2011,X03,Protección y promoción social,,,987401.22,944394.03
2011,X03,Protección y promoción social,EQUIPAMIENTO CENTRO DE MAYORES EDUARDO MINGUITO,,24000.0,23606.8
2011,X03,Protección y promoción social,EQUIPAMIENTO NUEVO CENTRO DE DÍA DE MAYORES SAN LUCIANO,,80000.0,37575.87
2011,X03,Protección y promoción social,CENTRO DE SERVICIOS SOCIALES EDUARDO MINGUITO. OBRAS DE CONSERVACIÓN,,741.19,741.19
2011,X03,Protección y promoción social,"CENTRO DE MAYORES NUESTRA SEÑORA DE LOS ÁNGELES, C/ ARAMA, 3. CONSERVACIÓN",,25400.02,25400.02
2011,X03,Protección y promoción social,"CENTRO DE MAYORES LA PLATANERA, C/ CONCEPCIÓN DE LA OLIVA, 1. CONSERVACIÓN",,15706.23,15706.23
2011,X03,Protección y promoción social,"CENTRO DE MAYORES VILLALONSO, C/ VILLALONSO, S/N. OBRAS DE CONSERVACIÓN",,4330.27,4330.27
2011,X03,Protección y promoción social,TALLER OCUPACIONAL VIVERO VALLECAS VILLA. REFORMA,,10270.58,10270.58
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES MIGUEL DELIBES, AV. FELICIDAD, 26",,1000.0,922.93
2011,X03,Protección y promoción social,"CENTRO DE MAYORES MIGUEL DELIBES, AV. FELICIDAD, 26. OBRAS DE CONSERVACIÓN",,30478.56,30478.56
2011,X03,Protección y promoción social,CENTRO DE SERVICIOS SOCIALES Y MAYORES C/ EDUARDO MINGUITO. CONSTRUCCIÓN,,323051.03,323051.03
2011,X03,Protección y promoción social,CENTRO DE MAYORES DE SAN LUCIANO. CONSTRUCCIÓN,,263965.46,263965.46
2011,X03,Protección y promoción social,EQUIPAMIENTO CENTRO DE DÍA Y MAYORES SAN LUCIANO,,103460.89,103460.89
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES VILLALONSO, C/ VILLALONSO, 12",,2150.0,2148.92
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES SAN LUCIANO, C/ SAN LUCIANO, S/N",,7250.0,7215.36
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES ORTUÑO PONCE, C/ DOCTOR MARTÍN ARÉVALO,2",,1000.0,922.93
2011,X03,Protección y promoción social,"CENTRO OCUPACIONAL TALLER JARDINERÍA, C/ VALLE DE TOBALINA, 64. CONSERVACIÓN",,31436.52,31436.52
2011,X03,Protección y promoción social,CENTRO DÍA DE DISCAPACITADOS NAVAS DE TOLOSA. OBRAS DE CONSERVACIÓN,,15149.85,15149.85
2011,X03,Protección y promoción social,"CENTRO DE MAYORES EDUARDO MINGUITO, C/ LEONOR GÓNGORA, 62. CONSERVACIÓN",,20964.08,20964.08
2011,X03,Protección y promoción social,"CENTRO DE MAYORES JOSÉ ORTUÑO PONCE, C/ JOSÉ ORTUÑO  PONCE, 3. CONSERVACIÓN",,10950.36,10950.36
2011,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES SAN LUCIANO, C/ SAN LUCIANO, S/N. CONSERVACIÓN",,5427.24,5427.24
2011,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES, AV. FELICIDAD, 24. OBRAS DE CONSERVACIÓN",,1467.3,1467.3
2011,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DESARROLLO EMPRESARIAL DE VILLAVERDE, AV. DE OROVILLA,54",,9030.54,9030.54
2011,X03,Protección y promoción social,AGENCIA DE ZONA VILLAVERDE. EQUIPAMIENTO POLÍTICAS ACTIVAS DE EMPLEO,,171.1,171.1
2011,X04,Salud pública,,,29776.61,29776.61
2011,X04,Salud pública,"EQUIPAMIENTO CENTRO SALUD DE VILLAVERDE, AV. FELICIDAD, 17",,21422.8,21422.8
2011,X04,Salud pública,"CENTRO SALUD VILLAVERDE, AV. FELICIDAD, 17. OBRAS DE REFORMA",,8353.81,8353.81
2011,X02,"Tráfico, estacionamiento y transporte público",,,106441.28,106441.28
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE VILLAVERDE,,23657.11,23657.11
2011,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS Y SEÑALIZACIÓN INTERSECCIONES URBANAS. DISTRITO VILLAVERDE,,82784.17,82784.17
2011,X00,Inversiones de carácter general,,,48709.03,43742.44
2011,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO VILLAVERDE, C/ ARROYO BUENO, 53. OBRAS DE CONSERVACIÓN",,34733.93,34733.93
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO VILLAVERDE,,3975.1,
2011,X00,Inversiones de carácter general,EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DISTRTO DE VILLAVERDE,,10000.0,9008.51
2012,X11,"Deportes, juventud y esparcimiento",,,396396.4,356968.82
2012,X11,"Deportes, juventud y esparcimiento",EQUIPAMIENTO POLIDEPORTIVO PLATA Y CASTAÑAR,,2336.4,2336.4
2012,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO VILLAVERDE,,39427.58,
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO EL ESPINILLO, CRTA. VILLAVERDE A VALLECAS, 19. CONSERVACIÓN",,15004.33,15004.33
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO PLATA Y CASTAÑAR, Pº PLATA Y CASTAÑAR, 7. OBRAS DE CONSERVACIÓN",,24176.13,24176.13
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO FÉLIX RUBIO, C/ ALIANZA, 4. OBRAS DE CONSERVACIÓN",,3488.4,3488.4
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO ESTEFANITA, C/ ESTEFANITA, S/N. OBRAS DE CONSERVACIÓN",,171.25,171.25
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO EL ESPINILLO III, C/ UNANIMIDAD, S/N. OBRAS DE CONSERVACIÓN",,2569.3,2569.3
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO LOS ROSALES II, AV. LOS ROSALES, 135. OBRAS DE CONSERVACIÓN",,24626.69,24626.69
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO EL CRUCE, C/ SANTIAGO AMÓN, 6 Y 8. OBRAS DE CONSERVACIÓN",,10175.68,10175.68
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO RAÚL GONZÁLEZ, PARQUE DEHESA BOYAL. OBRAS DE CONSERVACIÓN",,37661.85,37661.85
2012,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO COLONIA EUSKALDUNA. OBRAS DE CONSERVACIÓN,,12535.92,12535.92
2012,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO PARQUE PLATA Y CASTAÑAR. OBRAS DE CONSERVACIÓN,,13409.9,13409.9
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO SAN CRISTÓBAL, PZ. PINAZO, 9. OBRAS DE CONSERVACIÓN",,25795.75,25795.75
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO EL ESPINILLO II, C/ UNANIMIDAD, 42-46. OBRAS DE CONSERVACIÓN",,12294.44,12294.44
2012,X11,"Deportes, juventud y esparcimiento",POLIDEPORTIVO EL ESPINILLO. ACONDICIONAMIENTO PISCINA,,52007.58,52007.58
2012,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO PARQUE CIUDAD DE LOS ÁNGELES. OBRAS DE CONSERVACIÓN,,2328.98,2328.98
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO PLATA Y CASTAÑAR, Pº PLATA Y CASTAÑAR, 7. ACONDICIONAMIENTO",,51531.94,51531.94
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO SAN CRISTÓBAL DE LOS ÁNGELES III, C/ MONCADA, S/N. CONSERVACIÓN",,2420.96,2420.96
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO COLONIA MARCONI, AV, MARCONI, 8. OBRAS DE CONSERVACIÓN",,9583.96,9583.96
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO FÉLIX RUBIO, C/ ALIANZA, 4. OBRAS DE ACONDICIONAMIENTO",,53174.13,53174.13
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO SANTA PETRONILA, C/ SANTA PETRONILA, S/N. CONSERVACIÓN",,1675.23,1675.23
2012,X14,Sectores productivos,,,1531784.83,1511187.28
2012,X14,Sectores productivos,CATEDRAL DE LAS NUEVAS TECNOLOGÍAS EN NAVE TORROJA. ADAPTACIÓN,,1531784.83,1511187.28
2012,X06,Urbanismo,,,569326.89,168529.42
2012,X06,Urbanismo,"AVDA. MARCONI, 1. URBANIZACIÓN",,290043.1,
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO API 17.05 EL ESPINILLO,,11761.0,11760.54
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO BARRIO DE SANTA CATALINA,,43597.64,43597.64
2012,X06,Urbanismo,"CALLES ALUMINIO, NÍQUEL Y OTRAS. URBANIZACIÓN",,30262.22,
2012,X06,Urbanismo,ÁREA DE PLANEAMIENTO ESPECÍFICO 17.17 ATEINSA. OBRAS DE URBANIZACIÓN,,75836.52,
2012,X06,Urbanismo,"AVDA. REAL DE PINTO, 52. URBANIZACIÓN",,4655.17,
2012,X06,Urbanismo,CALLE CIFUENTES ACCESO NAVE BOETTICHER. URBANIZACIÓN,,113171.24,113171.24
2012,X08,Mantenimiento urbano,,,642844.09,642844.09
2012,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-4 DTO. VILLAVERDE,,642844.09,642844.09
2012,X09,Medio ambiente,,,931448.41,127642.11
2012,X09,Medio ambiente,ESTANQUE DE TORMENTAS DE BUTARQUE. CONSTRUCCIÓN,,71448.41,71448.41
2012,X09,Medio ambiente,PARQUE PLATA Y CASTAÑAR. DEPÓSITO AGUA REGENERADA,,60000.0,
2012,X09,Medio ambiente,PARQUE DE LA PLATA Y CASTAÑAR (NOROESTE VILLAVERDE).  RECUPERACIÓN,,800000.0,56193.7
2012,X05,Educación,,,1299144.49,628084.69
2012,X05,Educación,ESCUELA INFANTIL BARRIO DE BUTARQUE. CONSTRUCCIÓN,,500000.0,
2012,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL EL ROCÍO, CRTA. DE CARABANCHEL A VILLAVERDE, 107",,11769.12,11769.12
2012,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL LA LUNA, C/ BENIMAMET, 109",,212.47,212.47
2012,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL LOS PINOS, C/ ROCAFORT, 4",,592.9,592.9
2012,X05,Educación,"COLEGIO CIUDAD DE LOS ÁNGELES , C/ ALEGRÍA DE LA HUERTA, 6. CONSERVACIÓN",,12296.13,12296.13
2012,X05,Educación,COLEGIO PÚBLICO LOS ROSALES. OBRAS DE ACONDICIONAMIENTO,,53650.1,53650.1
2012,X05,Educación,"COLEGIO PÚBLICO SAN CARLOS, C/ GEOLOGÍA, 2. OBRAS DE CONSERVACIÓN",,41611.35,41611.35
2012,X05,Educación,"COLEGIO PÚBLICO AZORÍN, C/ GODELLA, 57. OBRAS DE CONSERVACIÓN",,8652.11,8652.11
2012,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DEL SALVADOR, C/ SACEDÓN, 2. OBRAS DE CONSERVACIÓN",,18285.71,18285.71
2012,X05,Educación,"COLEGIO PÚBLICO NAVAS DE TOLOSA, C/ BENIMAMET, 109. OBRAS DE CONSERVACIÓN",,8668.01,8668.01
2012,X05,Educación,"COLEGIO PÚBLICO MANUEL DE FALLA, AV. REAL DE PINTO, 27. OBRAS DE CONSERVACIÓN",,9905.19,9905.19
2012,X05,Educación,COLEGIO PÚBLICO CIUDAD DE BARCELONA. OBRAS DE ACONDICIONAMIENTO,,26952.4,26952.4
2012,X05,Educación,"ESCUELA INFANTIL LA LUNA, C/ BENIMAMET, 109. OBRAS DE CONSERVACIÓN",,14031.97,14031.97
2012,X05,Educación,"COLEGIO PÚBLICO EL ESPINILLO, C/ UNANIMIDAD, 1. OBRAS DE ACONDICIONAMIENTO",,43573.46,43573.46
2012,X05,Educación,"COLEGIO PÚBLICO JUAN DE LA CIERVA, C/ VILLARROSA, 7. OBRAS DE CONSERVACIÓN",,20520.87,20520.87
2012,X05,Educación,"COLEGIO PÚBLICO RAMÓN GÓMEZ DE LA SERNA, C/ GODELLA, 170. CONSERVACIÓN",,15404.6,15404.6
2012,X05,Educación,COLEGIO PÚBLICO CIUDAD DE LOS ÁNGELES. OBRAS DE ACONDICIONAMIENTO,,31992.81,31992.81
2012,X05,Educación,COLEGIO PÚBLICO ANTONIO NEBRIJA. ACONDICIONAMIENTO,,105591.78,105591.78
