D. Economía
Renta
3.1. Indicadores de renta disponible
3.1.1. Indicadores de Renta media según Distrito y Barrio
;;;Renta neta media por persona;Renta neta media por hogar;Renta bruta media por persona;Renta bruta media por hogar
2017;Ciudad de Madrid;Ciudad de Madrid;15.930;40.195;20.161;50.872
2017;01. Centro;01. Centro;16.711;33.473;21.236;42.537
2017;01. Centro;011. Palacio;18.254;36.359;23.380;36.359
2017;01. Centro;012. Embajadores;13.454;27.632;16.436;27.632
2017;01. Centro;013. Cortes;19.431;37.740;25.553;37.740
2017;01. Centro;014. Justicia;21.570;43.127;28.805;43.127
2017;01. Centro;015. Universidad;16.869;33.230;21.264;33.230
2017;01. Centro;016. Sol;16.600;32.604;21.067;32.604
2017;02. Arganzuela;02. Arganzuela;17.738;42.088;22.253;52.801
2017;02. Arganzuela;021. Imperial;18.632;44.089;23.473;44.089
2017;02. Arganzuela;022. Acacias;19.323;46.103;24.359;46.103
2017;02. Arganzuela;023. Chopera;14.244;33.271;17.205;33.271
2017;02. Arganzuela;024. Legazpi;20.054;51.651;25.870;51.651
2017;02. Arganzuela;025. Delicias;17.282;41.522;21.694;41.522
2017;02. Arganzuela;026. Palos de la Frontera;16.276;35.885;20.104;35.885
2017;02. Arganzuela;027. Atocha;14.061;38.931;18.112;38.931
2017;03. Retiro;03. Retiro;21.598;53.111;28.178;69.292
2017;03. Retiro;031. Pacífico;18.839;43.427;23.759;43.427
2017;03. Retiro;032. Adelfas;18.991;45.887;24.963;45.887
2017;03. Retiro;033. Estrella;22.436;60.339;28.926;60.339
2017;03. Retiro;034. Ibiza;20.682;48.216;26.965;48.216
2017;03. Retiro;035. Los Jerónimos;25.792;68.978;34.849;68.978
2017;03. Retiro;036. Niño Jesús;25.063;67.103;34.137;67.103
2017;04. Salamanca;04. Salamanca;24.683;57.720;33.266;77.789
2017;04. Salamanca;041. Recoletos;29.417;78.982;41.830;78.982
2017;04. Salamanca;042. Goya;22.743;51.799;29.976;51.799
2017;04. Salamanca;043. Fuente del Berro;18.817;42.624;23.843;42.624
2017;04. Salamanca;044. Guindalera;20.321;47.767;26.016;47.767
2017;04. Salamanca;045. Lista;22.465;51.975;29.972;51.975
2017;04. Salamanca;046. Castellana;27.540;71.658;39.559;71.658
2017;05. Chamartín;05. Chamartín;26.267;65.995;35.826;90.014
2017;05. Chamartín;051. El Viso;28.945;78.367;40.755;78.367
2017;05. Chamartín;052. Prosperidad;19.662;45.579;25.119;45.579
2017;05. Chamartín;053. Ciudad Jardín;19.345;45.510;24.989;45.510
2017;05. Chamartín;054. Hispanoamérica;25.701;65.756;34.971;65.756
2017;05. Chamartín;055. Nueva España;27.478;73.062;38.194;73.062
2017;05. Chamartín;056. Castilla;22.650;57.931;30.124;57.931
2017;06. Tetuán;06. Tetuán;15.180;36.142;18.893;44.982
2017;06. Tetuán;061. Bellas Vistas;13.115;32.298;15.901;32.298
2017;06. Tetuán;062. Cuatro Caminos;19.263;44.650;24.707;44.650
2017;06. Tetuán;063. Castillejos;21.041;46.874;27.522;46.874
2017;06. Tetuán;064. Almenara;12.877;30.891;15.562;30.891
2017;06. Tetuán;065. Valdeacederas;11.859;29.045;14.165;29.045
2017;06. Tetuán;066. Berruguete;12.390;30.206;14.865;30.206
2017;07. Chamberí;07. Chamberí;22.897;51.644;30.332;68.412
2017;07. Chamberí;071. Gaztambide;20.504;45.292;26.131;45.292
2017;07. Chamberí;072. Arapiles;20.198;44.253;25.777;44.253
2017;07. Chamberí;073. Trafalgar;20.613;43.798;26.760;43.798
2017;07. Chamberí;074. Almagro;26.752;68.624;37.442;68.624
2017;07. Chamberí;075. Ríos Rosas;22.204;50.215;29.381;50.215
